number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_median_best_iteration,state
0,0.5245808387336973,2026-08-29 13:22:43.447037,2026-08-29 13:22:45.973176,0 days 00:00:02.526139,0.4783420139876833,2.406118930277751,3,10,1.831829133260171e-05,177.81960626672202,0.8541500017955168,997.0,COMPLETE
1,0.5056551064806475,2026-08-29 13:22:46.129255,2026-08-29 13:22:48.110259,0 days 00:00:01.981004,0.7128395169848689,1.023361672673666,4,16,2.3855958646977424e-05,0.29169266231604907,0.8256307286692538,430.0,COMPLETE
2,0.5359641769656501,2026-08-29 13:22:48.322502,2026-08-29 13:22:50.403270,0 days 00:00:02.080768,0.3922346721480941,1.3758750659835448,4,16,20.873482341003808,0.007861443690651313,0.5555505554228213,1.0,COMPLETE
3,0.5040299678826684,2026-08-29 13:22:50.560064,2026-08-29 13:22:52.463747,0 days 00:00:01.903683,0.7857421809179961,0.7219118359009244,4,19,0.002536506821341317,1.7707149893979266,0.8874703069734802,433.0,COMPLETE
4,0.5200620272329275,2026-08-29 13:22:52.598168,2026-08-29 13:22:54.245394,0 days 00:00:01.647226,0.5917974705774551,0.704953950395965,5,20,0.8254131432886802,0.3339284092970071,0.5613633006324183,490.0,COMPLETE
5,0.5187323145634528,2026-08-29 13:22:54.401961,2026-08-29 13:22:56.716695,0 days 00:00:02.314734,0.43632600386920334,1.4804247565766735,4,14,0.008743639651362208,0.006245899899283519,0.9988188683859787,415.0,COMPLETE
6,0.5359641769656501,2026-08-29 13:22:56.850788,2026-08-29 13:22:58.254326,0 days 00:00:01.403538,0.5790355322174947,0.9689037494365561,5,16,5.621014906437529,0.0041912743622739175,0.6635140887047762,1.0,COMPLETE
7,0.4807223456331002,2026-08-29 13:22:58.444501,2026-08-29 13:23:00.525376,0 days 00:00:02.080875,0.5534436319188177,0.3589104238480145,2,22,0.04885251060989576,2.565734387015887,0.7710214744698024,490.0,COMPLETE
8,0.5242161364135312,2026-08-29 13:23:00.737895,2026-08-29 13:23:02.984887,0 days 00:00:02.246992,0.8879001649648988,2.416368213490371,4,9,0.0020787682341117824,42.380717657471884,0.7714003355667085,646.0,COMPLETE
9,0.5243598092302965,2026-08-29 13:23:03.119478,2026-08-29 13:23:04.834669,0 days 00:00:01.715191,0.4244519754658029,2.6456372739823832,3,13,0.5205080997844398,3.767451699328582,0.6159531646712294,387.0,COMPLETE
10,0.5244043778788464,2026-08-29 13:23:05.013448,2026-08-29 13:23:06.860815,0 days 00:00:01.847367,0.9870386739951003,0.04012262276230649,2,28,0.021171222662271005,0.10128494338025369,0.7147143192420107,247.0,COMPLETE
11,0.482467437308636,2026-08-29 13:23:07.017667,2026-08-29 13:23:09.209144,0 days 00:00:02.191477,0.7487296842700228,0.10940704389050673,2,24,0.0004489813937024,4.6921855891525945,0.9183504747963406,424.0,COMPLETE
12,0.48405252345369415,2026-08-29 13:23:09.365962,2026-08-29 13:23:11.269506,0 days 00:00:01.903544,0.6774324920575636,0.03273633458985496,2,27,0.00024255456522086292,10.1621250505413,0.9486287887234572,483.0,COMPLETE
13,0.49381189879806553,2026-08-29 13:23:11.570978,2026-08-29 13:23:13.406886,0 days 00:00:01.835908,0.8246181823805168,0.3896044068974521,2,24,0.045753930473087775,20.437614423410903,0.7703909164179313,898.0,COMPLETE
14,0.49128630770118065,2026-08-29 13:23:13.563690,2026-08-29 13:23:15.410859,0 days 00:00:01.847169,0.5829389248734776,0.44157609718088,3,23,0.0005130021494080765,1.731781889165034,0.9275591120839377,243.0,COMPLETE
15,0.4891864443988007,2026-08-29 13:23:15.545359,2026-08-29 13:23:17.693606,0 days 00:00:02.148247,0.6748825100916972,0.3560591126358616,2,1,0.21521064560278383,0.05075631580027932,0.7827318642327759,64.0,COMPLETE
16,0.5248163472283802,2026-08-29 13:23:17.861392,2026-08-29 13:23:20.453502,0 days 00:00:02.592110,0.5199242689798418,1.7964093450893428,2,24,0.00011828896864305515,260.2114854905642,0.9918746926253516,1721.0,COMPLETE
17,0.5243728757109585,2026-08-29 13:23:20.610037,2026-08-29 13:23:22.613247,0 days 00:00:02.003210,0.7457302006953833,0.003657651826694197,3,30,0.0021633184987086052,0.6319482514378479,0.7061620997055715,247.0,COMPLETE
18,0.5010737257252451,2026-08-29 13:23:22.791689,2026-08-29 13:23:24.573361,0 days 00:00:01.781672,0.9815872216069027,0.6711356703436476,2,21,0.09212070145845108,9.135099549864261,0.8372813910368824,487.0,COMPLETE
19,0.5246778581254997,2026-08-29 13:23:24.729966,2026-08-29 13:23:26.911654,0 days 00:00:02.181688,0.8937371106927892,1.1426040111779574,3,26,6.188217808189178e-05,45.385584071356085,0.9025651150847167,673.0,COMPLETE
