number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_median_best_iteration,state
0,3.3559103424450374,2026-08-29 14:16:58.834587,2026-08-29 14:17:00.605834,0 days 00:00:01.771247,0.740740257805268,3,25,0.43532831413835504,7,0.009098148241998364,0.002839672044404505,0.7615526992808795,152.0,COMPLETE
1,3.389261698226342,2026-08-29 14:17:00.728448,2026-08-29 14:17:02.409609,0 days 00:00:01.681161,0.8137319792451698,3,6,0.7484408041770065,3,0.09747117733010738,0.005770467109243834,0.6625464115324023,11.0,COMPLETE
2,3.4513513511905445,2026-08-29 14:17:02.599555,2026-08-29 14:17:05.160082,0 days 00:00:02.560527,0.4289485151671069,5,36,0.9422847403184847,21,0.17683567242624365,0.00710428753304227,0.8985646152485893,5.0,COMPLETE
3,3.450644548488725,2026-08-29 14:17:05.583193,2026-08-29 14:17:07.364076,0 days 00:00:01.780883,0.6737988152088257,2,36,0.9489665722261491,3,1.1922314130071663e-05,0.001945210517070793,0.8076500901150423,19.0,COMPLETE
4,3.41244672843362,2026-08-29 14:17:07.498674,2026-08-29 14:17:09.658084,0 days 00:00:02.159410,0.8928574513429739,3,30,0.44632083671744194,6,0.002335592777478769,0.010374120351359406,0.7565803088222355,59.0,COMPLETE
5,3.334528271692149,2026-08-29 14:17:09.902973,2026-08-29 14:17:11.340028,0 days 00:00:01.437055,0.8852562015161818,2,17,0.13595776153650851,4,0.4392157684344263,2.03047099036538,0.7666002341899179,184.0,COMPLETE
6,3.369858542267444,2026-08-29 14:17:11.463472,2026-08-29 14:17:13.600150,0 days 00:00:02.136678,0.8580584388875515,5,31,0.6615680517967832,30,0.0008065385976116873,50.078296093340334,0.624392967500297,52.0,COMPLETE
7,3.318404724555211,2026-08-29 14:17:13.745514,2026-08-29 14:17:15.816478,0 days 00:00:02.070964,0.6291188231887291,5,18,0.62339169702639,15,2.040648580665766e-05,50.44699791362429,0.6605469654822733,36.0,COMPLETE
8,3.373343031587235,2026-08-29 14:17:16.028620,2026-08-29 14:17:17.676158,0 days 00:00:01.647538,0.5556021586748148,4,29,0.8972058740943163,7,0.00012185448160279055,45.05721925022352,0.7134444051573334,46.0,COMPLETE
9,3.4297757163640648,2026-08-29 14:17:17.866224,2026-08-29 14:17:20.458527,0 days 00:00:02.592303,0.7185211976127528,4,7,0.13566111802655523,12,0.08534322571736576,0.05550767488695441,0.9450165917464806,161.0,COMPLETE
10,3.447057787174066,2026-08-29 14:17:20.592790,2026-08-29 14:17:22.085695,0 days 00:00:01.492905,0.35302213123020265,4,50,0.37424713887468697,11,23.97157410541469,0.5243766152923643,0.5877710059860007,1.0,COMPLETE
11,3.38756957557149,2026-08-29 14:17:22.242502,2026-08-29 14:17:24.556996,0 days 00:00:02.314494,0.9767317480181295,2,16,0.04506191334337334,3,1.6812648864181923,3.7450715549010725,0.8407884020067706,21.0,COMPLETE
12,3.328623542904064,2026-08-29 14:17:24.702330,2026-08-29 14:17:26.651080,0 days 00:00:01.948750,0.5544170985200769,5,17,0.18696722233700866,19,1.3174201908577226e-05,262.7084005032642,0.6973830659591151,165.0,COMPLETE
13,3.301242684915755,2026-08-29 14:17:26.840745,2026-08-29 14:17:28.810958,0 days 00:00:01.970213,0.5622334457209865,5,16,0.2949458374363696,20,1.4523383098589072e-05,203.16560982136306,0.6635688085703115,73.0,COMPLETE
14,3.3533841421278336,2026-08-29 14:17:28.978563,2026-08-29 14:17:31.127189,0 days 00:00:02.148626,0.5897162580175062,5,12,0.634122582265744,20,0.0001567927089130936,253.7514301827903,0.5688180133073197,108.0,COMPLETE
15,3.3329186350001225,2026-08-29 14:17:31.317069,2026-08-29 14:17:32.954305,0 days 00:00:01.637236,0.46364837682419346,4,22,0.3202704755637318,15,7.722047523375598e-05,18.46796324483117,0.6386780750140711,142.0,COMPLETE
16,3.3543139175216994,2026-08-29 14:17:33.144143,2026-08-29 14:17:35.214152,0 days 00:00:02.070009,0.6295135755131568,5,11,0.5501255607495255,26,4.0859546521782057e-05,8.97804767111395,0.6911281768215437,26.0,COMPLETE
17,3.3392666730968976,2026-08-29 14:17:35.393240,2026-08-29 14:17:37.330653,0 days 00:00:01.937413,0.4930824055775813,5,21,0.8057518326542481,16,0.000554070561216355,85.46520645644938,0.6081637715089948,72.0,COMPLETE
18,3.447057787174066,2026-08-29 14:17:37.476200,2026-08-29 14:17:39.056933,0 days 00:00:01.580733,0.6535915291105974,4,47,0.2753092040283039,10,0.011724527330521083,0.7957099359332344,0.5620139971124268,1.0,COMPLETE
19,3.3914744508394086,2026-08-29 14:17:39.213408,2026-08-29 14:17:41.294552,0 days 00:00:02.081144,0.7704931768491898,5,12,0.5097099980653961,24,0.00038691166791019735,12.806182289388301,0.6780031607512235,30.0,COMPLETE
