number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_random_strength,params_rsm,user_attrs_median_best_iteration,state
0,0.5456770216603132,2026-08-29 12:50:17.332537,2026-08-29 12:50:28.367733,0 days 00:00:11.035196,1.0570364658775313,6,1.8396402873309012,1.8676703020231682,0.4228211047664513,4.0,COMPLETE
1,0.5824248074775217,2026-08-29 12:50:28.546053,2026-08-29 12:50:48.760946,0 days 00:00:20.214893,1.4729945054149118,5,0.7250905182110352,1.9171244906563312,0.8187026986941479,132.0,COMPLETE
2,0.5485650629315176,2026-08-29 12:50:48.961911,2026-08-29 12:50:52.309520,0 days 00:00:03.347609,0.010455521259395528,3,0.0668065959562682,0.085371366166195,0.370535768911529,49.0,COMPLETE
3,0.5414689652113102,2026-08-29 12:50:52.487986,2026-08-29 12:50:59.346025,0 days 00:00:06.858039,0.18917865179223603,4,0.7040421887374022,0.20050185622589667,0.7285089356570743,54.0,COMPLETE
4,0.5371318863311821,2026-08-29 12:50:59.547218,2026-08-29 12:51:08.027223,0 days 00:00:08.480005,1.6878189393070684,5,0.34589132112610954,0.20025012100130124,0.869100153527214,4.0,COMPLETE
5,0.5606595000791899,2026-08-29 12:51:08.183805,2026-08-29 12:51:21.342922,0 days 00:00:13.159117,0.7789685187309869,4,0.883025095324829,0.30388613201451364,0.9558590001564058,128.0,COMPLETE
6,0.5695632959889,2026-08-29 12:51:21.499368,2026-08-29 12:51:36.425047,0 days 00:00:14.925679,1.8013149672308846,4,8.71294624680252,1.0778746033735707,0.8346289046590563,243.0,COMPLETE
7,0.5581146310785656,2026-08-29 12:51:36.592811,2026-08-29 12:51:53.319327,0 days 00:00:16.726516,0.6972922282266198,5,0.10001279664390265,0.2697343717382976,0.8247938799026096,116.0,COMPLETE
8,0.549536917565603,2026-08-29 12:51:53.475393,2026-08-29 12:51:59.733722,0 days 00:00:06.258329,1.3378780887896307,4,0.1348726629428741,1.607622675759029,0.4610752874095481,18.0,COMPLETE
9,0.5377510872675745,2026-08-29 12:51:59.923603,2026-08-29 12:52:04.514675,0 days 00:00:04.591072,0.3742164706665585,3,0.31635104785156326,0.038729931273867146,0.8115653853282925,37.0,COMPLETE
10,0.5459470131129799,2026-08-29 12:52:04.798524,2026-08-29 12:52:53.421390,0 days 00:00:48.622866,1.9865561631363833,7,82.1470130782206,0.7962411017661278,0.633755756915694,45.0,COMPLETE
11,0.5396785490555887,2026-08-29 12:52:53.611291,2026-08-29 12:52:59.135780,0 days 00:00:05.524489,0.49824581013663305,3,0.032826983427711134,0.6531058841371992,0.9882596984779319,83.0,COMPLETE
12,0.5374734829544451,2026-08-29 12:52:59.315001,2026-08-29 12:53:34.398527,0 days 00:00:35.083526,1.4933340886910185,7,0.01726827559861968,0.5971532090625086,0.6690198826755941,5.0,COMPLETE
13,0.5329682691098209,2026-08-29 12:53:34.532940,2026-08-29 12:54:07.370124,0 days 00:00:32.837184,1.5927424716574312,7,0.010886473220805251,0.5674925644914006,0.5977238771891068,12.0,COMPLETE
14,0.5269126338150417,2026-08-29 12:54:07.504424,2026-08-29 12:54:21.063682,0 days 00:00:13.559258,1.7037388453909155,6,0.011620210662926223,1.0485908448503127,0.601727559257509,28.0,COMPLETE
15,0.5403704348725376,2026-08-29 12:54:21.209482,2026-08-29 12:54:37.390243,0 days 00:00:16.180761,1.1701152451850607,6,0.014415852101987533,1.163185973150478,0.5406028808883638,28.0,COMPLETE
16,0.5685388716325347,2026-08-29 12:54:37.602182,2026-08-29 12:55:02.918034,0 days 00:00:25.315852,1.7662731026587293,6,0.010916017055339032,1.2314697082760164,0.5468153668810486,188.0,COMPLETE
17,0.5449214544941414,2026-08-29 12:55:03.074297,2026-08-29 12:55:37.267645,0 days 00:00:34.193348,1.9818048795977663,7,0.05411154705799692,0.887581582100987,0.5571666998636767,20.0,COMPLETE
18,0.5451933037427523,2026-08-29 12:55:37.457636,2026-08-29 12:55:55.818052,0 days 00:00:18.360416,1.067112536392108,6,0.030997907194209456,1.4379130635021253,0.6364999989028572,6.0,COMPLETE
19,0.5247513818417687,2026-08-29 12:55:56.018861,2026-08-29 12:56:22.366865,0 days 00:00:26.348004,1.5514837897771896,7,0.025984144171743245,0.4921630301862373,0.7125140216559717,15.0,COMPLETE
