number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_median_best_iteration,state
0,3.2747171911410327,2026-08-29 14:22:15.678571,2026-08-29 14:22:18.236786,0 days 00:00:02.558215,0.6370703416730976,1.6400070611991433,5,1,0.00012879774665637312,0.08136059435361043,0.8554759680630337,116.0,COMPLETE
1,3.362990764432427,2026-08-29 14:22:18.513159,2026-08-29 14:22:20.804998,0 days 00:00:02.291839,0.7075757747244491,2.5793597091982905,3,16,0.7071703546860212,0.9199218117108149,0.9569845733875272,82.0,COMPLETE
2,3.2252150408561335,2026-08-29 14:22:20.984787,2026-08-29 14:22:24.576197,0 days 00:00:03.591410,0.5590582048123864,0.18666594781124668,5,5,0.11241361254543386,0.01004226725834688,0.7929814909538391,527.0,COMPLETE
3,3.276307220942878,2026-08-29 14:22:24.732687,2026-08-29 14:22:29.025559,0 days 00:00:04.292872,0.9390007186904467,1.465473731062256,3,28,0.4083683177453089,267.3798512677654,0.8306972307165734,1046.0,COMPLETE
4,3.311430996282576,2026-08-29 14:22:29.181921,2026-08-29 14:22:31.585252,0 days 00:00:02.403331,0.7908434877858475,1.1919567995598155,5,22,0.0007097302243081285,0.012970111320419026,0.9509216568852736,227.0,COMPLETE
5,3.2973267539779094,2026-08-29 14:22:31.752898,2026-08-29 14:22:33.634440,0 days 00:00:01.881542,0.4464475478484617,0.39164840646838384,3,30,0.03739657873399936,0.024267798329980345,0.9885513518432056,111.0,COMPLETE
6,3.2651475418445677,2026-08-29 14:22:33.824718,2026-08-29 14:22:36.094142,0 days 00:00:02.269424,0.6675370135524596,0.5608083535680831,2,29,0.00041070650717544205,0.03531171397612625,0.6572344017848827,75.0,COMPLETE
7,3.2568156287399623,2026-08-29 14:22:36.272955,2026-08-29 14:22:38.398004,0 days 00:00:02.125049,0.6784441916747486,1.1823637366124884,4,22,3.1704024441778354e-05,0.7331960263968932,0.647052089178108,302.0,COMPLETE
8,3.2122745298852036,2026-08-29 14:22:38.588932,2026-08-29 14:22:41.913630,0 days 00:00:03.324698,0.4800776310762248,0.9015566726618287,5,5,0.058677108581580095,0.034388291335624606,0.6154682404877448,378.0,COMPLETE
9,3.3469175778282114,2026-08-29 14:22:42.126334,2026-08-29 14:22:44.718152,0 days 00:00:02.591818,0.7360496232911298,1.7589587418392574,5,3,5.302143100281344,0.5148014098388513,0.7925087619734446,154.0,COMPLETE
10,3.2048481665000352,2026-08-29 14:22:44.919188,2026-08-29 14:22:47.478015,0 days 00:00:02.558827,0.35116753241977516,2.7873200870479913,2,12,0.004754724961563547,0.0013199634505832313,0.5760571224874237,323.0,COMPLETE
11,3.2284705650646806,2026-08-29 14:22:47.623675,2026-08-29 14:22:49.982588,0 days 00:00:02.358913,0.35765397692860795,2.933151498673255,2,10,0.0076095941110102495,0.001019807453681889,0.5612888693972644,519.0,COMPLETE
12,3.220861234658196,2026-08-29 14:22:50.217473,2026-08-29 14:22:52.653758,0 days 00:00:02.436285,0.46720934379618906,2.3529067643120785,4,10,0.004583961509728622,0.0012200258776837378,0.5500359104555088,352.0,COMPLETE
13,3.253004295881405,2026-08-29 14:22:52.876888,2026-08-29 14:22:55.691754,0 days 00:00:02.814866,0.37589030621026664,2.114384722865458,4,8,19.067263178128247,13.565341303345841,0.6438326142430881,307.0,COMPLETE
14,3.291259307269902,2026-08-29 14:22:55.848799,2026-08-29 14:22:57.862283,0 days 00:00:02.013484,0.5280884976046104,0.8602917000344804,2,14,0.007350317364972917,0.003614304140598993,0.7043085836844367,45.0,COMPLETE
15,3.245718775205498,2026-08-29 14:22:57.985850,2026-08-29 14:23:00.177272,0 days 00:00:02.191422,0.4398564610008714,2.8217584485408382,3,15,0.048078725250183606,0.13601464835293658,0.6056139687412514,615.0,COMPLETE
16,3.202794410377594,2026-08-29 14:23:00.300452,2026-08-29 14:23:02.592963,0 days 00:00:02.292511,0.5522499087333796,2.080573908846458,4,6,0.001495204798929043,0.004249996393398076,0.7148124295315973,255.0,COMPLETE
17,3.2828920255503746,2026-08-29 14:23:02.771953,2026-08-29 14:23:05.297409,0 days 00:00:02.525456,0.8682655533989333,2.0888209875257235,4,19,0.0011872314577495075,0.004199542230861169,0.7335170553343795,226.0,COMPLETE
18,3.2976568153494257,2026-08-29 14:23:05.464920,2026-08-29 14:23:07.701334,0 days 00:00:02.236414,0.5798461781150488,2.487784923496216,2,12,3.4691638089931333e-05,0.005630046400684018,0.7136196252919175,323.0,COMPLETE
19,3.3358772834310066,2026-08-29 14:23:07.858072,2026-08-29 14:23:10.284397,0 days 00:00:02.426325,0.6156560685939082,2.0315770517144855,3,8,1.1469116594965575e-05,0.0020777380329363997,0.7529054349665197,51.0,COMPLETE
