number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_median_best_iteration,state
0,0.48141299665911036,2026-08-29 13:28:50.703100,2026-08-29 13:28:53.397975,0 days 00:00:02.694875,0.46138287271300016,5,36,0.26701067417614377,3,0.0018164065404402414,0.9866713344649909,0.748741005773683,1.0,COMPLETE
1,0.464767532389691,2026-08-29 13:28:53.552589,2026-08-29 13:28:57.479184,0 days 00:00:03.926595,0.7017245658781541,4,30,0.14401458021040114,15,3.70631105780273,17.194019774542312,0.8869221811696393,1772.0,COMPLETE
2,0.46876815788914644,2026-08-29 13:28:57.646636,2026-08-29 13:29:00.540457,0 days 00:00:02.893821,0.39044428869243675,4,33,0.6237716238146076,7,0.0013790575015624807,121.05202085027099,0.6323104470183929,522.0,COMPLETE
3,0.4866254878564987,2026-08-29 13:29:00.807877,2026-08-29 13:29:02.900572,0 days 00:00:02.092695,0.9129063037893949,5,50,0.6782207504397654,23,0.4280346579629775,75.81760530157,0.7698210596593384,1.0,COMPLETE
4,0.4866254878564987,2026-08-29 13:29:03.012824,2026-08-29 13:29:04.761196,0 days 00:00:01.748372,0.9999891455605278,3,23,0.5516079955303097,4,20.52740073560464,0.00649680554472905,0.667626165032563,1.0,COMPLETE
5,0.4670491394778444,2026-08-29 13:29:04.973259,2026-08-29 13:29:07.207766,0 days 00:00:02.234507,0.5048941359114971,3,14,0.2826153970436731,3,0.014594641972940777,0.02314297188603515,0.9761476759044114,99.0,COMPLETE
6,0.4796472074146187,2026-08-29 13:29:07.579238,2026-08-29 13:29:09.249179,0 days 00:00:01.669941,0.6784441916747486,2,38,0.39412124553749617,4,3.1704024441778354e-05,0.7331960263968932,0.647052089178108,1.0,COMPLETE
7,0.45643194657494374,2026-08-29 13:29:09.394903,2026-08-29 13:29:12.188493,0 days 00:00:02.793590,0.7281779840094763,5,11,0.8102866772644611,7,0.0006560317433590444,0.044256636521987684,0.6400537445912327,52.0,COMPLETE
8,0.4683274364950272,2026-08-29 13:29:12.516917,2026-08-29 13:29:14.960183,0 days 00:00:02.443266,0.6718051492686186,2,32,0.8296232749626984,4,0.06275712181687462,0.042610049941009726,0.9477080324501155,251.0,COMPLETE
9,0.4866254878564987,2026-08-29 13:29:15.139069,2026-08-29 13:29:16.910126,0 days 00:00:01.771057,0.9663757684595552,5,50,0.9964042627808051,6,1.022496369492849e-05,200.45882762038198,0.7622329242200846,1.0,COMPLETE
10,0.4419803273988489,2026-08-29 13:29:17.066546,2026-08-29 13:29:20.726368,0 days 00:00:03.659822,0.8116572306088328,4,7,0.01319702819416707,11,0.00016334801195223316,0.49544455005810545,0.550808291675229,295.0,COMPLETE
11,0.4430260259268675,2026-08-29 13:29:20.849827,2026-08-29 13:29:23.787255,0 days 00:00:02.937428,0.820783508793364,4,5,0.03447831253280169,10,0.00023650517158609776,0.41924686013851314,0.5587403935956383,131.0,COMPLETE
12,0.43706774899386475,2026-08-29 13:29:23.966808,2026-08-29 13:29:28.048953,0 days 00:00:04.082145,0.8279345684545798,4,6,0.004745347345224769,11,0.00012541608778582206,0.6403141487452912,0.5568224382033586,100.0,COMPLETE
13,0.4534678686335658,2026-08-29 13:29:28.194312,2026-08-29 13:29:31.176505,0 days 00:00:02.982193,0.8223421396881035,3,5,0.00012514681115778116,8,0.00012008407202593532,6.313382854642704,0.5565370230669111,46.0,COMPLETE
14,0.46056552838606085,2026-08-29 13:29:31.344132,2026-08-29 13:29:34.493683,0 days 00:00:03.149551,0.8372772503729768,4,15,0.15987626319513332,12,0.007892336652067273,0.001400070128430839,0.5640523527473317,130.0,COMPLETE
15,0.4576754141417043,2026-08-29 13:29:34.638943,2026-08-29 13:29:37.898858,0 days 00:00:03.259915,0.6089897187234636,4,22,0.14153478039648834,13,3.926603078430481e-05,0.19613249449603756,0.6033919133384047,331.0,COMPLETE
16,0.4567648859012374,2026-08-29 13:29:38.022056,2026-08-29 13:29:40.393249,0 days 00:00:02.371193,0.8800665088497828,3,10,0.00522733853767173,8,0.00017511933484485866,3.565937861521652,0.6992466237224447,57.0,COMPLETE
17,0.4540216830333889,2026-08-29 13:29:40.527880,2026-08-29 13:29:43.364674,0 days 00:00:02.836794,0.7740632259376801,4,18,0.3772418817450507,11,0.009023115965117704,0.1492356954008757,0.5983549380552512,506.0,COMPLETE
18,0.44497054226328453,2026-08-29 13:29:43.487704,2026-08-29 13:29:46.160086,0 days 00:00:02.672382,0.6154111005686574,3,9,0.11372611541696354,8,1.1186546927931793e-05,2.7715574121712323,0.6952372049362787,273.0,COMPLETE
19,0.4528953433459369,2026-08-29 13:29:46.316455,2026-08-29 13:29:49.154007,0 days 00:00:02.837552,0.7559051467119436,4,20,0.29106569038698016,15,0.0003808340091655742,7.82817279335984,0.8304436827360168,472.0,COMPLETE
