number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_median_best_iteration,state
0,3.6322938689217756,2026-08-29 14:16:11.666220,2026-08-29 14:16:13.414170,0 days 00:00:01.747950,0.3763813534437313,3,36,0.5889704742165286,4,16.16250453789494,24.709751517438118,0.6388521635299347,1.0,COMPLETE
1,3.5887267955742246,2026-08-29 14:16:13.671663,2026-08-29 14:16:16.151558,0 days 00:00:02.479895,0.6425262201283718,4,30,0.5230436300354757,11,0.0016198664619344104,1.0706800959251588,0.5762336594136981,35.0,COMPLETE
2,3.63345665961945,2026-08-29 14:16:16.341243,2026-08-29 14:16:17.989493,0 days 00:00:01.648250,0.6481062642964347,2,49,0.7499340154966228,3,0.2137170636336052,2.3855797424695955,0.6235744234747184,1.0,COMPLETE
3,3.5931685228463883,2026-08-29 14:16:18.179424,2026-08-29 14:16:20.649548,0 days 00:00:02.470124,0.9888769431201626,4,32,0.3719961085807002,8,0.13329055789645886,0.0013750137987391842,0.6582867753851387,50.0,COMPLETE
4,3.63345665961945,2026-08-29 14:16:20.783873,2026-08-29 14:16:22.487424,0 days 00:00:01.703551,0.633880236170826,5,15,0.4541666174207615,16,28.848319243413375,0.0053384145222948685,0.802196626436443,1.0,COMPLETE
5,3.6264640591966173,2026-08-29 14:16:22.622349,2026-08-29 14:16:24.404057,0 days 00:00:01.781708,0.5139647947957878,2,43,0.11362649499416477,3,0.001915550975051357,72.79529015389885,0.7867284746973602,1.0,COMPLETE
6,3.5378072397061735,2026-08-29 14:16:24.583008,2026-08-29 14:16:27.019458,0 days 00:00:02.436450,0.5534436319188177,3,37,0.11963680794933818,3,0.04885251060989576,2.565734387015887,0.7710214744698024,62.0,COMPLETE
7,3.5563189159612967,2026-08-29 14:16:27.153826,2026-08-29 14:16:29.369034,0 days 00:00:02.215208,0.5825993118481101,4,27,0.30163771077645973,6,2.9647350206457044,25.797674994975168,0.922392421898776,74.0,COMPLETE
8,3.5169237277127685,2026-08-29 14:16:29.503027,2026-08-29 14:16:31.184752,0 days 00:00:01.681725,0.7743891804550125,3,10,0.627717133141422,3,5.152734986056382,0.5994304104521242,0.87767525695042,60.0,COMPLETE
9,3.6236152219873152,2026-08-29 14:16:31.330060,2026-08-29 14:16:32.978469,0 days 00:00:01.648409,0.5069802743090773,2,42,0.9132887814786662,4,3.6056409540408146e-05,0.7391519981688363,0.916157839547722,1.0,COMPLETE
10,3.493330953369067,2026-08-29 14:16:33.179614,2026-08-29 14:16:35.371864,0 days 00:00:02.192250,0.8855085662541928,5,8,0.9723749316096357,28,3.311780403750849e-05,0.04940768506941471,0.9936949120169323,290.0,COMPLETE
11,3.530744646993878,2026-08-29 14:16:35.505865,2026-08-29 14:16:37.597989,0 days 00:00:02.092124,0.8515442866826484,5,6,0.9942687829069632,29,2.449894664984438e-05,0.054998620120817174,0.9885131359368335,13.0,COMPLETE
12,3.4747694296164937,2026-08-29 14:16:37.732458,2026-08-29 14:16:39.537038,0 days 00:00:01.804580,0.8022646878782157,3,7,0.7382628270543845,8,0.0007260088142013114,0.06793131042523884,0.8824632106290051,46.0,COMPLETE
13,3.5396407426646648,2026-08-29 14:16:39.671162,2026-08-29 14:16:41.385450,0 days 00:00:01.714288,0.862066229682767,5,18,0.8163834266327332,31,0.0004224451915384706,0.044155177120030246,0.9851575739526331,28.0,COMPLETE
14,3.5109602361639354,2026-08-29 14:16:41.552948,2026-08-29 14:16:43.713006,0 days 00:00:02.160058,0.9984744577127411,4,5,0.7542727242587063,15,0.00021025386836946765,0.0520087010333851,0.8553420230031582,43.0,COMPLETE
15,3.5343269172676393,2026-08-29 14:16:43.847236,2026-08-29 14:16:45.984023,0 days 00:00:02.136787,0.8005865820793006,3,20,0.8724377034566446,7,0.009080786102075907,0.15742931328204568,0.9398293463557037,29.0,COMPLETE
16,3.494998978462068,2026-08-29 14:16:46.174121,2026-08-29 14:16:48.655291,0 days 00:00:02.481170,0.7321471434694322,5,12,0.9937556585452398,24,0.00010931211289457022,0.009047052161611006,0.8491416902160513,49.0,COMPLETE
17,3.5579757171221384,2026-08-29 14:16:48.789463,2026-08-29 14:16:50.726862,0 days 00:00:01.937399,0.8927046647049679,4,23,0.6933359382619209,11,1.1998579030486257e-05,0.009655012234922539,0.7185908463829231,51.0,COMPLETE
18,3.440334331635159,2026-08-29 14:16:50.860984,2026-08-29 14:16:53.120406,0 days 00:00:02.259422,0.9298143403456016,3,10,0.8643375175299608,6,0.001393231651645701,0.19203213225826,0.9949861060758316,45.0,COMPLETE
19,3.5452505280964743,2026-08-29 14:16:53.276838,2026-08-29 14:16:55.269986,0 days 00:00:01.993148,0.9315327347765623,3,13,0.8490459110455646,6,0.010023114438601887,7.9230120773373836,0.9436245482560156,24.0,COMPLETE
