model,n_tail,threshold,overall_MAE,tail_MAE,tail_bias_pred_minus_true,tail_underprediction_count,tail_pred_sd,overall_pred_sd
plm_only,17,10.5372,0.45536377078618634,1.8362301341188783,-1.8362301341188783,17,0.3661366193134129,0.302610427660036
seq_overall,17,10.5372,0.44890446470154804,1.8518743217583282,-1.8518743217583282,17,0.2691248553325646,0.2829893548216374
stage3_overall_struct,17,10.5372,0.44089339330379834,1.7694954516853514,-1.7694954516853514,17,0.3052353475734823,0.31010956766557474
best_adv_only,17,10.5372,0.4720970028708818,1.9265970840179705,-1.9265970840179705,17,0.3174430412151661,0.2588594668758804
best_fusion,17,10.5372,0.4376955171135285,1.744938554379306,-1.744938554379306,17,0.3056608641009701,0.3150953327232509
