generator,outer_val_fold,feature,n_train,mean,sd,median,iqr,min,max,skewness,fraction_zero
ESMFold,0,exposed_TYR_count,130,4.684615384615385,1.8565253541313527,5.0,3.0,0.0,10.0,0.08297221268268984,0.007692307692307693
ESMFold,0,exposed_TRP_count,130,0.676923076923077,0.7464313520435817,1.0,1.0,0.0,3.0,0.8246808072501652,0.47692307692307695
ESMFold,0,exposed_PHE_count,130,1.176923076923077,0.9644877844693174,1.0,1.0,0.0,5.0,1.0296432552512493,0.23076923076923078
ESMFold,0,exposed_aromatic_total_count,130,6.538461538461538,2.012093613642062,6.0,3.0,2.0,11.0,0.11096975811446341,0.0
ESMFold,0,aromatic_exposed_SASA_total,130,599.2456843112154,210.26976698994062,576.8696919893237,335.5554622589637,158.25794355288627,1098.9927086273888,0.3373163539270641,0.0
ESMFold,0,aromatic_exposed_SASA_fraction,130,0.05473159168969771,0.018769873929211957,0.05235463936805443,0.03002221091944402,0.015197996222613811,0.09980399048588524,0.2412604483763494,0.0
ESMFold,0,strongly_exposed_aromatic_count,130,0.8769230769230769,0.9199948546292955,1.0,1.0,0.0,4.0,0.8383977665826657,0.4230769230769231
ESMFold,0,strongly_exposed_aromatic_SASA,130,148.0596680716844,157.55515370075224,147.31650518992865,225.60833363037705,0.0,657.8785802433042,0.9255406301632599,0.4230769230769231
ESMFold,0,CDR_exposed_aromatic_count,130,4.161538461538462,1.5531795980843055,4.0,2.0,1.0,10.0,0.49369389392743446,0.0
ESMFold,0,CDR_aromatic_SASA,130,417.86856979838615,173.30938637441764,389.41425126968653,220.94925747732378,74.56482198701073,886.684254088909,0.4762112160369942,0.0
ESMFold,0,CDR_aromatic_fraction,130,0.6946757234856717,0.14426467615889524,0.7009721898737634,0.14196436451989014,0.2356631043238807,1.0,-0.5388982667528337,0.0
ESMFold,0,aromatic_patch_count,130,4.623076923076923,1.3083482517774057,5.0,1.0,2.0,8.0,0.18407295726759526,0.0
ESMFold,0,largest_aromatic_patch_n_res,130,2.476923076923077,1.2478620770396098,2.0,1.0,1.0,7.0,1.2045098721590348,0.0
ESMFold,0,largest_aromatic_patch_exposed_SASA,130,226.68403713944355,143.86181795608303,173.83186134549186,164.0954216855231,50.820765242143985,703.0142314549179,1.1451736597299214,0.0
