method,leading_k,mean_cos2,min_cos2,class
scale_before,4,0.8443358953911524,0.0005795000011448795,HIGHLY_FOLD_DEPENDENT
scale_before,8,0.8919451856148074,0.004098484476919316,HIGHLY_FOLD_DEPENDENT
scale_before,16,0.882828153599546,0.08842300247214693,HIGHLY_FOLD_DEPENDENT
scale_before,32,0.847478938951762,0.0023750407779999758,HIGHLY_FOLD_DEPENDENT
center_only,4,0.9281362791646848,0.4171465450835864,MODERATELY_VARIABLE
center_only,8,0.9479685460849714,0.6189874161939359,MODERATELY_VARIABLE
center_only,16,0.9022463965875787,0.09429989336016652,HIGHLY_FOLD_DEPENDENT
center_only,32,0.8594691116926871,0.000350262720495562,HIGHLY_FOLD_DEPENDENT
