method,n_comp_requested,pairwise_mean_of_mean_cos2,pairwise_min_of_min_cos2,class
scale_before,32,0.847478938951762,0.0023750407779999758,HIGHLY_FOLD_DEPENDENT
scale_before,64,0.8136689151073091,2.1160399013390367e-05,HIGHLY_FOLD_DEPENDENT
center_only,32,0.8594691116926871,0.000350262720495562,HIGHLY_FOLD_DEPENDENT
center_only,64,0.817811460174519,0.00032107593317211595,HIGHLY_FOLD_DEPENDENT
