model,n_tail,threshold,tail_MAE,tail_bias_pred_minus_true,tail_underprediction_count,tail_pred_sd,overall_MAE,overall_pred_sd
HIC_plm,17,10.5372,1.8362301341188783,-1.8362301341188783,17,0.3661366193134129,0.45536377078618634,0.302610427660036
HIC_overall,17,10.5372,1.8518743217583282,-1.8518743217583282,17,0.2691248553325646,0.44890446470154804,0.2829893548216374
HIC_struct,17,10.5372,1.6323700842178983,-1.6323700842178983,17,0.46423560818535936,0.4398314398084121,0.3854125827072585
HIC_overall_struct,17,10.5372,1.7694954516853514,-1.7694954516853514,17,0.3052353475734823,0.44089339330379834,0.31010956766557474
