target,cv_rank,recipe_id,feature_blocks,regressor,preprocessing,cv_primary_mae,cv_shadow_mae,public_mae,private_mae,comments
TmApp,1,TM_PARENT_ABLINGUA_CDR3,AbLang2_HL_paired|SEQ_BASIC|BIOEMU_NEW_PAIRWISE|M1_PROTEINMPNN|AbLingua_HL_mean|AbLingua_CDR3,RIDGE,recipe_raw + PCA32_per_abl_block + Ridge FREE_ALPHA,2.732072376654289,2.784957206877823,3.1185249613955217,3.289917689937472,cv_rank frozen BEFORE Public/Private
TmApp,2,TM_PARENT_ABLINGUA_GLOBAL,AbLang2_HL_paired|SEQ_BASIC|BIOEMU_NEW_PAIRWISE|M1_PROTEINMPNN|AbLingua_HL_mean,RIDGE,recipe_raw + PCA32(AbLingua) + Ridge FREE_ALPHA,2.7466001170280285,2.822725206703513,3.106900023997267,3.326374924950283,cv_rank frozen BEFORE Public/Private
TmApp,3,TM_BASE_BIOEMU_MPNN,AbLang2_HL_paired|SEQ_BASIC|BIOEMU_NEW_PAIRWISE|M1_PROTEINMPNN,RIDGE,impute+StandardScaler+Ridge(raw),2.702681240871287,2.8459367728115534,3.1199439738928896,3.432660341190389,cv_rank frozen BEFORE Public/Private
HIC,1,HIC_HYDRO_TITRATION,ESM2_H|SEQ_ALL|AROMATIC_TOPO|HYDRO_FIELD|TITRATION_SHAPE,LASSO,impute+StandardScaler+Lasso(no_PCA),0.4872225781431885,0.48337196105386526,0.4702379457310565,0.4641712708181718,cv_rank frozen BEFORE Public/Private
HIC,2,HIC_ARO_TITRATION,ESM2_H|SEQ_ALL|AROMATIC_TOPO|TITRATION_SHAPE,LASSO,impute+StandardScaler+Lasso(no_PCA),0.48938793401852243,0.48244320443556027,0.4799350305277475,0.4757445162156721,cv_rank frozen BEFORE Public/Private
HIC,3,HIC_ARO_CONTINUOUS_SURFACE,ESM2_H|SEQ_ALL|AROMATIC_TOPO|CONTINUOUS_SURFACE,LASSO,impute+StandardScaler+Lasso(no_PCA),0.48220731342316014,0.4898232886862832,0.4799310265774686,0.4757443667060864,cv_rank frozen BEFORE Public/Private
