scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,FS_HIC_STATIC_SAP_KD_GLOBAL3,2704daa14031123a3166386ff241d69e08726a08407af214d02938301e4f9b0e,3,97
primary,1,FS_HIC_STATIC_SAP_KD_GLOBAL3,0dbee0207d083db3333f5f90bc4dd60ff18ce293fbf9d8c29d8b56b5020b2edb,3,96
primary,2,FS_HIC_STATIC_SAP_KD_GLOBAL3,270a9b4c0465a77700387eac68c7c55e6e023f0978edf195fe57ce3a18bab9ac,3,97
primary,3,FS_HIC_STATIC_SAP_KD_GLOBAL3,d6c503fc58c1175dc9d327b20433eb833c1e0675655f8fe039202110efb67eea,3,98
primary,4,FS_HIC_STATIC_SAP_KD_GLOBAL3,91805c726c45e11273a7c00c4ab62fb186f130c906688466d8813410763f877b,3,98
shadow,0,FS_HIC_STATIC_SAP_KD_GLOBAL3,eca22ddbc909e5c9a80f3e86f909cfa81cac7972e3d42d5f244685a05452a92b,3,97
shadow,1,FS_HIC_STATIC_SAP_KD_GLOBAL3,16e1564585739234b6c17953544917df870c35dc8742108ec32d96fe4dceeb13,3,97
shadow,2,FS_HIC_STATIC_SAP_KD_GLOBAL3,2dc25f568dd7ecd2aa4dc04cc910640180124a143fac8dc0ca796f40496e91c8,3,98
shadow,3,FS_HIC_STATIC_SAP_KD_GLOBAL3,bf0655ca6021f78d7cb31008a601b3e714ac308dbec0c7c468d909c86fde9871,3,97
shadow,4,FS_HIC_STATIC_SAP_KD_GLOBAL3,99203cdf7f7150ffa20411dc8249eeddf543204dac0449ec9fbaaa6680fcf2eb,3,97
