id,generator,extraction_status,pdb_path,error
ADI-45479,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45479.pdb,
ADI-45477,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45477.pdb,
ADI-45470,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45470.pdb,
ADI-45480,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45480.pdb,
ADI-45485,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45485.pdb,
ADI-45488,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45488.pdb,
ADI-45481,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45481.pdb,
ADI-45489,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45489.pdb,
ADI-45486,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45486.pdb,
ADI-45490,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45490.pdb,
ADI-45491,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45491.pdb,
ADI-45495,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45495.pdb,
ADI-45493,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45493.pdb,
ADI-45497,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45497.pdb,
ADI-45498,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45498.pdb,
ADI-45499,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45499.pdb,
ADI-46678,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46678.pdb,
ADI-46677,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46677.pdb,
ADI-46682,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46682.pdb,
ADI-46685,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46685.pdb,
ADI-46684,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46684.pdb,
ADI-46689,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46689.pdb,
ADI-46691,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46691.pdb,
ADI-46690,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46690.pdb,
ADI-46692,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46692.pdb,
