feature,pair,n,pearson,spearman,top20_jaccard,bottom20_jaccard
E_vdw_interface,esmfold_vs_abodybuilder2,324,-0.005667485675137999,0.02150741358171699,0.17117117117117117,0.09243697478991597
E_vdw_interface,esmfold_vs_boltz2,324,-0.007213348198880836,0.1570497384738871,0.16071428571428573,0.14035087719298245
E_vdw_interface,abodybuilder2_vs_boltz2,324,0.02330206622447873,-0.019215862683354946,0.09243697478991597,0.13043478260869565
E_coulomb_interface,esmfold_vs_abodybuilder2,324,0.6230267298310626,0.6118250377073907,0.32653061224489793,0.4772727272727273
E_coulomb_interface,esmfold_vs_boltz2,324,0.6921543787836015,0.6246690129043071,0.31313131313131315,0.5116279069767442
E_coulomb_interface,abodybuilder2_vs_boltz2,324,0.6325169835886421,0.5694816226085576,0.22641509433962265,0.4606741573033708
E_nonbonded_total_interface,esmfold_vs_abodybuilder2,324,-0.011152561244011375,-0.029961983893872442,0.056910569105691054,0.2037037037037037
E_nonbonded_total_interface,esmfold_vs_boltz2,324,-0.007052493567769989,0.12907517662935622,0.14035087719298245,0.23809523809523808
E_nonbonded_total_interface,abodybuilder2_vs_boltz2,324,0.06007895594246914,0.19884416924664608,0.1016949152542373,0.3541666666666667
E_vdw_per_iface_residue,esmfold_vs_abodybuilder2,324,0.0003060744517314084,0.19037760313302113,0.18181818181818182,0.16071428571428573
E_vdw_per_iface_residue,esmfold_vs_boltz2,324,-0.007586542673742713,0.14935937127887594,0.1504424778761062,0.13043478260869565
E_vdw_per_iface_residue,abodybuilder2_vs_boltz2,324,0.011460765460439084,-0.0009360253323101621,0.09243697478991597,0.1111111111111111
E_coulomb_per_iface_residue,esmfold_vs_abodybuilder2,324,0.6146812987240398,0.6170813156571672,0.3402061855670103,0.4444444444444444
E_coulomb_per_iface_residue,esmfold_vs_boltz2,324,0.6795497262636361,0.6302774029089819,0.31313131313131315,0.5294117647058824
E_coulomb_per_iface_residue,abodybuilder2_vs_boltz2,324,0.6370234228604748,0.5743600328120454,0.25,0.4444444444444444
E_nonbonded_per_iface_residue,esmfold_vs_abodybuilder2,324,-0.007004251907803771,-0.023204819489649215,0.0743801652892562,0.18181818181818182
E_nonbonded_per_iface_residue,esmfold_vs_boltz2,324,-0.0074278605665777184,0.12531872668095578,0.14035087719298245,0.22641509433962265
E_nonbonded_per_iface_residue,abodybuilder2_vs_boltz2,324,0.05490481966428069,0.22073262593386436,0.13043478260869565,0.3402061855670103
E_vdw_per_buried_SASA,esmfold_vs_abodybuilder2,324,-0.008425679972825185,0.1942712991629401,0.17117117117117117,0.21495327102803738
E_vdw_per_buried_SASA,esmfold_vs_boltz2,324,-0.007608752297622525,0.14367477265310086,0.16071428571428573,0.1206896551724138
E_vdw_per_buried_SASA,abodybuilder2_vs_boltz2,324,0.036515554241713585,0.09579705926455154,0.1016949152542373,0.18181818181818182
favorable_vdw_fraction,esmfold_vs_abodybuilder2,324,0.11655419881898803,0.22767008017782014,0.21495327102803738,0.2037037037037037
favorable_vdw_fraction,esmfold_vs_boltz2,324,0.1511072327595724,0.14801548869660325,0.1206896551724138,0.16071428571428573
favorable_vdw_fraction,abodybuilder2_vs_boltz2,324,0.1318646878485816,0.09889762112672332,0.14035087719298245,0.1016949152542373
