experiment_id,target,plm,chain_representation,pooling,pca_dim,model,hyperparameters,n_features_before_pca,n_features_after_pca,Primary_MAE,Primary_fold_SD,Shadow_MAE,delta_vs_stage1_primary,delta_vs_stage1_shadow,status,notes,pearson,spearman,hic_tail_mae,fold_maes,classical_family,delta_vs_plm_only_primary
TmApp__esm1b__L__PCA64__SVR,TmApp,esm1b,L,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,64,3.399165976557375,0.29639888193928887,,0.29806597655737477,,FIXED_SCREEN,fixed pipeline,0.2386114794702507,0.13246792830594772,,,,
TmApp__esm1b__HL__PCA16__Ridge,TmApp,esm1b,HL,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",2560,16,3.1796815525401723,0.21799211026124318,,0.07858155254017207,,FIXED_SCREEN,fixed pipeline,0.46573189553648275,0.41924421829068514,,,,
TmApp__esm1b__HL__PCA16__SVR,TmApp,esm1b,HL,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",2560,16,3.440531839647901,0.18722532827616595,,0.3394318396479008,,FIXED_SCREEN,fixed pipeline,0.14602242952213085,0.07402947748122096,,,,
TmApp__esm1b__HL__PCA32__Ridge,TmApp,esm1b,HL,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",2560,32,3.3505277214628277,0.25712223024396297,,0.24942772146282755,,FIXED_SCREEN,fixed pipeline,0.414099698459532,0.3875281966823126,,,,
TmApp__esm1b__HL__PCA32__SVR,TmApp,esm1b,HL,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",2560,32,3.4479324630768495,0.18691647575454118,,0.34683246307684934,,FIXED_SCREEN,fixed pipeline,0.03731602202426652,0.04100113696699688,,,,
TmApp__esm1b__HL__PCA64__Ridge,TmApp,esm1b,HL,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",2560,64,3.4741727850653907,0.40787350378541487,,0.37307278506539054,,FIXED_SCREEN,fixed pipeline,0.43488455350657224,0.4297032163304318,,,,
TmApp__esm1b__HL__PCA64__SVR,TmApp,esm1b,HL,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",2560,64,3.4505800900724255,0.18787260561003116,,0.3494800900724253,,FIXED_SCREEN,fixed pipeline,0.008259523046041743,0.016911821249574046,,,,
TmApp__esm2__H__PCA16__Ridge,TmApp,esm2,H,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",1280,16,3.4837362997459644,0.2964409774201108,,0.38263629974596425,,FIXED_SCREEN,fixed pipeline,0.312781225639856,0.28723962755321897,,,,
TmApp__esm2__H__PCA16__SVR,TmApp,esm2,H,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,16,3.406577752904733,0.16831987248337818,,0.305477752904733,,FIXED_SCREEN,fixed pipeline,0.19538771733328403,0.2295795273389595,,,,
TmApp__esm2__H__PCA32__Ridge,TmApp,esm2,H,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",1280,32,3.543568346717141,0.36437503471306537,,0.44246834671714064,,FIXED_SCREEN,fixed pipeline,0.3232350487975274,0.30108748786975537,,,,
TmApp__esm2__H__PCA32__SVR,TmApp,esm2,H,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,32,3.4304653662849063,0.18428656917221023,,0.3293653662849061,,FIXED_SCREEN,fixed pipeline,0.12518145534168773,0.12304155149351809,,,,
TmApp__esm2__H__PCA64__Ridge,TmApp,esm2,H,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",1280,64,3.7483756708376332,0.3613842039577906,,0.647275670837633,,FIXED_SCREEN,fixed pipeline,0.3263519521638636,0.3029351876855291,,,,
TmApp__esm2__H__PCA64__SVR,TmApp,esm2,H,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,64,3.4381713566088328,0.18343491897649838,,0.3370713566088326,,FIXED_SCREEN,fixed pipeline,0.09167123317123099,0.04906434075020509,,,,
TmApp__esm2__L__PCA16__Ridge,TmApp,esm2,L,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",1280,16,3.555515287139199,0.2757251969266551,,0.45441528713919865,,FIXED_SCREEN,fixed pipeline,0.16934759159390864,0.15244088525948324,,,,
TmApp__esm2__L__PCA16__SVR,TmApp,esm2,L,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,16,3.2920387221351377,0.29595340909260526,,0.19093872213513752,,FIXED_SCREEN,fixed pipeline,0.2882989100330363,0.18934544006612558,,,,
TmApp__esm2__L__PCA32__Ridge,TmApp,esm2,L,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",1280,32,3.7154270201018362,0.14194687898112698,,0.614327020101836,,FIXED_SCREEN,fixed pipeline,0.11990964255232056,0.13312903190975667,,,,
TmApp__esm2__L__PCA32__SVR,TmApp,esm2,L,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,32,3.327937122612177,0.2964058047334784,,0.2268371226121766,,FIXED_SCREEN,fixed pipeline,0.2897344429730893,0.15263158822212045,,,,
TmApp__esm2__L__PCA64__Ridge,TmApp,esm2,L,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",1280,64,4.125514312946435,0.35328894302491626,,1.0244143129464347,,FIXED_SCREEN,fixed pipeline,0.09305094348244347,0.1311132309639546,,,,
TmApp__esm2__L__PCA64__SVR,TmApp,esm2,L,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",1280,64,3.3518846679016625,0.27815271626238186,,0.2507846679016623,,FIXED_SCREEN,fixed pipeline,0.29469223408248374,0.13576497063776413,,,,
