family,proxy,spearman,flag,N
PACKING_CAVITY,n_res,-0.035794101017305374,False,324
PACKING_CAVITY,clash,,False,324
PACKING_CAVITY,hl_corr,-0.2781205401638839,False,324
BURIED_UNSAT,n_res,0.2644923573312396,False,323
BURIED_UNSAT,clash,,False,323
BURIED_UNSAT,hl_corr,-0.46228137835352806,False,323
FAB_INTERFACE,n_res,0.11560539171200371,False,324
FAB_INTERFACE,clash,,False,324
FAB_INTERFACE,hl_corr,-0.44361708696074026,False,324
