scope,target,family,cv,status,base_name,N,base_dim,struct_dim,plus_dim,base_mae,plus_mae,delta_mae,label,fold_test_fold,fold_n_train,fold_n_val,fold_n_test,fold_base_mae,fold_plus_mae,fold_delta_mae,fold_alpha_base,fold_alpha_plus,alphas_base,alphas_plus
GapClosure,TmApp,BURIED_UNSAT,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,20,578,2.8859736801983553,2.836088023120725,0.04988565707763026,SIMPLE_TVT_CV,1,97.0,31.0,33.0,2.508151846207773,2.5499084033953037,-0.041756557187530685,100.0,100.0,,
GapClosure,TmApp,BURIED_UNSAT,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,20,578,2.8859736801983553,2.836088023120725,0.04988565707763026,SIMPLE_TVT_CV,2,98.0,32.0,31.0,3.576641463942604,3.4206785871092498,0.15596287683335408,100.0,100.0,,
GapClosure,TmApp,BURIED_UNSAT,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,20,578,2.8859736801983553,2.836088023120725,0.04988565707763026,SIMPLE_TVT_CV,3,96.0,33.0,32.0,2.519128288324055,2.5804343970337067,-0.061306108709651586,100.0,100.0,,
GapClosure,TmApp,BURIED_UNSAT,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,20,578,2.8859736801983553,2.836088023120725,0.04988565707763026,SIMPLE_TVT_CV,4,96.0,32.0,33.0,3.0935851326679695,2.963295564247231,0.13028956842073836,100.0,100.0,,
GapClosure,TmApp,BURIED_UNSAT,Shadow,OK_AGG,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,20,578,2.8859736801983553,2.836088023120725,0.04988565707763026,SIMPLE_TVT_CV,-1,,,,,,,,,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0, 100.0]"
GapClosure,TmApp,FAB_INTERFACE,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,162,558,29,587,2.7629769100217336,2.7884166583937455,-0.025439748372011906,SIMPLE_TVT_CV,0,97.0,33.0,32.0,2.4574806487819822,2.45584065031198,0.0016399984700021797,100.0,100.0,,
GapClosure,TmApp,FAB_INTERFACE,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,162,558,29,587,2.7629769100217336,2.7884166583937455,-0.025439748372011906,SIMPLE_TVT_CV,1,96.0,33.0,33.0,2.7488659885186695,2.7296199322225387,0.019246056296130742,100.0,100.0,,
GapClosure,TmApp,FAB_INTERFACE,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,162,558,29,587,2.7629769100217336,2.7884166583937455,-0.025439748372011906,SIMPLE_TVT_CV,2,97.0,32.0,33.0,2.952400306176623,2.91357698600298,0.03882332017364298,100.0,100.0,,
GapClosure,TmApp,FAB_INTERFACE,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,162,558,29,587,2.7629769100217336,2.7884166583937455,-0.025439748372011906,SIMPLE_TVT_CV,3,98.0,32.0,32.0,3.0278514466464292,3.020934297119128,0.0069171495273012695,100.0,100.0,,
GapClosure,TmApp,FAB_INTERFACE,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,162,558,29,587,2.7629769100217336,2.7884166583937455,-0.025439748372011906,SIMPLE_TVT_CV,4,98.0,32.0,32.0,2.622807645152094,2.820037563767163,-0.197229918615069,100.0,100.0,,
GapClosure,TmApp,FAB_INTERFACE,Primary,OK_AGG,ABLANG2_HL_PAIRED+SEQ_BASIC,162,558,29,587,2.7629769100217336,2.7884166583937455,-0.025439748372011906,SIMPLE_TVT_CV,-1,,,,,,,,,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0, 100.0]"
GapClosure,TmApp,FAB_INTERFACE,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,162,558,29,587,2.8973641403873263,2.9237091809644506,-0.02634504057712439,SIMPLE_TVT_CV,0,97.0,33.0,32.0,2.799873529857552,2.7289053560262864,0.07096817383126552,100.0,100.0,,
GapClosure,TmApp,FAB_INTERFACE,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,162,558,29,587,2.8973641403873263,2.9237091809644506,-0.02634504057712439,SIMPLE_TVT_CV,1,97.0,32.0,33.0,2.4925868671922715,2.5058412128333942,-0.013254345641122711,100.0,100.0,,
GapClosure,TmApp,FAB_INTERFACE,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,162,558,29,587,2.8973641403873263,2.9237091809644506,-0.02634504057712439,SIMPLE_TVT_CV,2,98.0,32.0,32.0,3.591509925256263,3.6651869014883323,-0.07367697623206926,100.0,100.0,,
GapClosure,TmApp,FAB_INTERFACE,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,162,558,29,587,2.8973641403873263,2.9237091809644506,-0.02634504057712439,SIMPLE_TVT_CV,3,97.0,33.0,32.0,2.5014188564291557,2.6695646999743436,-0.1681458435451879,100.0,100.0,,
GapClosure,TmApp,FAB_INTERFACE,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,162,558,29,587,2.8973641403873263,2.9237091809644506,-0.02634504057712439,SIMPLE_TVT_CV,4,97.0,32.0,33.0,3.107513641091721,3.057912262214914,0.04960137887680682,100.0,100.0,,
GapClosure,TmApp,FAB_INTERFACE,Shadow,OK_AGG,ABLANG2_HL_PAIRED+SEQ_BASIC,162,558,29,587,2.8973641403873263,2.9237091809644506,-0.02634504057712439,SIMPLE_TVT_CV,-1,,,,,,,,,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0, 100.0]"
GapClosure,TmApp,CORE_DEFECT,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,53,611,2.758265401959897,2.8414861398749953,-0.08322073791509821,SIMPLE_TVT_CV,0,96.0,33.0,32.0,2.4910018171261723,2.5388486735112985,-0.0478468563851262,100.0,100.0,,
GapClosure,TmApp,CORE_DEFECT,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,53,611,2.758265401959897,2.8414861398749953,-0.08322073791509821,SIMPLE_TVT_CV,1,95.0,33.0,33.0,2.767517764444202,2.681650682632644,0.08586708181155789,100.0,100.0,,
GapClosure,TmApp,CORE_DEFECT,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,53,611,2.758265401959897,2.8414861398749953,-0.08322073791509821,SIMPLE_TVT_CV,2,96.0,32.0,33.0,2.9250278160123324,3.249755364739677,-0.32472754872734466,100.0,100.0,,
GapClosure,TmApp,CORE_DEFECT,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,53,611,2.758265401959897,2.8414861398749953,-0.08322073791509821,SIMPLE_TVT_CV,3,98.0,31.0,32.0,2.98445823715424,2.9026634561744444,0.08179478097979542,100.0,100.0,,
GapClosure,TmApp,CORE_DEFECT,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,53,611,2.758265401959897,2.8414861398749953,-0.08322073791509821,SIMPLE_TVT_CV,4,98.0,32.0,31.0,2.6132904459195037,2.826273574407867,-0.21298312848836343,100.0,100.0,,
GapClosure,TmApp,CORE_DEFECT,Primary,OK_AGG,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,53,611,2.758265401959897,2.8414861398749953,-0.08322073791509821,SIMPLE_TVT_CV,-1,,,,,,,,,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0, 100.0]"
GapClosure,TmApp,CORE_DEFECT,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,53,611,2.8859736801983553,2.9557564604658024,-0.06978278026744711,SIMPLE_TVT_CV,0,96.0,33.0,32.0,2.759264112513913,2.7350036276460017,0.024260484867911103,100.0,100.0,,
GapClosure,TmApp,CORE_DEFECT,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,53,611,2.8859736801983553,2.9557564604658024,-0.06978278026744711,SIMPLE_TVT_CV,1,97.0,31.0,33.0,2.508151846207773,2.7206350028805684,-0.21248315667279538,100.0,100.0,,
GapClosure,TmApp,CORE_DEFECT,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,53,611,2.8859736801983553,2.9557564604658024,-0.06978278026744711,SIMPLE_TVT_CV,2,98.0,32.0,31.0,3.576641463942604,3.505750268977588,0.07089119496501572,100.0,100.0,,
GapClosure,TmApp,CORE_DEFECT,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,53,611,2.8859736801983553,2.9557564604658024,-0.06978278026744711,SIMPLE_TVT_CV,3,96.0,33.0,32.0,2.519128288324055,2.7926184895087705,-0.27349020118471534,100.0,100.0,,
GapClosure,TmApp,CORE_DEFECT,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,53,611,2.8859736801983553,2.9557564604658024,-0.06978278026744711,SIMPLE_TVT_CV,4,96.0,32.0,33.0,3.0935851326679695,3.0464748167478013,0.04711031592016823,100.0,100.0,,
GapClosure,TmApp,CORE_DEFECT,Shadow,OK_AGG,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,53,611,2.8859736801983553,2.9557564604658024,-0.06978278026744711,SIMPLE_TVT_CV,-1,,,,,,,,,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0, 100.0]"
GapClosure,TmApp,GAP_ALL,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,82,640,2.758265401959897,2.9149667966552095,-0.1567013946953124,SIMPLE_TVT_CV,0,96.0,33.0,32.0,2.4910018171261723,2.5133760823933327,-0.022374265267160354,100.0,100.0,,
GapClosure,TmApp,GAP_ALL,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,82,640,2.758265401959897,2.9149667966552095,-0.1567013946953124,SIMPLE_TVT_CV,1,95.0,33.0,33.0,2.767517764444202,2.6781269368953033,0.0893908275488986,100.0,100.0,,
GapClosure,TmApp,GAP_ALL,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,82,640,2.758265401959897,2.9149667966552095,-0.1567013946953124,SIMPLE_TVT_CV,2,96.0,32.0,33.0,2.9250278160123324,3.3111619316021055,-0.38613411558977306,100.0,100.0,,
GapClosure,TmApp,GAP_ALL,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,82,640,2.758265401959897,2.9149667966552095,-0.1567013946953124,SIMPLE_TVT_CV,3,98.0,31.0,32.0,2.98445823715424,3.0710250051692825,-0.0865667680150426,100.0,100.0,,
GapClosure,TmApp,GAP_ALL,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,82,640,2.758265401959897,2.9149667966552095,-0.1567013946953124,SIMPLE_TVT_CV,4,98.0,32.0,31.0,2.6132904459195037,2.9987834451313082,-0.3854929992118046,100.0,100.0,,
GapClosure,TmApp,GAP_ALL,Primary,OK_AGG,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,82,640,2.758265401959897,2.9149667966552095,-0.1567013946953124,SIMPLE_TVT_CV,-1,,,,,,,,,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0, 100.0]"
GapClosure,TmApp,GAP_ALL,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,82,640,2.8859736801983553,3.005219842481863,-0.11924616228350748,SIMPLE_TVT_CV,0,96.0,33.0,32.0,2.759264112513913,2.686515692410454,0.07274842010345894,100.0,100.0,,
GapClosure,TmApp,GAP_ALL,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,82,640,2.8859736801983553,3.005219842481863,-0.11924616228350748,SIMPLE_TVT_CV,1,97.0,31.0,33.0,2.508151846207773,2.714032521515727,-0.20588067530795406,100.0,100.0,,
GapClosure,TmApp,GAP_ALL,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,82,640,2.8859736801983553,3.005219842481863,-0.11924616228350748,SIMPLE_TVT_CV,2,98.0,32.0,31.0,3.576641463942604,3.6071646152412247,-0.03052315129862082,100.0,100.0,,
GapClosure,TmApp,GAP_ALL,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,82,640,2.8859736801983553,3.005219842481863,-0.11924616228350748,SIMPLE_TVT_CV,3,96.0,33.0,32.0,2.519128288324055,2.9353530696167,-0.41622478129264495,100.0,100.0,,
GapClosure,TmApp,GAP_ALL,Shadow,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,82,640,2.8859736801983553,3.005219842481863,-0.11924616228350748,SIMPLE_TVT_CV,4,96.0,32.0,33.0,3.0935851326679695,3.1077399385519406,-0.014154805883971111,100.0,100.0,,
GapClosure,TmApp,GAP_ALL,Shadow,OK_AGG,ABLANG2_HL_PAIRED+SEQ_BASIC,161,558,82,640,2.8859736801983553,3.005219842481863,-0.11924616228350748,SIMPLE_TVT_CV,-1,,,,,,,,,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0, 100.0]"
GapClosure,HIC,CONTINUOUS_SURFACE,Primary,OK,ESM2_H+SEQ_ALL+AROMATIC_TOPO,162,1414,45,1459,0.5283867651592855,0.5117587462219735,0.016628018937312028,SIMPLE_TVT_CV,0,97.0,33.0,32.0,0.4873041548279524,0.47702298548669303,0.010281169341259389,100.0,100.0,,
GapClosure,HIC,CONTINUOUS_SURFACE,Primary,OK,ESM2_H+SEQ_ALL+AROMATIC_TOPO,162,1414,45,1459,0.5283867651592855,0.5117587462219735,0.016628018937312028,SIMPLE_TVT_CV,1,96.0,33.0,33.0,0.5091895195344521,0.48068269643284717,0.02850682310160496,100.0,100.0,,
GapClosure,HIC,CONTINUOUS_SURFACE,Primary,OK,ESM2_H+SEQ_ALL+AROMATIC_TOPO,162,1414,45,1459,0.5283867651592855,0.5117587462219735,0.016628018937312028,SIMPLE_TVT_CV,2,97.0,32.0,33.0,0.5135860738635138,0.5028936771189343,0.010692396744579558,100.0,100.0,,
