feature,is_angular,esmfold_vs_abodybuilder2_pearson,esmfold_vs_abodybuilder2_spearman,esmfold_vs_abodybuilder2_mean_abs_ang_diff_deg,esmfold_vs_abodybuilder2_median_abs_ang_diff_deg,esmfold_vs_boltz2_pearson,esmfold_vs_boltz2_spearman,esmfold_vs_boltz2_mean_abs_ang_diff_deg,esmfold_vs_boltz2_median_abs_ang_diff_deg,abodybuilder2_vs_boltz2_pearson,abodybuilder2_vs_boltz2_spearman,abodybuilder2_vs_boltz2_mean_abs_ang_diff_deg,abodybuilder2_vs_boltz2_median_abs_ang_diff_deg,median_pairwise_spearman,min_pairwise_spearman,esmfold_vs_abodybuilder2_mean_abs_diff,esmfold_vs_abodybuilder2_median_abs_diff,esmfold_vs_boltz2_mean_abs_diff,esmfold_vs_boltz2_median_abs_diff,abodybuilder2_vs_boltz2_mean_abs_diff,abodybuilder2_vs_boltz2_median_abs_diff
HL,True,0.009258805820661254,-0.08766944357198767,60.059586266075506,35.58822432472934,0.4770749406813149,0.512552694609499,2.502468204942766,2.255548129460607,-0.007435634061606815,-0.06717846050192262,59.71340049198484,33.39294108349674,-0.06717846050192262,-0.08766944357198767,,,,,,
HC1,True,0.02427280630027386,0.07404558568914471,56.25787020426557,57.06719036443374,0.3991678512460135,0.31371053379399055,1.18641808239769,0.953174542942179,-0.1469634810124411,-0.14514725290065175,56.60887270232298,57.4319128570537,0.07404558568914471,-0.14514725290065175,,,,,,
LC1,True,0.12067230088801684,0.1198096833444794,13.433839230389452,10.660960444252595,0.6539792005971045,0.6035983679004274,1.5661409422203543,1.4253486003201488,0.09539609122904372,0.13096431046357013,13.529865724890703,10.489529865892507,0.13096431046357013,0.1198096833444794,,,,,,
HC2,True,0.00661824107003658,-0.038601761579282114,18.436993237316187,10.060450992268386,0.7114225968791961,0.6502399078115865,2.3722652860686524,2.3828267343095604,-0.0072029170729050514,-0.06021233817707098,19.8953944103147,11.993406589114983,-0.038601761579282114,-0.06021233817707098,,,,,,
LC2,True,-0.09959960582785109,-0.09133661092201946,31.938742962477424,28.272403348966662,0.24119454436424567,0.20578264359392373,1.5119723265500886,1.3669567093209025,0.1867908200979996,0.15348366654060558,31.555571769429488,28.174740447021236,0.15348366654060558,-0.09133661092201946,,,,,,
dc,False,0.24117817136044187,0.33501165531048427,,,0.6610828833610806,0.6169238099511353,,,0.2974861374484834,0.3228050945778769,,,0.33501165531048427,0.3228050945778769,8.953852161514506,9.23039774547322,0.17552962785281234,0.11750169972035884,8.915161498612589,9.18788155937531
