experiment_id,target,PLM,chain,regressor,pca_dim,Primary_MAE,Shadow_MAE,delta_vs_stage2_primary,delta_vs_stage2_shadow,status,hyperparameters
TmApp__ablang2__HL_paired__RidgeOpt_PCANone,TmApp,ablang2,HL_paired,RidgeOpt,None,2.8634150425593057,2.980265860124068,-0.05968495744069413,-0.055834139875931665,PCA_NO_PCA_GAIN_CONFIRMED,"{""alpha"": 54.034535219662935}"
TmApp__ablang2__HL__RidgeOpt_PCANone,TmApp,ablang2,HL,RidgeOpt,None,2.920251204028274,2.9537334326541784,-0.002848795971725604,-0.08236656734582137,PCA_NO_PCA_GAIN_UNCONFIRMED,"{""alpha"": 97.90775331471063}"
TmApp__ablang2__HL_paired__SVROpt_PCA64,TmApp,ablang2,HL_paired,SVROpt,64,2.967822516065445,2.984389747483541,0.044722516065445195,-0.05171025251645878,PCA_NO_PCA_NO_BEAT_STAGE2,"{""C"": 36.58954048282737, ""gamma"": 0.00021222233955858917, ""epsilon"": 0.00985677287287561}"
HIC__esm2__H__SVROpt_PCANone,HIC,esm2,H,SVROpt,None,0.4530230116517163,0.4479707248506496,-0.0021769883482836705,-0.004929275149350432,PCA_EQUIVALENT,"{""C"": 1.205320138644161, ""gamma"": 0.0004032039081113628, ""epsilon"": 0.016987321928896612}"
HIC__esm1b__H__SVROpt_PCA64,HIC,esm1b,H,SVROpt,64,0.4703177540257563,0.46091746401979494,0.015117754025756325,0.008017464019794918,PCA_NO_PCA_NO_BEAT_STAGE2,"{""C"": 1.1722193939496186, ""gamma"": 0.00026401873542442647, ""epsilon"": 0.0014614409964643354}"
HIC__esm2__H__RidgeOpt_PCA32,HIC,esm2,H,RidgeOpt,32,0.5045038529049266,0.5041499806375214,0.049303852904926615,0.05124998063752134,PCA_NO_PCA_NO_BEAT_STAGE2,"{""alpha"": 73.4259080443188}"
