target,model_id,model_name,aliases,family,gate,oof_hash,test_hash,cv_mae,public_mae,private_mae,persona,order,combo,n_dup
HIC,HIC__STRUCT_ElasticNet__d0365fb8,STRUCT_ElasticNet,A_CV_FIRST:STRUCT_ElasticNet;B_BALANCED:STRUCT_ElasticNet;C_PUBLIC_DRIVEN:STRUCT_ElasticNet,structure,B7,d0365fb87c299d8f5e3d720c38b190a1adf765fc90bfda66b86c2ef8d1b77920,54b5cbbb6eb30adc575722debdf9d465d52df9f425415fb3114219c4a21b08a7,0.47884046341910047,0.5260061809498255,0.4734627182286842,B_BALANCED,4.0,d0365fb87c299d8f5e3d720c38b190a1adf765fc90bfda66b86c2ef8d1b7792054b5cbbb6eb30adc575722debdf9d465d52df9f425415fb3114219c4a21b08a7,3
HIC,HIC__ESM2_PHYS_STRUCT_Ridge__fd502d9e,ESM2_PHYS_STRUCT_Ridge,A_CV_FIRST:ESM2_PHYS_STRUCT_Ridge;B_BALANCED:ESM2_PHYS_STRUCT_Ridge;C_PUBLIC_DRIVEN:ESM2_PHYS_STRUCT_Ridge,fusion,B7,fd502d9e81d4f5aadbfa4b1dfa21cad10678c8e0c6e8e67b1f159c9148be3da2,002b6a1fa3f6c66e1e8fdf26243a0b0b1b5a521a38433da8e1bef12d17c7b957,0.5609841121984892,0.5888743881791082,0.5254921671159789,B_BALANCED,5.0,fd502d9e81d4f5aadbfa4b1dfa21cad10678c8e0c6e8e67b1f159c9148be3da2002b6a1fa3f6c66e1e8fdf26243a0b0b1b5a521a38433da8e1bef12d17c7b957,3
TmApp,TmApp__SEQ_SIMPLE_Ridge__011aeef3,SEQ_SIMPLE_Ridge,A_CV_FIRST:SEQ_SIMPLE_Ridge;B_BALANCED:SEQ_SIMPLE_Ridge;C_PUBLIC_DRIVEN:SEQ_SIMPLE_Ridge,simple,B7,011aeef323aafef3c47ba4e87b96a0e963e8467fe801ea1a004be9d55be1e5ab,e02f5175882ee727bd753c360c7e4bd827760a1bf550895de493865dcab0b912,3.923226073944945,3.5762688250328276,3.653053588136578,B_BALANCED,2.0,011aeef323aafef3c47ba4e87b96a0e963e8467fe801ea1a004be9d55be1e5abe02f5175882ee727bd753c360c7e4bd827760a1bf550895de493865dcab0b912,3
TmApp,TmApp__NESTED_STACK_MEAN__063c9d1b,NESTED_STACK_MEAN,NESTED_STACK_MEAN,ensemble,B5,063c9d1bee1c48d92902c33bb21fe033572fea381972a71a2a5cabae2c056df8,0707a019157feadc31abd56a6c151bf2d4cdd5e428a1dd34c65a1783c0aa498c,2.778067764951105,3.481246978921044,3.430207328611208,,,063c9d1bee1c48d92902c33bb21fe033572fea381972a71a2a5cabae2c056df80707a019157feadc31abd56a6c151bf2d4cdd5e428a1dd34c65a1783c0aa498c,1
TmApp,TmApp__ENSEMBLE_TOP2_PUBLIC__26d32c7c,ENSEMBLE_TOP2_PUBLIC,B_BALANCED:ENSEMBLE_TOP2_PUBLIC,ensemble,B7,26d32c7cba3c65bc4a23f5ef10ceb2848cb053a13d3551542e31ed4a0dbb66f9,b39daa56dd1bea47be28303ee67dce57b4c3ca6dd697497833e266a770f3910c,3.2321531701204425,3.494887249363428,3.4727383630152437,B_BALANCED,7.0,26d32c7cba3c65bc4a23f5ef10ceb2848cb053a13d3551542e31ed4a0dbb66f9b39daa56dd1bea47be28303ee67dce57b4c3ca6dd697497833e266a770f3910c,1
TmApp,TmApp__ENSEMBLE_TOP2_CV__2837d85b,ENSEMBLE_TOP2_CV,A_CV_FIRST:ENSEMBLE_TOP2_CV;A_CV_FIRST:ENSEMBLE_TOP3_CV,ensemble,B7,2837d85b9aff880252474f8df5fcd0756da3b3c0353218f49866a38497877979,50374da5f1f5fc4d7f03642273dd44a08181f6b6a7b77dc97e1ce6259e5ff999,2.736083958345015,3.4648764347285614,3.3517733714767,A_CV_FIRST,8.0,2837d85b9aff880252474f8df5fcd0756da3b3c0353218f49866a3849787797950374da5f1f5fc4d7f03642273dd44a08181f6b6a7b77dc97e1ce6259e5ff999,2
TmApp,TmApp__CONST_MEDIAN__287fad5c,CONST_MEDIAN,A_CV_FIRST:CONST_MEDIAN;B_BALANCED:CONST_MEDIAN;C_PUBLIC_DRIVEN:CONST_MEDIAN,const,B7,287fad5cec6424a1aeffd80943800895744a641f8810e5ab0641c36bcc0fc031,c614b40bf417197bf5a5e443970ace12219dfd04a1d2ee31eea360b6e9b68148,3.574074074074074,3.7839506172839505,3.771604938271605,B_BALANCED,1.0,287fad5cec6424a1aeffd80943800895744a641f8810e5ab0641c36bcc0fc031c614b40bf417197bf5a5e443970ace12219dfd04a1d2ee31eea360b6e9b68148,3
TmApp,TmApp__FUSION_ESM2_STRUCT_ENet__2dafa4ee,FUSION_ESM2_STRUCT_ENet,C_PUBLIC_DRIVEN:FUSION_ESM2_STRUCT_ENet,fusion,B7,2dafa4eec4b16c625c880ebd2a6fee5cb8a0842f70a20f37bd27ce1e0c94e97d,f202e42aeef68d2b075d0bfc6f97d5341d333ad032f56a9b6ce767876dd9c968,3.7301876446173323,3.5299359232088166,3.35207567920519,C_PUBLIC_DRIVEN,9.0,2dafa4eec4b16c625c880ebd2a6fee5cb8a0842f70a20f37bd27ce1e0c94e97df202e42aeef68d2b075d0bfc6f97d5341d333ad032f56a9b6ce767876dd9c968,1
TmApp,TmApp__FUSION_ABLANG2_BIO_ElasticNet__38a66c67,FUSION_ABLANG2_BIO_ElasticNet,FUSION_ABLANG2_BIO_ElasticNet,fusion,B5,38a66c6775c557efd6d14b614a0c8cde3f2c1e511c8167c94e06f369f4c9b0a4,dc79a7c922b3d044f8fd0faf644267a4a8cd38f3359ef8b9ea63ac023768a7fd,3.058794816831615,3.9182332970844547,3.713580706490721,,,38a66c6775c557efd6d14b614a0c8cde3f2c1e511c8167c94e06f369f4c9b0a4dc79a7c922b3d044f8fd0faf644267a4a8cd38f3359ef8b9ea63ac023768a7fd,1
TmApp,TmApp__ENSEMBLE_CV_PUBLIC__619a872c,ENSEMBLE_CV_PUBLIC,B_BALANCED:ENSEMBLE_CV_PUBLIC,ensemble,B7,619a872c1bbb9bac12667da15fd84afb60d86a76f125bf1feaabd09376b1b08e,b6957da93417707b870488c18078bab57069e166d1a146f65321c22e11dd5daf,3.156706072962881,3.545067541225702,3.5025905286206678,B_BALANCED,6.0,619a872c1bbb9bac12667da15fd84afb60d86a76f125bf1feaabd09376b1b08eb6957da93417707b870488c18078bab57069e166d1a146f65321c22e11dd5daf,1
TmApp,TmApp__SEQ_SIMPLE_Ridge__6933ae89,SEQ_SIMPLE_Ridge,SEQ_SIMPLE_Ridge,simple,B5,6933ae8914e1b0e445e34d801cbc186f49fba326ee288184a35af9c79f44dc42,e02f5175882ee727bd753c360c7e4bd827760a1bf550895de493865dcab0b912,3.633461410789381,3.5762688250328276,3.653053588136578,,,6933ae8914e1b0e445e34d801cbc186f49fba326ee288184a35af9c79f44dc42e02f5175882ee727bd753c360c7e4bd827760a1bf550895de493865dcab0b912,1
TmApp,TmApp__ESM2_PCA64_SVR__6d332725,ESM2_PCA64_SVR,A_CV_FIRST:ESM2_PCA64_SVR;B_BALANCED:ESM2_PCA64_SVR;C_PUBLIC_DRIVEN:ESM2_PCA64_SVR,esm2,B7,6d3327254af2cc08dd7e7f33304fc3a40ff3ebfcf14af75861f70779e6d6a12d,4b731a2b7eed76ff842ea264f85fef9f54b4a89a782ab8dfbadfcdde7a59e8f8,3.3897015133672936,3.5249414977478475,3.5028792565811013,B_BALANCED,5.0,6d3327254af2cc08dd7e7f33304fc3a40ff3ebfcf14af75861f70779e6d6a12d4b731a2b7eed76ff842ea264f85fef9f54b4a89a782ab8dfbadfcdde7a59e8f8,3
TmApp,TmApp__STRUCT_ElasticNet__6d73d5b3,STRUCT_ElasticNet,A_CV_FIRST:STRUCT_ElasticNet;B_BALANCED:STRUCT_ElasticNet;C_PUBLIC_DRIVEN:STRUCT_ElasticNet,structure,B7,6d73d5b359075d3fc792d72b2a8a8aa9c061ee04c8f7cc816ff682403a0b08c4,bfde20f421264a7230d1bb9960aa5da086de1c87f1b1e8d0d1c5cc14468451d2,3.7572208952665487,3.776216827486285,3.5032987251788845,B_BALANCED,8.0,6d73d5b359075d3fc792d72b2a8a8aa9c061ee04c8f7cc816ff682403a0b08c4bfde20f421264a7230d1bb9960aa5da086de1c87f1b1e8d0d1c5cc14468451d2,3
TmApp,TmApp__BIO_ABLANG2_Ridge__6dd896b4,BIO_ABLANG2_Ridge,A_CV_FIRST:BIO_ABLANG2_Ridge;C_PUBLIC_DRIVEN:BIO_ABLANG2_Ridge,fusion,B7,6dd896b46e725442ffee46e50c93ece82a16aa90cda35f839f043ed0a37b302c,00b5f5c01794ba36e94e25d9bb19cdb44be6d0eaa1c2b221182e82e0b1615443,3.0008474305527484,4.035457649316087,3.5278364618396725,C_PUBLIC_DRIVEN,7.0,6dd896b46e725442ffee46e50c93ece82a16aa90cda35f839f043ed0a37b302c00b5f5c01794ba36e94e25d9bb19cdb44be6d0eaa1c2b221182e82e0b1615443,2
TmApp,TmApp__ABLANG2_PCA32_SVR__726ad4e0,ABLANG2_PCA32_SVR,A_CV_FIRST:ABLANG2_PCA32_SVR;B_BALANCED:ABLANG2_PCA32_SVR;C_PUBLIC_DRIVEN:ABLANG2_PCA32_SVR,ablang2,B7,726ad4e02b24e326aea86d12eb5cdb4d06eba4b3cba8e845bb2a609f09752f3c,bcb5a50d7adcd96e5636db1695fcebd99526a8edffc7395b2750f7d75f561fe3,3.404011344611855,3.6448313552110325,3.394606791718048,B_BALANCED,4.0,726ad4e02b24e326aea86d12eb5cdb4d06eba4b3cba8e845bb2a609f09752f3cbcb5a50d7adcd96e5636db1695fcebd99526a8edffc7395b2750f7d75f561fe3,3
TmApp,TmApp__CONST_MEDIAN__9b645de0,CONST_MEDIAN,CONST_MEDIAN,const,B5,9b645de054370d90f98985a9fd6310686fa5cf01a84948e43f37ad7c1cdacd33,c614b40bf417197bf5a5e443970ace12219dfd04a1d2ee31eea360b6e9b68148,3.54320987654321,3.7839506172839505,3.771604938271605,,,9b645de054370d90f98985a9fd6310686fa5cf01a84948e43f37ad7c1cdacd33c614b40bf417197bf5a5e443970ace12219dfd04a1d2ee31eea360b6e9b68148,1
TmApp,TmApp__BIO_Ridge__af28a83e,BIO_Ridge,BIO_Ridge,bio,B5,af28a83e60a8fd5336792748a45e437f8d16dd7365031d2d3dd727bfbb855a3c,520361da8330c82f8cf6fb799f90fad5842fdb41dbcb5f5857d162fda101db36,3.1680781102364866,3.7336199438702398,3.578850739299944,,,af28a83e60a8fd5336792748a45e437f8d16dd7365031d2d3dd727bfbb855a3c520361da8330c82f8cf6fb799f90fad5842fdb41dbcb5f5857d162fda101db36,1
TmApp,TmApp__BIO_Ridge__c081e7d9,BIO_Ridge,A_CV_FIRST:BIO_Ridge;B_BALANCED:BIO_Ridge;C_PUBLIC_DRIVEN:BIO_Ridge,bio,B7,c081e7d9ec80c6214d670b6da7544aa547ba02f86b6070c00d340e35aacc5dcb,520361da8330c82f8cf6fb799f90fad5842fdb41dbcb5f5857d162fda101db36,3.202763774830486,3.7336199438702398,3.578850739299944,B_BALANCED,3.0,c081e7d9ec80c6214d670b6da7544aa547ba02f86b6070c00d340e35aacc5dcb520361da8330c82f8cf6fb799f90fad5842fdb41dbcb5f5857d162fda101db36,3
TmApp,TmApp__PLM_ABLANG2_PCA32_SVR__e5c790a7,PLM_ABLANG2_PCA32_SVR,PLM_ABLANG2_PCA32_SVR,ablang2,B5,e5c790a7c53a51a947aea0aa508e9cac63fd754b4475a388a21273ac74246583,f6cab65cced9df349e29623153a42c71707e695867e130a7c7eda7e698271086,2.947959052568804,3.4947035625103533,3.2439685538730796,,,e5c790a7c53a51a947aea0aa508e9cac63fd754b4475a388a21273ac74246583f6cab65cced9df349e29623153a42c71707e695867e130a7c7eda7e698271086,1
TmApp,TmApp__ENSEMBLE_PUBLIC_BEST2__ea4b3a9c,ENSEMBLE_PUBLIC_BEST2,C_PUBLIC_DRIVEN:ENSEMBLE_PUBLIC_BEST2,ensemble,B7,ea4b3a9c65036ac9e7a2500c4782210504db32f67b442802fc5a683610854ab6,2fbedb8fcac1fd52a7cf1f9bf2a9b72f6d464b07d412283e7bfea7bbe8c3675a,3.4600744642741454,3.417763928905745,3.492103428488829,C_PUBLIC_DRIVEN,6.0,ea4b3a9c65036ac9e7a2500c4782210504db32f67b442802fc5a683610854ab62fbedb8fcac1fd52a7cf1f9bf2a9b72f6d464b07d412283e7bfea7bbe8c3675a,1
