topology,BASE,FULL,IMGT,REGION
FUSE,0.5292486599604289,0.5309291795659948,0.5366259487105005,0.5332631293544063
JOINT,0.5294873064347255,0.5306768077991626,0.5369929057180146,0.5285902228013969
REG-SEP,0.5271652982146652,0.5325906547405101,0.5391708564146065,0.5333840036627687
SEP,0.5412035073810154,0.5306488065389938,0.53445984831445,0.5347152519178979
XREG,0.53378326938064,0.5290203236615215,0.5332364634337249,0.5298129200900042
