target,model_id,short_id,expected_primary_mae,reproduced_primary_mae,expected_shadow_mae,reproduced_shadow_mae,max_difference,oof_primary_hash,oof_shadow_hash,test_prediction_hash,final_alpha,pass
TmApp,TM_PARENT_ABLINGUA_CDR3__RIDGE,T1,2.732072376654289,2.732072376654289,2.784957206877823,2.784957206877823,0.0,7b8ad9185e0c7f40ca79d92a7382fc0e5a7899554513746edd8f21815352100b,04a2bb90796eee104e428f25a0c1b10e60200c1ee67e3735ad37176d0863438e,9f93cf7717232ea72330f996f5feadb8146415f4e627784261b5c033a8aaddc2,100.0,True
TmApp,TM_PARENT_ABLINGUA_GLOBAL__RIDGE,T2,2.7466001170280285,2.7466001170280285,2.822725206703513,2.822725206703513,0.0,1958e186079d8bee5a62402fb6ccf2bbba8b83fcc2edc4b9239c62ea4484c71b,a685fcf19e35ef51b88668d6b0124bd33b3317f2419c3815eadb6a3762b4bb37,3081aa90e254ca41ac75ab3bf91908d245af712a0a79b006abe7e7f72b4bd606,100.0,True
TmApp,TM_BASE_BIOEMU_MPNN__RIDGE,T3,2.702681240871287,2.702681240871287,2.845936772811553,2.8459367728115534,4.440892098500626e-16,b07c6e0fe804b74936d9057675aa9e5c9d28cf17399194e42407614fa968358d,e9b4cc135a659f2492ec867d1aff24b4591cf05154b636c0970ccb40b87eb291,8add62dbe24fb8b2f6e044de7ad1717bc126e16f2c46ecf3f997d4b2d26d15f9,100.0,True
HIC,HIC_HYDRO_TITRATION__LASSO,H1,0.4872225781431885,0.4872225781431885,0.4833719610538652,0.48337196105386526,5.551115123125783e-17,2fbca1edaaaa0889266d639942bcd0aa677b704c9bff7ec313bfaff24ad4cc88,78671c821421f5d6512f701794f5f9f6ae80858405988841dd485cd327cf1ebe,e91d47edb9de3ac59e402fa5af93ed24d03f56b28aed32b4aa6e35d5d895110c,0.1,True
HIC,HIC_ARO_CONTINUOUS_SURFACE__LASSO,H2,0.4822073134231601,0.48220731342316014,0.4898232886862832,0.4898232886862832,5.551115123125783e-17,9d2074523ef3939496cc2d93964e787d366b4903edce1a7f80ec65e2885fabb6,e6b64341dc3e0a172535bdf3a82aba6a4affbab75b9bdf5e77971a82e41e5005,de9360702b5b4a2e435f16a3d71457dd0b989ae5b2d044737e5fba928e53b530,0.1,True
HIC,HIC_ESM2_SEQ_AROMATIC__LASSO,H3,0.4927303900206625,0.4927303900206625,0.4808724742416768,0.4808724742416768,0.0,4d6f42e51fef8ef93aa86816241ae699f939a788c6331967a50ffd8972ea7383,e231ca5d782c5c633fdfbd9193fdffd3314f20919b608e73b52655b56aa4a2ad,3de358c8c5735da380e393f9d26384632b6d1cc46fb8ac5437600641cce16fc2,0.1,True
