target,verdict,selected_method,selected_family,selected_subset,selected_primary_mae,selected_shadow_mae,selected_cv_mean_mae,selected_cv_worst_mae,best_single_method,best_single_primary_mae,best_single_shadow_mae,best_single_cv_worst_mae,delta_primary,delta_shadow,delta_worst
TmApp,NO_ENSEMBLE_INCREMENT,SINGLE:T1,SINGLE,T1,2.732072376654289,2.784957206877823,2.758514791766056,2.784957206877823,SINGLE:T1,2.732072376654289,2.784957206877823,2.784957206877823,0.0,0.0,0.0
HIC,ENSEMBLE_USEFUL,EQUAL_MEAN:H1+H2,EQUAL_MEAN,H1+H2,0.48129804540956267,0.4781980733512991,0.47974805938043086,0.48129804540956267,SINGLE:H1,0.4872225781431885,0.48337196105386526,0.4872225781431885,0.005924532733625809,0.00517388770256616,0.005924532733625809
