id,generator,extraction_status,error,Q_pH5,Q_pH6,Q_pH6_5,Q_pH7,Q_pH7_4,Q_pH8,Q_range_4_10,max_abs_dQ_dpH,pH_at_max_abs_dQ_dpH,mean_abs_dQ_dpH_5_8,charge_transition_width,number_of_major_switch_regions,Q_CDR_pH6_5,Q_CDR_pH7_4,Q_full_with_termini_pH7_4,n_sidechain_sites,n_excluded_cys_sentinel,n_termini_sites_seen
ADI-37123,esmfold,SUCCESS,,27.750905568415842,22.198376104866483,20.03142661056687,18.779154077209053,18.229763851631564,17.95664052074428,26.34471821033781,11.754892707612342,10.0,3.29096869842322,1.0,2,0.5844544494521783,0.0640596099977705,21.20298720991386,94,8,4
ADI-37124,esmfold,SUCCESS,,11.648103054470237,3.6550198795421647,1.6536114876295147,0.613664820011819,0.16027685376828904,-0.10028998552560653,33.50567574033564,14.758176111004893,4.25,4.12306350205599,1.5,2,-7.24209248249659,-7.926285046917792,3.1930636401974852,110,8,4
ADI-37125,esmfold,SUCCESS,,16.402535984803343,11.560003408949418,10.008860177760887,8.870095305758277,8.273235972352328,7.955183380240718,29.10399531995865,14.366517981213065,4.0,2.9603275121080657,1.0,2,5.014585418711705,4.151793987184148,11.599613346114925,108,8,4
ADI-38498,esmfold,SUCCESS,,10.319488424294837,3.226091274234472,1.6953561496305904,0.742684779923822,0.2276546269211306,-0.08070139430911594,35.08054080495063,15.5254841461106,4.25,3.7212704152415776,1.25,2,-3.5651645421418534,-3.988027720589646,3.448569318323858,120,12,4
ADI-38499,esmfold,SUCCESS,,9.187310761286534,4.984314379075504,3.9766251988867616,3.1255893914669874,2.2832327529605787,1.3770478616490562,30.363135063201405,11.628137406579363,10.0,2.7843543871040515,1.0,2,-5.704518225062832,-5.999646844143512,5.444705429195274,88,8,4
ADI-38500,esmfold,SUCCESS,,6.985752448571719,2.787896642287204,1.8720471214364396,1.3323707397051723,1.0665653380217301,0.8686213613451834,25.663515861188248,13.395237231769585,4.0,2.241939495017672,1.0,2,-6.94955377506308,-6.997688504145275,4.310453604598015,94,8,4
ADI-38501,esmfold,SUCCESS,,17.556217883923452,13.271797032366266,12.101824668916956,11.418562090280998,11.093403069387238,10.86939964837568,27.184246854603945,13.670716048705184,10.0,2.3725932275651607,0.75,2,3.1195250120763838,2.9934909213832794,13.845185692216852,102,4,4
ADI-38502,esmfold,SUCCESS,,16.74640961967947,12.827006522867224,11.54237964720128,10.66186090030787,10.185335826884929,9.879493549901033,27.083314038119696,15.082259784983368,10.0,2.3850823104077086,0.5,2,2.0804173896910596,1.9880281107421864,13.33772228269042,104,4,4
ADI-38503,esmfold,SUCCESS,,13.187566887094437,8.691757600132993,8.220190861580452,8.054737246375643,7.968256129034231,7.83551917879149,28.562598830917956,14.65073060570434,4.0,2.0582270774565816,1.0,2,-5.9710131876043695,-6.0087164739533785,10.919804602577504,98,8,4
ADI-45368,esmfold,SUCCESS,,20.917644652216108,16.441229958798015,15.174851056381724,14.446953600538476,14.101299913741972,13.865066394902044,26.899182380149046,14.855106692775415,10.0,2.475368824764497,0.75,2,0.08767764752816909,-0.0017871491389540584,16.982851885673142,106,4,4
ADI-45370,esmfold,SUCCESS,,10.019872477650011,3.1328844600328476,1.5426475473121206,0.611583235784914,0.1403867087496844,-0.19038290749483,34.37703985051766,15.804113274296995,4.0,3.64986560562857,1.25,2,-3.871709997447251,-4.002094826776032,3.36869682047859,96,8,4
ADI-45373,esmfold,SUCCESS,,12.343779187711945,8.64278915409943,8.210285828953367,8.058485743975572,7.989858792966498,7.906351724252191,20.398125306039784,10.891910476015738,4.0,1.6779367384106616,1.0,2,0.08669699625222682,0.00036384596514549283,11.082370124616983,90,8,4
ADI-45375,esmfold,SUCCESS,,9.670664614091148,2.4997131338081706,0.2132221384593198,-1.172599297527121,-1.8767726618833467,-2.428052031373432,36.17240820083847,15.036954392401697,4.0,4.208669778614285,1.25,2,-7.37348799816393,-7.9483736625606625,1.4961095963544393,114,4,4
ADI-45378,esmfold,SUCCESS,,11.155666351235675,6.190056153878785,5.04199721377858,4.390079731480524,4.0604487227319925,3.784004554741669,31.155198245647664,14.947630083142574,10.0,2.6355284494191524,1.0,2,2.215191153137422,1.9875833660006126,7.167852615634473,114,4,4
ADI-45379,esmfold,SUCCESS,,8.657546700915226,3.5174095508889236,2.264222186246396,1.459561494812434,0.9802651282999468,0.45992251864678513,33.75947843085392,16.324169314213066,4.0,2.9932532410888113,1.0,2,-4.523146795780774,-5.06809447862593,4.334117372614245,110,4,4
ADI-45382,esmfold,SUCCESS,,15.303916803737977,10.048899304779663,8.473977746545208,7.275459395289006,6.483308912704722,6.001859108580401,28.386046375030798,12.147153347558993,10.0,3.1987948925734653,1.25,2,-0.37489588362999393,-1.6084648617698392,9.59223955822827,98,12,4
ADI-45383,esmfold,SUCCESS,,23.092469322056445,16.528450212860083,14.60399423681279,13.256266931304179,12.404418108827187,11.824284605443346,31.68789067056727,12.000669755132598,4.25,3.902528297318711,1.5,2,2.46698065299198,0.4938112934584318,15.587542676332601,102,8,4
ADI-45388,esmfold,SUCCESS,,15.55606920556582,10.658628362916565,8.910284101163231,7.549708048806699,6.641791673073091,6.120379316177543,26.839865709493264,11.566986916046355,10.0,3.215583857087768,1.0,2,2.7822060807273226,2.1077237803465896,9.851404780798317,98,8,4
ADI-45389,esmfold,SUCCESS,,10.269002255914186,5.222203319492899,3.7586567973668323,2.7509787418501346,2.2056857027845442,1.8505363747812726,29.139232740442367,12.268391603381875,10.0,2.9614034929507635,1.25,2,3.0744605885597815,2.149876358943203,5.290888227803176,90,4,4
ADI-45390,esmfold,SUCCESS,,13.506311557852792,7.022754906834043,4.971749239591015,3.423325812610652,2.5089641164873684,2.013683136960632,33.278536891556946,13.038809964720862,10.0,3.965142111539911,1.25,2,-4.543425187886837,-5.665479587364183,5.74285450400157,102,4,4
ADI-45391,esmfold,SUCCESS,,10.985027487870918,6.184636537049556,5.168804316640813,4.494763148717046,4.126449148573715,3.872159543673599,27.220990002440193,11.612450468046635,10.0,2.56940828213073,1.25,2,2.063274244935066,1.9898814345653708,7.160811237203731,94,4,4
ADI-45393,esmfold,SUCCESS,,15.671378959563787,9.567404620151256,7.7192019017348255,6.662132251393855,6.191715966113161,5.948563557001378,30.191572425367728,15.04712904749654,4.0,3.37475514803471,1.0,2,6.598596106983009,6.059174713646883,9.293123611118698,112,4,4
ADI-45395,esmfold,SUCCESS,,19.42785148676351,16.262974959545385,14.982998265544555,14.277512162424765,13.848394935801487,13.296289231368107,23.29659964522718,13.508434210714073,10.0,2.0909917457833194,0.5,2,2.796510272990727,1.8596282821435661,16.802333707337766,92,8,4
ADI-45397,esmfold,SUCCESS,,10.748369648931195,5.386902514451387,4.50511908213905,4.151608694213419,3.991564045747892,3.816988086713592,28.148466451140937,12.9298555077939,10.0,2.528329986208242,1.25,2,0.3626889821854137,0.02869525694780317,7.207167086210703,86,8,4
ADI-45402,esmfold,SUCCESS,,11.548723632463432,6.435894533072264,5.047591472578638,4.357076193808329,4.0427347007064895,3.775429314463252,30.796497155747318,14.444763076311645,10.0,2.7365218498985,1.0,2,4.324049687127916,3.9931215269694973,7.3396440784181385,106,4,4
ADI-45404,esmfold,SUCCESS,,11.718427321398359,3.545931261738781,1.2143059457544374,-0.15251886703089412,-1.1341791725376704,-1.9139751759248669,34.712679369174936,13.238804064117843,4.0,4.658672020119206,1.75,2,-6.876391566309049,-7.947738432083775,1.978572232232773,100,8,4
ADI-45405,esmfold,SUCCESS,,14.391470613700227,9.036968038577266,7.517246955622656,6.581393150229879,6.098705496821565,5.710819056197055,31.781867763605703,15.477450916143773,10.0,3.058490086365679,1.0,2,-3.1296163274447943,-3.9374113810887437,9.173773341155705,102,8,4
