cv_scheme,fold,seed,head,a_h,ell_h_angstrom,initial_ell_angstrom,best_epoch
full_dev,-1,101,0,-0.0030469263438135386,22.406530380249023,22.42064094543457,19
full_dev,-1,101,1,0.003040663432329893,22.406757354736328,22.42064094543457,19
full_dev,-1,101,2,-0.002770763821899891,22.40684700012207,22.42064094543457,19
full_dev,-1,101,3,-0.007253412157297134,22.406532287597656,22.42064094543457,19
full_dev,-1,202,0,-0.0030014459043741226,22.410306930541992,22.42064094543457,14
full_dev,-1,202,1,0.0025059105828404427,22.410490036010742,22.42064094543457,14
full_dev,-1,202,2,0.0016059515764936805,22.410411834716797,22.42064094543457,14
full_dev,-1,202,3,-0.0046760612167418,22.41034507751465,22.42064094543457,14
full_dev,-1,303,0,0.005349651910364628,22.409666061401367,22.42064094543457,15
full_dev,-1,303,1,-0.005035236477851868,22.409564971923828,22.42064094543457,15
full_dev,-1,303,2,-0.002407021587714553,22.40957260131836,22.42064094543457,15
full_dev,-1,303,3,0.003709244541823864,22.409713745117188,22.42064094543457,15
