experiment_code,effective_code,representation_raw,representation_display,representation_context,plm_family,paired_match_group,topology_legacy,topology_id,topology_display,annotation_id,annotation_display,primary_mae,shadow_mae,mean_ps,worst_ps,abs_ps,raw_dim,execution_status,reused_or_new,reuse_source
EXP-T174,EXP-T174,scratch,Scratch,LEARNED_AA,scratch,,B2,REG-SEP,"Joint Residues, Separate REGs",REGION,CDR/FR Region,3.302254241189839,3.2864944081247587,3.2943743246572987,3.302254241189839,0.0157598330650801,0,COMPLETE,new,
EXP-T175,EXP-T175,scratch,Scratch,LEARNED_AA,scratch,,C,XREG,Cross-REG Read,REGION,CDR/FR Region,3.3812055705506125,3.4528991322458524,3.4170523513982323,3.4528991322458524,0.0716935616952398,0,COMPLETE,new,
EXP-T176,EXP-T176,scratch,Scratch,LEARNED_AA,scratch,,D,FUSE,REG Fusion,REGION,CDR/FR Region,3.2419423232843845,3.3671868877646363,3.3045646055245106,3.3671868877646363,0.1252445644802517,0,COMPLETE,new,
EXP-T080,EXP-T080,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,A,SEP,Separate H/L,FULL,IMGT + Region,3.2602498089825667,3.3066721786687405,3.2834609938256536,3.3066721786687405,0.0464223696861738,1280,REUSE,reused,EXP-T080
EXP-T081,EXP-T081,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,B1,JOINT,Full Joint,FULL,IMGT + Region,3.4313683686433016,3.479818603138865,3.455593485891084,3.479818603138865,0.0484502344955632,1280,REUSE,reused,EXP-T081
EXP-T082,EXP-T082,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,B2,REG-SEP,"Joint Residues, Separate REGs",FULL,IMGT + Region,3.24324784455476,3.36413852079415,3.303693182674455,3.36413852079415,0.1208906762393899,1280,REUSE,reused,EXP-T082
EXP-T087,EXP-T087,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,C,XREG,Cross-REG Read,FULL,IMGT + Region,3.2353713895067755,3.2764338740596064,3.255902631783191,3.2764338740596064,0.0410624845528309,1280,REUSE,reused,EXP-T087
EXP-T151,EXP-T151,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,D,FUSE,REG Fusion,FULL,IMGT + Region,3.372717727849513,3.3339194545039423,3.353318591176728,3.372717727849513,0.0387982733455705,1280,REUSE,reused,EXP-T151
EXP-T177,EXP-T177,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,A,SEP,Separate H/L,BASE,Base,3.2196709903669944,3.351535184883777,3.2856030876253857,3.351535184883777,0.1318641945167824,1280,COMPLETE,new,
EXP-T178,EXP-T178,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,B1,JOINT,Full Joint,BASE,Base,3.273530159467532,3.33833364792812,3.305931903697826,3.33833364792812,0.0648034884605879,1280,COMPLETE,new,
EXP-T179,EXP-T179,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,B2,REG-SEP,"Joint Residues, Separate REGs",BASE,Base,3.2610659658172985,3.43441621756848,3.347741091692889,3.43441621756848,0.1733502517511813,1280,COMPLETE,new,
EXP-T180,EXP-T180,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,C,XREG,Cross-REG Read,BASE,Base,3.233403759238161,3.377246880236968,3.3053253197375643,3.377246880236968,0.1438431209988069,1280,COMPLETE,new,
EXP-T181,EXP-T181,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,D,FUSE,REG Fusion,BASE,Base,3.349750401061258,3.3534093079743563,3.351579854517808,3.3534093079743563,0.0036589069130981,1280,COMPLETE,new,
EXP-T182,EXP-T182,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,A,SEP,Separate H/L,IMGT,IMGT Position,3.2398286984290605,3.4817896713445218,3.360809184886791,3.4817896713445218,0.2419609729154612,1280,COMPLETE,new,
EXP-T183,EXP-T183,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,B1,JOINT,Full Joint,IMGT,IMGT Position,3.284726131109544,3.4713932319923684,3.378059681550956,3.4713932319923684,0.1866671008828242,1280,COMPLETE,new,
EXP-T184,EXP-T184,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,B2,REG-SEP,"Joint Residues, Separate REGs",IMGT,IMGT Position,3.339674820134669,3.438284085120684,3.3889794526276766,3.438284085120684,0.098609264986015,1280,COMPLETE,new,
EXP-T185,EXP-T185,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,C,XREG,Cross-REG Read,IMGT,IMGT Position,3.4035509133044584,3.33356268611955,3.3685567997120045,3.4035509133044584,0.0699882271849081,1280,COMPLETE,new,
EXP-T186,EXP-T186,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,D,FUSE,REG Fusion,IMGT,IMGT Position,3.2282831639419367,3.262201897891951,3.245242530916944,3.262201897891951,0.0339187339500144,1280,COMPLETE,new,
EXP-T187,EXP-T187,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,A,SEP,Separate H/L,REGION,CDR/FR Region,3.3175583827642745,3.351659798327788,3.334609090546031,3.351659798327788,0.0341014155635135,1280,COMPLETE,new,
EXP-T188,EXP-T188,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,B1,JOINT,Full Joint,REGION,CDR/FR Region,3.272981525939188,3.4009458989272883,3.336963712433238,3.4009458989272883,0.1279643729881003,1280,COMPLETE,new,
EXP-T189,EXP-T189,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,B2,REG-SEP,"Joint Residues, Separate REGs",REGION,CDR/FR Region,3.2791672223879966,3.42597339771412,3.3525703100510587,3.42597339771412,0.1468061753261231,1280,COMPLETE,new,
EXP-T190,EXP-T190,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,C,XREG,Cross-REG Read,REGION,CDR/FR Region,3.415866757616585,3.3100957046320407,3.362981231124313,3.415866757616585,0.1057710529845441,1280,COMPLETE,new,
EXP-T191,EXP-T191,ablingua,AbLingua,SEPARATE_CHAIN,ablingua,,D,FUSE,REG Fusion,REGION,CDR/FR Region,3.364891947051625,3.378455362202209,3.371673654626917,3.378455362202209,0.0135634151505836,1280,COMPLETE,new,
EXP-T110,EXP-T110,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,A,SEP,Separate H/L,FULL,IMGT + Region,3.2029204191984952,3.280289826569734,3.2416051228841143,3.280289826569734,0.0773694073712385,480,REUSE,reused,EXP-T110
EXP-T113,EXP-T113,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,B1,JOINT,Full Joint,FULL,IMGT + Region,2.9950552575382186,3.2830708586139443,3.139063058076081,3.2830708586139443,0.2880156010757257,480,REUSE,reused,EXP-T113
EXP-T115,EXP-T115,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,B2,REG-SEP,"Joint Residues, Separate REGs",FULL,IMGT + Region,3.240749830081139,3.311849547021183,3.276299688551161,3.311849547021183,0.071099716940044,480,REUSE,reused,EXP-T115
EXP-T121,EXP-T121,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,C,XREG,Cross-REG Read,FULL,IMGT + Region,3.0232212867265864,3.252085108815888,3.137653197771237,3.252085108815888,0.2288638220893015,480,REUSE,reused,EXP-T121
EXP-T149,EXP-T149,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,D,FUSE,REG Fusion,FULL,IMGT + Region,3.2233047014401284,3.37154711028676,3.2974259058634443,3.37154711028676,0.1482424088466314,480,REUSE,reused,EXP-T149
EXP-T192,EXP-T192,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,A,SEP,Separate H/L,BASE,Base,3.108396671436452,3.3224579375467185,3.215427304491585,3.3224579375467185,0.2140612661102667,480,COMPLETE,new,
EXP-T193,EXP-T193,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,B1,JOINT,Full Joint,BASE,Base,3.3245756361219616,3.1927486937723044,3.258662164947133,3.3245756361219616,0.1318269423496572,480,COMPLETE,new,
EXP-T194,EXP-T194,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,B2,REG-SEP,"Joint Residues, Separate REGs",BASE,Base,3.1978090780752675,3.3904436605947987,3.294126369335033,3.3904436605947987,0.1926345825195312,480,COMPLETE,new,
EXP-T195,EXP-T195,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,C,XREG,Cross-REG Read,BASE,Base,3.000548044840494,3.2798375494686174,3.140192797154556,3.2798375494686174,0.2792895046281232,480,COMPLETE,new,
EXP-T196,EXP-T196,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,D,FUSE,REG Fusion,BASE,Base,3.026977798085154,3.025294127287688,3.0261359626864213,3.026977798085154,0.0016836707974658,480,COMPLETE,new,
EXP-T197,EXP-T197,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,A,SEP,Separate H/L,IMGT,IMGT Position,3.123995439505872,3.3498072447600187,3.236901342132945,3.3498072447600187,0.2258118052541466,480,COMPLETE,new,
EXP-T198,EXP-T198,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,B1,JOINT,Full Joint,IMGT,IMGT Position,3.093828507411627,3.403158988481686,3.248493747946657,3.403158988481686,0.309330481070059,480,COMPLETE,new,
EXP-T199,EXP-T199,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,B2,REG-SEP,"Joint Residues, Separate REGs",IMGT,IMGT Position,3.2303553216251326,3.249221519187645,3.2397884204063887,3.249221519187645,0.0188661975625121,480,COMPLETE,new,
EXP-T200,EXP-T200,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,C,XREG,Cross-REG Read,IMGT,IMGT Position,3.2003595799575617,3.45411432525258,3.327236952605071,3.45411432525258,0.2537547452950184,480,COMPLETE,new,
EXP-T201,EXP-T201,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,D,FUSE,REG Fusion,IMGT,IMGT Position,3.264004601372613,3.306313597125772,3.285159099249192,3.306313597125772,0.0423089957531592,480,COMPLETE,new,
