experiment_code,effective_code,representation_raw,representation_display,representation_context,plm_family,paired_match_group,topology_legacy,topology_id,topology_display,annotation_id,annotation_display,primary_mae,shadow_mae,mean_ps,worst_ps,abs_ps,raw_dim,execution_status,reused_or_new,reuse_source
EXP-T239,EXP-T239,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,C,XREG,Cross-REG Read,IMGT,IMGT Position,3.594685071780358,3.4054155231993875,3.5000502974898726,3.594685071780358,0.1892695485809703,768,COMPLETE,new,
EXP-T240,EXP-T240,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,D,FUSE,REG Fusion,IMGT,IMGT Position,3.468440679856289,3.3722850187325184,3.420362849294404,3.468440679856289,0.0961556611237703,768,COMPLETE,new,
EXP-T241,EXP-T241,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,A,SEP,Separate H/L,REGION,CDR/FR Region,3.4804858454951533,3.3810753527982733,3.430780599146713,3.4804858454951533,0.0994104926968799,768,COMPLETE,new,
EXP-T242,EXP-T242,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,B1,JOINT,Full Joint,REGION,CDR/FR Region,3.559218771663713,3.57252613114722,3.5658724514054665,3.57252613114722,0.0133073594835071,768,COMPLETE,new,
EXP-T243,EXP-T243,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,B2,REG-SEP,"Joint Residues, Separate REGs",REGION,CDR/FR Region,3.5074604411184054,3.3371816564489296,3.4223210487836675,3.5074604411184054,0.1702787846694757,768,COMPLETE,new,
EXP-T244,EXP-T244,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,C,XREG,Cross-REG Read,REGION,CDR/FR Region,3.49098895508566,3.3003315631254218,3.395660259105541,3.49098895508566,0.1906573919602383,768,COMPLETE,new,
EXP-T245,EXP-T245,ablang1,AbLang1,SEPARATE_CHAIN,ablang1,,D,FUSE,REG Fusion,REGION,CDR/FR Region,3.5294022736725985,3.404256632298599,3.466829452985599,3.5294022736725985,0.1251456413739995,768,COMPLETE,new,
EXP-T246,EXP-T246,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,A,SEP,Separate H/L,FULL,IMGT + Region,3.340128627824195,3.4261205696765287,3.3831245987503618,3.4261205696765287,0.0859919418523338,1280,COMPLETE,new,
EXP-T247,EXP-T247,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,B1,JOINT,Full Joint,FULL,IMGT + Region,3.3201899116421925,3.323281040898076,3.321735476270134,3.323281040898076,0.0030911292558837,1280,COMPLETE,new,
EXP-T248,EXP-T248,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,B2,REG-SEP,"Joint Residues, Separate REGs",FULL,IMGT + Region,3.4164459322705683,3.278864354263117,3.3476551432668424,3.4164459322705683,0.1375815780074512,1280,COMPLETE,new,
EXP-T158,EXP-T158,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,C,XREG,Cross-REG Read,FULL,IMGT + Region,3.317988831319927,3.2039646101586614,3.2609767207392943,3.317988831319927,0.1140242211612654,1280,REUSE,reused,EXP-T158
EXP-T249,EXP-T249,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,D,FUSE,REG Fusion,FULL,IMGT + Region,3.357188707516517,3.4802463908254366,3.418717549170977,3.4802463908254366,0.1230576833089194,1280,COMPLETE,new,
EXP-T250,EXP-T250,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,A,SEP,Separate H/L,BASE,Base,3.537883523069782,3.350994227844992,3.444438875457387,3.537883523069782,0.1868892952247902,1280,COMPLETE,new,
EXP-T251,EXP-T251,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,B1,JOINT,Full Joint,BASE,Base,3.3072576405089578,3.2291519965654536,3.268204818537206,3.3072576405089578,0.0781056439435041,1280,COMPLETE,new,
EXP-T252,EXP-T252,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,B2,REG-SEP,"Joint Residues, Separate REGs",BASE,Base,3.541362668261116,3.329501352192444,3.43543201022678,3.541362668261116,0.2118613160686724,1280,COMPLETE,new,
EXP-T253,EXP-T253,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,C,XREG,Cross-REG Read,BASE,Base,3.1692948517975985,3.247104362205223,3.2081996070014105,3.247104362205223,0.0778095104076244,1280,COMPLETE,new,
EXP-T254,EXP-T254,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,D,FUSE,REG Fusion,BASE,Base,3.4053686636465565,3.336602528889974,3.370985596268265,3.4053686636465565,0.0687661347565824,1280,COMPLETE,new,
EXP-T255,EXP-T255,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,A,SEP,Separate H/L,IMGT,IMGT Position,3.339111704885224,3.5539881152871216,3.4465499100861727,3.5539881152871216,0.2148764104018976,1280,COMPLETE,new,
EXP-T256,EXP-T256,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,B1,JOINT,Full Joint,IMGT,IMGT Position,3.322160767920223,3.411948686764564,3.367054727342394,3.411948686764564,0.0897879188443409,1280,COMPLETE,new,
EXP-T257,EXP-T257,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,B2,REG-SEP,"Joint Residues, Separate REGs",IMGT,IMGT Position,3.458979100356867,3.3319626796392745,3.395470889998071,3.458979100356867,0.1270164207175925,1280,COMPLETE,new,
EXP-T258,EXP-T258,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,C,XREG,Cross-REG Read,IMGT,IMGT Position,3.383715076211058,3.436783378506884,3.410249227358971,3.436783378506884,0.0530683022958262,1280,COMPLETE,new,
EXP-T259,EXP-T259,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,D,FUSE,REG Fusion,IMGT,IMGT Position,3.4159973992241754,3.330740186903212,3.373368793063693,3.4159973992241754,0.0852572123209634,1280,COMPLETE,new,
EXP-T260,EXP-T260,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,A,SEP,Separate H/L,REGION,CDR/FR Region,3.3463706970214844,3.3938430503562644,3.3701068736888744,3.3938430503562644,0.04747235333478,1280,COMPLETE,new,
EXP-T261,EXP-T261,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,B1,JOINT,Full Joint,REGION,CDR/FR Region,3.436119315064984,3.3198013541139204,3.377960334589452,3.436119315064984,0.1163179609510636,1280,COMPLETE,new,
EXP-T262,EXP-T262,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,B2,REG-SEP,"Joint Residues, Separate REGs",REGION,CDR/FR Region,3.3033908796899114,3.3033150566948786,3.303352968192395,3.3033908796899114,7.582299503283707e-05,1280,COMPLETE,new,
EXP-T263,EXP-T263,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,C,XREG,Cross-REG Read,REGION,CDR/FR Region,3.383362028333876,3.3677674281744308,3.375564728254153,3.383362028333876,0.0155946001594453,1280,COMPLETE,new,
EXP-T264,EXP-T264,esm1b,ESM-1b,SEPARATE_CHAIN,esm1b,,D,FUSE,REG Fusion,REGION,CDR/FR Region,3.419357841397509,3.316211747534481,3.367784794465995,3.419357841397509,0.1031460938630282,1280,COMPLETE,new,
EXP-T152,EXP-T152,esm2,ESM-2,SEPARATE_CHAIN,esm2,,A,SEP,Separate H/L,FULL,IMGT + Region,3.482475163024149,3.5690759258505738,3.5257755444373613,3.5690759258505738,0.0866007628264249,1280,REUSE,reused,EXP-T152
EXP-T153,EXP-T153,esm2,ESM-2,SEPARATE_CHAIN,esm2,,B1,JOINT,Full Joint,FULL,IMGT + Region,3.3596158910680702,3.4325087982931253,3.396062344680597,3.4325087982931253,0.072892907225055,1280,REUSE,reused,EXP-T153
EXP-T154,EXP-T154,esm2,ESM-2,SEPARATE_CHAIN,esm2,,B2,REG-SEP,"Joint Residues, Separate REGs",FULL,IMGT + Region,3.360608089117356,3.378463980592328,3.3695360348548418,3.378463980592328,0.017855891474972,1280,REUSE,reused,EXP-T154
EXP-T155,EXP-T155,esm2,ESM-2,SEPARATE_CHAIN,esm2,,C,XREG,Cross-REG Read,FULL,IMGT + Region,3.2831874894507136,3.535668172954041,3.409427831202377,3.535668172954041,0.2524806835033275,1280,REUSE,reused,EXP-T155
EXP-T156,EXP-T156,esm2,ESM-2,SEPARATE_CHAIN,esm2,,D,FUSE,REG Fusion,FULL,IMGT + Region,3.2438234399866173,3.4195867232334467,3.331705081610032,3.4195867232334467,0.1757632832468294,1280,REUSE,reused,EXP-T156
EXP-T265,EXP-T265,esm2,ESM-2,SEPARATE_CHAIN,esm2,,A,SEP,Separate H/L,BASE,Base,3.3943922254774304,3.4311236628779658,3.412757944177698,3.4311236628779658,0.0367314374005354,1280,COMPLETE,new,
EXP-T266,EXP-T266,esm2,ESM-2,SEPARATE_CHAIN,esm2,,B1,JOINT,Full Joint,BASE,Base,3.28865752985448,3.521280123863692,3.4049688268590854,3.521280123863692,0.2326225940092117,1280,COMPLETE,new,
EXP-T267,EXP-T267,esm2,ESM-2,SEPARATE_CHAIN,esm2,,B2,REG-SEP,"Joint Residues, Separate REGs",BASE,Base,3.3646919815628618,3.419343830626688,3.392017906094775,3.419343830626688,0.0546518490638261,1280,COMPLETE,new,
EXP-T268,EXP-T268,esm2,ESM-2,SEPARATE_CHAIN,esm2,,C,XREG,Cross-REG Read,BASE,Base,3.458188233552156,3.3562062110429927,3.407197222297574,3.458188233552156,0.1019820225091634,1280,COMPLETE,new,
EXP-T269,EXP-T269,esm2,ESM-2,SEPARATE_CHAIN,esm2,,D,FUSE,REG Fusion,BASE,Base,3.4819456971721885,3.578776700997058,3.5303611990846235,3.578776700997058,0.0968310038248696,1280,COMPLETE,new,
EXP-T270,EXP-T270,esm2,ESM-2,SEPARATE_CHAIN,esm2,,A,SEP,Separate H/L,IMGT,IMGT Position,3.246193261794102,3.798068034796067,3.5221306482950845,3.798068034796067,0.5518747730019653,1280,COMPLETE,new,
EXP-T271,EXP-T271,esm2,ESM-2,SEPARATE_CHAIN,esm2,,B1,JOINT,Full Joint,IMGT,IMGT Position,3.4087936966507524,3.5330929697295765,3.4709433331901645,3.5330929697295765,0.1242992730788241,1280,COMPLETE,new,
EXP-T272,EXP-T272,esm2,ESM-2,SEPARATE_CHAIN,esm2,,B2,REG-SEP,"Joint Residues, Separate REGs",IMGT,IMGT Position,3.5029288397894964,3.559722382345317,3.531325611067407,3.559722382345317,0.0567935425558205,1280,COMPLETE,new,
EXP-T273,EXP-T273,esm2,ESM-2,SEPARATE_CHAIN,esm2,,C,XREG,Cross-REG Read,IMGT,IMGT Position,3.300831523942359,3.5291608645592207,3.41499619425079,3.5291608645592207,0.2283293406168618,1280,COMPLETE,new,
EXP-T274,EXP-T274,esm2,ESM-2,SEPARATE_CHAIN,esm2,,D,FUSE,REG Fusion,IMGT,IMGT Position,3.26121723504714,3.6321705712212458,3.446693903134193,3.6321705712212458,0.370953336174106,1280,COMPLETE,new,
EXP-T275,EXP-T275,esm2,ESM-2,SEPARATE_CHAIN,esm2,,A,SEP,Separate H/L,REGION,CDR/FR Region,3.688996679988908,3.44180519198194,3.565400935985424,3.688996679988908,0.2471914880069676,1280,COMPLETE,new,
EXP-T276,EXP-T276,esm2,ESM-2,SEPARATE_CHAIN,esm2,,B1,JOINT,Full Joint,REGION,CDR/FR Region,3.683211503205476,3.3573921580373507,3.5203018306214133,3.683211503205476,0.3258193451681253,1280,COMPLETE,new,
EXP-T277,EXP-T277,esm2,ESM-2,SEPARATE_CHAIN,esm2,,B2,REG-SEP,"Joint Residues, Separate REGs",REGION,CDR/FR Region,3.629549191321856,3.310052424301336,3.469800807811596,3.629549191321856,0.31949676702052,1280,COMPLETE,new,
EXP-T278,EXP-T278,esm2,ESM-2,SEPARATE_CHAIN,esm2,,C,XREG,Cross-REG Read,REGION,CDR/FR Region,3.3396597026306907,3.3646489367072965,3.3521543196689936,3.3646489367072965,0.0249892340766058,1280,COMPLETE,new,
EXP-T279,EXP-T279,esm2,ESM-2,SEPARATE_CHAIN,esm2,,D,FUSE,REG Fusion,REGION,CDR/FR Region,3.446311173615632,3.408730212553048,3.42752069308434,3.446311173615632,0.0375809610625843,1280,COMPLETE,new,
EXP-T280,EXP-T280,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,A,SEP,Separate H/L,FULL,IMGT + Region,3.2058723826467257,3.337181515163845,3.2715269489052856,3.337181515163845,0.1313091325171194,1152,COMPLETE,new,
EXP-T281,EXP-T281,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,B1,JOINT,Full Joint,FULL,IMGT + Region,3.365971365092713,3.5823341416723933,3.474152753382553,3.5823341416723933,0.2163627765796802,1152,COMPLETE,new,
EXP-T282,EXP-T282,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,B2,REG-SEP,"Joint Residues, Separate REGs",FULL,IMGT + Region,3.2356268800335166,3.4504187548602068,3.3430228174468617,3.4504187548602068,0.2147918748266901,1152,COMPLETE,new,
EXP-T159,EXP-T159,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,C,XREG,Cross-REG Read,FULL,IMGT + Region,3.324026084240572,3.366429740999952,3.345227912620261,3.366429740999952,0.0424036567593799,1152,REUSE,reused,EXP-T159
EXP-T283,EXP-T283,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,D,FUSE,REG Fusion,FULL,IMGT + Region,3.4010998290262107,3.4924549997588734,3.446777414392542,3.4924549997588734,0.0913551707326627,1152,COMPLETE,new,
EXP-T284,EXP-T284,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,A,SEP,Separate H/L,BASE,Base,3.114249900535301,3.3760882719063465,3.245169086220824,3.3760882719063465,0.2618383713710455,1152,COMPLETE,new,
EXP-T285,EXP-T285,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,B1,JOINT,Full Joint,BASE,Base,3.034880979561512,3.2111711148862487,3.12302604722388,3.2111711148862487,0.176290135324737,1152,COMPLETE,new,
EXP-T286,EXP-T286,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,B2,REG-SEP,"Joint Residues, Separate REGs",BASE,Base,3.3573069866792657,3.2370468893168884,3.297176937998077,3.3573069866792657,0.1202600973623773,1152,COMPLETE,new,
EXP-T287,EXP-T287,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,C,XREG,Cross-REG Read,BASE,Base,3.10821834611304,3.261248035195433,3.1847331906542364,3.261248035195433,0.153029689082393,1152,COMPLETE,new,
EXP-T288,EXP-T288,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,D,FUSE,REG Fusion,BASE,Base,3.2987725057719666,3.373973775793005,3.3363731407824857,3.373973775793005,0.0752012700210382,1152,COMPLETE,new,
EXP-T289,EXP-T289,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,A,SEP,Separate H/L,IMGT,IMGT Position,3.2797281948136696,3.363575217164593,3.321651705989132,3.363575217164593,0.0838470223509233,1152,COMPLETE,new,
EXP-T290,EXP-T290,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,B1,JOINT,Full Joint,IMGT,IMGT Position,3.3403380594135803,3.393495630334925,3.3669168448742526,3.393495630334925,0.0531575709213445,1152,COMPLETE,new,
EXP-T291,EXP-T291,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,B2,REG-SEP,"Joint Residues, Separate REGs",IMGT,IMGT Position,3.319718655244804,3.446237116684149,3.3829778859644764,3.446237116684149,0.1265184614393448,1152,COMPLETE,new,
EXP-T292,EXP-T292,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,C,XREG,Cross-REG Read,IMGT,IMGT Position,3.320762587182316,3.401588534131462,3.361175560656889,3.401588534131462,0.0808259469491461,1152,COMPLETE,new,
EXP-T293,EXP-T293,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,D,FUSE,REG Fusion,IMGT,IMGT Position,3.3855539015781733,3.355020687903887,3.37028729474103,3.3855539015781733,0.0305332136742864,1152,COMPLETE,new,
EXP-T294,EXP-T294,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,A,SEP,Separate H/L,REGION,CDR/FR Region,3.159768563729745,3.4850933404616367,3.322430952095691,3.4850933404616367,0.3253247767318918,1152,COMPLETE,new,
EXP-T295,EXP-T295,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,B1,JOINT,Full Joint,REGION,CDR/FR Region,3.2466412297001592,3.3266254001193576,3.2866333149097584,3.3266254001193576,0.0799841704191983,1152,COMPLETE,new,
EXP-T296,EXP-T296,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,B2,REG-SEP,"Joint Residues, Separate REGs",REGION,CDR/FR Region,3.2492287247269243,3.3530904981825085,3.3011596114547164,3.3530904981825085,0.1038617734555842,1152,COMPLETE,new,
EXP-T297,EXP-T297,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,C,XREG,Cross-REG Read,REGION,CDR/FR Region,3.244115853015288,3.442704141875844,3.3434099974455656,3.442704141875844,0.1985882888605559,1152,COMPLETE,new,
EXP-T298,EXP-T298,esmc600m,ESM-C 600M,SEPARATE_CHAIN,esmc600m,,D,FUSE,REG Fusion,REGION,CDR/FR Region,3.205446266833647,3.237071943871769,3.221259105352708,3.237071943871769,0.031625677038122,1152,COMPLETE,new,
EXP-T299,EXP-T299,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,A,SEP,Separate H/L,FULL,IMGT + Region,3.251287554517204,3.354275079421055,3.3027813169691296,3.354275079421055,0.1029875249038507,1280,COMPLETE,new,
EXP-T300,EXP-T300,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,B1,JOINT,Full Joint,FULL,IMGT + Region,3.3702578368010343,3.267224488434968,3.318741162618001,3.3702578368010343,0.1030333483660661,1280,COMPLETE,new,
EXP-T301,EXP-T301,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,B2,REG-SEP,"Joint Residues, Separate REGs",FULL,IMGT + Region,3.406513826346692,3.393193445087951,3.3998536357173217,3.406513826346692,0.0133203812587407,1280,COMPLETE,new,
EXP-T160,EXP-T160,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,C,XREG,Cross-REG Read,FULL,IMGT + Region,3.3158010788905767,3.1833025143470293,3.2495517966188032,3.3158010788905767,0.1324985645435474,1280,REUSE,reused,EXP-T160
EXP-T302,EXP-T302,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,D,FUSE,REG Fusion,FULL,IMGT + Region,3.239306108451184,3.4363123340371216,3.337809221244153,3.4363123340371216,0.1970062255859375,1280,COMPLETE,new,
EXP-T303,EXP-T303,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,A,SEP,Separate H/L,BASE,Base,3.276818404962987,3.32477722638919,3.3007978156760887,3.32477722638919,0.047958821426203,1280,COMPLETE,new,
EXP-T304,EXP-T304,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,B1,JOINT,Full Joint,BASE,Base,3.5546156800823447,3.54700345168879,3.5508095658855674,3.5546156800823447,0.0076122283935546,1280,COMPLETE,new,
EXP-T305,EXP-T305,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,B2,REG-SEP,"Joint Residues, Separate REGs",BASE,Base,3.3124314296392745,3.30675247569143,3.309591952665352,3.3124314296392745,0.0056789539478443,1280,COMPLETE,new,
EXP-T306,EXP-T306,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,C,XREG,Cross-REG Read,BASE,Base,3.353392542144398,3.399623235066732,3.3765078886055653,3.399623235066732,0.0462306929223337,1280,COMPLETE,new,
EXP-T307,EXP-T307,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,D,FUSE,REG Fusion,BASE,Base,3.28338309864939,3.357803062156395,3.3205930804028925,3.357803062156395,0.0744199635070046,1280,COMPLETE,new,
EXP-T308,EXP-T308,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,A,SEP,Separate H/L,IMGT,IMGT Position,3.2773094883671514,3.49749094174232,3.387400215054736,3.49749094174232,0.2201814533751687,1280,COMPLETE,new,
EXP-T309,EXP-T309,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,B1,JOINT,Full Joint,IMGT,IMGT Position,3.331429116519881,3.406342989132728,3.3688860528263045,3.406342989132728,0.0749138726128473,1280,COMPLETE,new,
EXP-T310,EXP-T310,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,B2,REG-SEP,"Joint Residues, Separate REGs",IMGT,IMGT Position,3.401835900765878,3.3762686458634743,3.389052273314676,3.401835900765878,0.0255672549024037,1280,COMPLETE,new,
EXP-T311,EXP-T311,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,C,XREG,Cross-REG Read,IMGT,IMGT Position,3.256974184954608,3.347033912752881,3.3020040488537448,3.347033912752881,0.0900597277982728,1280,COMPLETE,new,
EXP-T312,EXP-T312,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,D,FUSE,REG Fusion,IMGT,IMGT Position,3.3017235273196373,3.236395400247456,3.2690594637835466,3.3017235273196373,0.0653281270721812,1280,COMPLETE,new,
EXP-T313,EXP-T313,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,A,SEP,Separate H/L,REGION,CDR/FR Region,3.379754808213976,3.3790997163749035,3.37942726229444,3.379754808213976,0.0006550918390724,1280,COMPLETE,new,
EXP-T314,EXP-T314,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,B1,JOINT,Full Joint,REGION,CDR/FR Region,3.2455082646122686,3.437301423814562,3.3414048442134154,3.437301423814562,0.1917931592022932,1280,COMPLETE,new,
EXP-T315,EXP-T315,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,B2,REG-SEP,"Joint Residues, Separate REGs",REGION,CDR/FR Region,3.3291903837227528,3.355772701310523,3.342481542516638,3.355772701310523,0.0265823175877701,1280,COMPLETE,new,
EXP-T316,EXP-T316,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,C,XREG,Cross-REG Read,REGION,CDR/FR Region,3.3354032775502147,3.4246623427779586,3.380032810164087,3.4246623427779586,0.0892590652277438,1280,COMPLETE,new,
EXP-T317,EXP-T317,currab_paired,CurrAb (paired H/L),PAIRED_NATIVE,currab,currab,D,FUSE,REG Fusion,REGION,CDR/FR Region,3.344347918475116,3.299266532615379,3.3218072255452475,3.344347918475116,0.0450813858597367,1280,COMPLETE,new,
EXP-T318,EXP-T318,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,A,SEP,Separate H/L,FULL,IMGT + Region,3.303821940480927,3.482696227085443,3.3932590837831853,3.482696227085443,0.1788742866045161,1280,COMPLETE,new,
EXP-T319,EXP-T319,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,B1,JOINT,Full Joint,FULL,IMGT + Region,3.412286169735002,3.4837398058102456,3.448012987772624,3.4837398058102456,0.0714536360752435,1280,COMPLETE,new,
EXP-T320,EXP-T320,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,B2,REG-SEP,"Joint Residues, Separate REGs",FULL,IMGT + Region,3.3275746004081066,3.4249479034800587,3.376261251944083,3.4249479034800587,0.0973733030719521,1280,COMPLETE,new,
EXP-T321,EXP-T321,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,C,XREG,Cross-REG Read,FULL,IMGT + Region,3.3472566486876687,3.488724885163484,3.417990766925576,3.488724885163484,0.141468236475815,1280,COMPLETE,new,
EXP-T322,EXP-T322,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,D,FUSE,REG Fusion,FULL,IMGT + Region,3.452502639205368,3.3379561577314214,3.3952293984683943,3.452502639205368,0.1145464814739463,1280,COMPLETE,new,
EXP-T323,EXP-T323,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,A,SEP,Separate H/L,BASE,Base,3.414759553508994,3.532385837884597,3.473572695696795,3.532385837884597,0.117626284375603,1280,COMPLETE,new,
EXP-T324,EXP-T324,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,B1,JOINT,Full Joint,BASE,Base,3.409061761549961,3.4536806035924843,3.4313711825712225,3.4536806035924843,0.044618842042523,1280,COMPLETE,new,
EXP-T325,EXP-T325,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,B2,REG-SEP,"Joint Residues, Separate REGs",BASE,Base,3.457234370855637,3.449475983042776,3.4533551769492066,3.457234370855637,0.0077583878128608,1280,COMPLETE,new,
EXP-T326,EXP-T326,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,C,XREG,Cross-REG Read,BASE,Base,3.385075557379075,3.3904600732120467,3.387767815295561,3.3904600732120467,0.0053845158329717,1280,COMPLETE,new,
EXP-T327,EXP-T327,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,D,FUSE,REG Fusion,BASE,Base,3.4910523685408226,3.531013818434727,3.5110330934877747,3.531013818434727,0.0399614498939042,1280,COMPLETE,new,
EXP-T328,EXP-T328,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,A,SEP,Separate H/L,IMGT,IMGT Position,3.4253887364893782,3.4122655185652366,3.418827127527307,3.4253887364893782,0.0131232179241416,1280,COMPLETE,new,
EXP-T329,EXP-T329,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,B1,JOINT,Full Joint,IMGT,IMGT Position,3.491396209340037,3.412380501076027,3.451888355208032,3.491396209340037,0.0790157082640097,1280,COMPLETE,new,
EXP-T330,EXP-T330,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,B2,REG-SEP,"Joint Residues, Separate REGs",IMGT,IMGT Position,3.5125094048770857,3.4626428580578463,3.487576131467466,3.5125094048770857,0.0498665468192394,1280,COMPLETE,new,
EXP-T331,EXP-T331,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,C,XREG,Cross-REG Read,IMGT,IMGT Position,3.392942923086661,3.362174328462577,3.37755862577462,3.392942923086661,0.0307685946240838,1280,COMPLETE,new,
EXP-T332,EXP-T332,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,D,FUSE,REG Fusion,IMGT,IMGT Position,3.433842882697965,3.4524957397837697,3.443169311240867,3.4524957397837697,0.0186528570858048,1280,COMPLETE,new,
EXP-T333,EXP-T333,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,A,SEP,Separate H/L,REGION,CDR/FR Region,3.3908188431351274,3.366856021645628,3.3788374323903776,3.3908188431351274,0.0239628214894995,1280,COMPLETE,new,
EXP-T334,EXP-T334,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,B1,JOINT,Full Joint,REGION,CDR/FR Region,3.302989677146629,3.635463408481928,3.4692265428142783,3.635463408481928,0.3324737313352988,1280,COMPLETE,new,
EXP-T335,EXP-T335,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,B2,REG-SEP,"Joint Residues, Separate REGs",REGION,CDR/FR Region,3.5019412099579235,3.4399470105583285,3.470944110258126,3.5019412099579235,0.0619941993995949,1280,COMPLETE,new,
EXP-T336,EXP-T336,currab_unpaired,CurrAb (separate-chain),SEPARATE_CHAIN,currab,currab,C,XREG,Cross-REG Read,REGION,CDR/FR Region,3.245753912278164,3.2509146089907044,3.248334260634434,3.2509146089907044,0.0051606967125406,1280,COMPLETE,new,
