scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,FS_HIC_HSP_BM_R5_PROMOTED,c6691d27f706c74f84e807073672008c4e736228302b27ab36c82014491140e9,3,97
primary,1,FS_HIC_HSP_BM_R5_PROMOTED,402148b5c7ef2a32552567debbe841870c72165a925b6db5e0c18e0c4fb243e6,3,96
primary,2,FS_HIC_HSP_BM_R5_PROMOTED,09a48c5da689c3ac262f58c8b32d9fc8856e33a0b4ba12648256316075e0f44c,3,97
primary,3,FS_HIC_HSP_BM_R5_PROMOTED,08f3a07f6b3645380894d19c42f543d4c1a2663d239c8216e5ee0efe29687bdb,3,98
primary,4,FS_HIC_HSP_BM_R5_PROMOTED,38470ce07570a19239a702e55590a0403b1cf00d51455ef72331f615c0baac95,3,98
shadow,0,FS_HIC_HSP_BM_R5_PROMOTED,954fc8186f3eb64b8cefe449461b22258ed99c0418ba71614d4440d5ca5ef58e,3,97
shadow,1,FS_HIC_HSP_BM_R5_PROMOTED,c73a0926ffbe7075a41a787e7151e3d3113484af738c16ec4aca1857118bd686,3,97
shadow,2,FS_HIC_HSP_BM_R5_PROMOTED,290578af6cf13834dc2010c9337d8f2a91ef6a6d6fed9c177afe53ae68560566,3,98
shadow,3,FS_HIC_HSP_BM_R5_PROMOTED,bad0fcfc576e36b9729977dafe8afd8a6be8b1598334e220ac4487b2a746afe0,3,97
shadow,4,FS_HIC_HSP_BM_R5_PROMOTED,6d78b5397824cb406b08f848ecf5a5af4ea1cd0f6699ad1407ccc0c31980e312,3,97
