scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,FS_HIC_SURFACE_PLUS_HSP_EIS_R8_PROMOTED,0ddf16a7169790fe8841c43f67978dc0dc5b9848922c3f1d6b434bdabe632372,38,97
primary,1,FS_HIC_SURFACE_PLUS_HSP_EIS_R8_PROMOTED,6df8761a24a2703547df9cd2ce5c65bfa8a9e0712f9070ae899bf1315e0d2d91,38,96
primary,2,FS_HIC_SURFACE_PLUS_HSP_EIS_R8_PROMOTED,02aeed076743045e780288569668633cc5cf3d114168efef809ac14b6f444f67,38,97
primary,3,FS_HIC_SURFACE_PLUS_HSP_EIS_R8_PROMOTED,cccdce75c3434f10bba81685144ed6159b0723f50b6ae8e41b40536c7185edc9,38,98
primary,4,FS_HIC_SURFACE_PLUS_HSP_EIS_R8_PROMOTED,f3c146a95f6902a954b8e9df331adc88dba4991e5a94b59aec54c020fcccfb97,38,98
shadow,0,FS_HIC_SURFACE_PLUS_HSP_EIS_R8_PROMOTED,a2f1f0ea3ab66157b143432f47d268e2241775b350e80dee7418e42d47fd17c1,38,97
shadow,1,FS_HIC_SURFACE_PLUS_HSP_EIS_R8_PROMOTED,5b2dd331fa5b3c190801888a5eed007895d54d04b6cd72e692c93a53ce84362a,38,97
shadow,2,FS_HIC_SURFACE_PLUS_HSP_EIS_R8_PROMOTED,03033f20bace3d0d064a2f567e7d9c1652dbd0a68f9ded8b429c7bc6a6b71676,38,98
shadow,3,FS_HIC_SURFACE_PLUS_HSP_EIS_R8_PROMOTED,85188ed3995734d14c3ad813763d8ac93fdfc89d4d7e7c5f3798d83816ea921f,38,97
shadow,4,FS_HIC_SURFACE_PLUS_HSP_EIS_R8_PROMOTED,fdb665e7a400f1b89e6e6fbb3ae45198ebe619faa11566ee0793c3d3b78a3387,38,97
