id,generator,extraction_status,error,delta_E_total,delta_E_per_residue,CA_RMSD_pre_post,all_heavy_RMSD_pre_post,VH_CA_RMSD,VL_CA_RMSD,interface_CA_RMSD,initial_force_RMS,initial_force_q95,initial_force_max,final_force_RMS,final_force_q95,clash_relief_fraction,severe_clash_count_before,severe_clash_count_after,E_before,E_after,n_residues,min_HL_atom_distance_before,GENERATOR_GEOMETRY_ARTIFACT_DOMINATED_flag
ADI-37123,esmfold,SUCCESS,,-51949.65724394152,-229.86574001744034,0.7441487092529556,1.005494769794654,0.6537364652709486,0.8332570795039661,0.6180337842645504,54771.93243843473,3257.7899107863805,2263304.6322063357,17.40192759041862,25.54577671062561,0.018488308863512777,1839,1805,28950.91956050529,-22998.73768343623,226,3.0110320489825413,0.0
ADI-37124,esmfold,SUCCESS,,-39001.847987581634,-168.83916877740967,0.6432669774631594,0.9533272115501396,0.5911910306467716,0.6978585280715424,0.6374710139038539,6825.136032139527,3345.320663178439,148850.98980860505,26.684116741150095,41.24649344703628,0.02357255107386066,1909,1864,10906.006155174131,-28095.841832407503,231,2.524866135065381,0.0
ADI-37125,esmfold,SUCCESS,,-40469.44295031946,-174.43725409620458,0.5957363387537001,0.8610944445855921,0.565292329902405,0.628875704095259,0.48999887676929765,15453.413314844516,3402.065012749771,634099.8307163072,9.9524933124536,18.265913510873478,0.025477707006369428,1884,1836,12315.258754145225,-28154.184196174236,232,2.157095037312914,0.0
ADI-38498,esmfold,SUCCESS,,-53540.07565183012,-227.83010915672392,0.795766145800009,1.0673145349260333,0.8606719755492422,0.711910832641944,0.7514684384114109,25725.41502723976,3445.495863694163,1168320.8317625178,16.272979963011096,28.606312255577684,0.02773497688751926,1947,1893,26591.65587417172,-26948.419777658397,235,2.642172212404028,0.0
ADI-38499,esmfold,SUCCESS,,-1577272.255807184,-6887.651772083773,0.5783086709662161,0.8346559919550155,0.5215113433977617,0.6331248744577972,0.46861724996935933,3697680.2200870486,3315.9362993524937,163050516.91842195,9.806460727172581,19.24257091321999,0.01619207146845338,1791,1762,1553057.5591962559,-24214.69661092807,229,2.0642320605978397,0.0
ADI-38500,esmfold,SUCCESS,,-59549.149442457274,-256.67736828645377,0.7472599159967941,0.9981791560533964,0.7643797014438711,0.7278016751797831,0.6768334151225742,41269.69036180416,3338.5473270246084,1321928.961435496,12.270526537177492,22.403908194320046,0.021645021645021644,1848,1808,33628.49433817496,-25920.655104282312,232,2.202242947542347,0.0
ADI-38501,esmfold,SUCCESS,,-30856.295717569945,-135.93081813907466,0.7563361713996714,1.0024968010159816,0.7737249216240674,0.7367012276917118,0.6290912200402036,3417.238026205105,3339.6971319476575,75295.30920649935,9.287215398158503,17.67947725785811,0.017259978425026967,1854,1822,3761.1526965830753,-27095.14302098687,227,2.151277527424112,0.0
ADI-38502,esmfold,SUCCESS,,-31098.02520352669,-135.20880523272473,0.6907056857417337,0.8865858724207436,0.7176648890556059,0.6583526833400909,0.5667808213721638,3568.6814566799967,3324.7953615808037,102207.41916798627,22.672804725848756,38.297107544497656,0.018646776771443795,1877,1842,6959.580911968673,-24138.444291558015,230,2.476257256425512,0.0
ADI-38503,esmfold,SUCCESS,,-57077.530405912315,-246.0238379565186,0.764417293472432,0.9775119890007299,0.6679540649129422,0.8572938918794544,0.7124792760247894,25056.79341571027,3348.8999435307546,1169418.3452709555,12.868937268728617,23.205312835504255,0.016242555495397944,1847,1817,36935.7857803709,-20141.744625541418,232,2.579550542245684,0.0
ADI-45368,esmfold,SUCCESS,,-38945.59614832266,-170.81401819439762,0.6901977917981469,0.9559133718746615,0.7462172897527802,0.6194834459612493,0.7265982517113388,9673.833591941278,3352.1985080559266,313499.79711290187,44.42308478178503,42.28841677320385,0.019659936238044632,1882,1845,15158.72159503274,-23786.87455328992,228,2.5808008446991786,0.0
ADI-45370,esmfold,SUCCESS,,-90007.96934248385,-394.77179536177124,0.577849192934031,0.8363314799334982,0.6226130264417425,0.5256084400403791,0.5735840176870232,102565.32062700379,3306.762509971004,4555922.317482102,9.670003063204524,18.537514591109336,0.029556650246305417,1827,1773,66923.59297021352,-23084.376372270333,228,2.6510054696284584,0.0
ADI-45373,esmfold,SUCCESS,,-27774.37674646874,-120.75815976725539,0.6072865106003452,0.8459869783776488,0.5622839557987623,0.654410762968411,0.6033691454288124,2384.560897037551,3270.6636166678686,17362.11929351967,9.877536594449577,17.755364961489768,0.012378902045209902,1858,1835,780.3471900917052,-26994.029556377034,230,2.5733435448847475,0.0
ADI-45375,esmfold,SUCCESS,,-46112.58034427682,-195.3922895943933,0.7672526938173102,1.040363315891605,0.7469751182926507,0.7898403178676091,0.6491319134909512,9733.458003269972,3387.536180253503,284551.44871200685,9.760382797637908,18.498397103853694,0.02713773681515617,1953,1900,16756.9245807303,-29355.65576354652,236,1.7926895994566379,0.0
ADI-45378,esmfold,SUCCESS,,-32537.474120892795,-137.28892034131982,0.5751808800553654,0.7577526024888744,0.6223218586164848,0.519542972578911,0.4013893176206588,6204.1024994927275,3297.49228226672,240460.87881184655,9.515443769756608,18.15176318336889,0.017276422764227643,1968,1934,5539.983859628828,-26997.490261263967,237,2.6193352210055134,0.0
ADI-45379,esmfold,SUCCESS,,-47319.204241810905,-209.3770099195173,0.7263362369651795,0.9735068986733266,0.7456370375598692,0.704644226969328,0.6014726844809005,42449.23584847027,3377.034617683461,1773649.2029911338,15.259423909669984,26.434160237988984,0.023605150214592276,1864,1820,20291.829447756045,-27027.37479405486,226,1.977517130140723,0.0
ADI-45382,esmfold,SUCCESS,,-34776.30307550214,-146.1189204853031,0.7579007259782788,0.9988736614977165,0.7314099529002334,0.7881025203843584,0.5118514832045585,3873.37070528174,3382.153363948765,89197.825759673,17.33490341478893,32.7921494217608,0.018404907975460124,1956,1920,6674.0162355411485,-28102.28683996099,238,2.5578764630059836,0.0
ADI-45383,esmfold,SUCCESS,,-50990.23193143514,-217.90697406596215,0.7103836361652239,0.9737449268416936,0.6556241022303351,0.7683924517880186,0.621408262538469,17573.590627216185,3348.627817678429,687804.0094203311,26.71430594296317,39.848264384226084,0.013982392542723977,1931,1904,23784.338237433207,-27205.893694001934,234,2.072972262236037,0.0
ADI-45388,esmfold,SUCCESS,,-552638.0465488464,-2361.701053627549,0.5863803978353158,0.8010364912741565,0.6753386637850634,0.47072303131878945,0.5318427497419667,1377307.0475475213,3345.091515524178,61380436.77464535,9.626975157771579,18.370010436814834,0.020052770448548814,1895,1857,525433.4047687933,-27204.64178005318,234,2.252422917660005,0.0
ADI-45389,esmfold,SUCCESS,,-29017.76156402824,-127.8315487402125,0.723980675534052,0.9431286969449932,0.7099452585304874,0.738616609906346,0.5434471904164105,3234.8003226865535,3249.409992853753,87644.9050340981,20.04918366610484,29.10776010108187,0.015033407572383074,1796,1769,4811.789342801297,-24205.97222122694,227,2.512305116820009,0.0
ADI-45390,esmfold,SUCCESS,,-166784.02306509452,-728.3145112012861,0.6859809721137281,0.9102536190962256,0.7283467042492775,0.6369838308214488,0.7103088515511727,277101.7298095742,3359.981056866226,9212502.59051437,9.026130229244162,17.92713389521658,0.022186147186147188,1848,1807,141498.98017324932,-25285.042891845187,229,2.73890233487797,0.0
ADI-45391,esmfold,SUCCESS,,-35166.50777688669,-154.23906919687144,0.6487610688839623,0.8520064458107849,0.7133902484034508,0.5713612493371739,0.519706118885786,7101.113957954547,3301.7224043555475,255064.65995185458,22.750193344736243,28.79029977673661,0.015393073117097306,1819,1791,8980.600315690517,-26185.90746119617,228,2.4770809433686263,0.0
ADI-45393,esmfold,SUCCESS,,-35741.21620964694,-154.7238796954413,0.7396936967153159,1.0254717820726305,0.7359800350343404,0.7439005648011584,0.5853606012305657,7081.983359804977,3348.9778870145383,231299.93750219545,17.105828132390275,34.579135230063365,0.020245071923281833,1877,1839,7248.642268858879,-28492.57394078806,231,2.4412541858643064,0.0
ADI-45395,esmfold,SUCCESS,,-56411.08369972895,-245.26558130316934,0.5724835381816731,0.7550167513817919,0.5488531410460743,0.5980551066927844,0.5246345613246045,35164.67522329122,3394.210600257223,1132473.930664569,9.371328593237331,18.010749536139265,0.021913415285943347,1871,1830,33602.817434315926,-22808.266265413025,230,2.7522138361689854,0.0
