id,status,MPNN_native_score,MPNN_n_res
ADI-46685,SUCCESS,1.4184731245040894,231
ADI-46689,SUCCESS,1.4308269023895264,223
ADI-46690,SUCCESS,1.3228020668029785,221
ADI-46691,SUCCESS,1.3407485485076904,224
ADI-46692,SUCCESS,1.3744624853134155,227
ADI-46693,SUCCESS,1.4547964334487915,237
ADI-46695,SUCCESS,1.4370710849761963,227
ADI-46696,SUCCESS,1.381983995437622,233
ADI-46697,SUCCESS,1.4703112840652466,233
ADI-46701,SUCCESS,1.4236947298049927,226
ADI-46704,SUCCESS,1.4476338624954224,237
ADI-46705,SUCCESS,1.3730114698410034,231
ADI-46706,SUCCESS,1.283514380455017,229
ADI-46707,SUCCESS,1.419846534729004,235
ADI-46708,SUCCESS,1.4028042554855347,229
ADI-46710,SUCCESS,1.352709174156189,232
ADI-46713,SUCCESS,1.38057279586792,227
ADI-47054,SUCCESS,1.5067678689956665,227
ADI-47055,SUCCESS,1.4223804473876953,228
ADI-47056,SUCCESS,1.3212207555770874,231
ADI-47057,SUCCESS,1.4174463748931885,233
ADI-47058,SUCCESS,1.4160710573196411,227
ADI-47059,SUCCESS,1.4058600664138794,228
ADI-47060,SUCCESS,1.4069221019744873,226
ADI-47061,SUCCESS,1.4064692258834839,230
ADI-47062,SUCCESS,1.4255006313323975,227
ADI-47063,SUCCESS,1.4766830205917358,230
ADI-47064,SUCCESS,1.5116513967514038,231
ADI-47065,SUCCESS,1.514787197113037,234
ADI-47066,SUCCESS,1.3840968608856201,235
ADI-47067,SUCCESS,1.4260233640670776,235
ADI-47068,SUCCESS,1.3985273838043213,233
ADI-47069,SUCCESS,1.543949842453003,231
ADI-47070,SUCCESS,1.4887619018554688,237
ADI-47071,SUCCESS,1.4490827322006226,229
ADI-47072,SUCCESS,1.4471768140792847,233
ADI-47073,SUCCESS,1.5221960544586182,230
ADI-47074,SUCCESS,1.484439492225647,235
ADI-47075,SUCCESS,1.334958553314209,235
ADI-47076,SUCCESS,1.455976963043213,234
ADI-47077,SUCCESS,1.4181718826293945,232
ADI-47078,SUCCESS,1.4029299020767212,222
ADI-47079,SUCCESS,1.4719617366790771,234
ADI-47081,SUCCESS,1.5174071788787842,226
ADI-47082,SUCCESS,1.5054881572723389,233
ADI-47083,SUCCESS,1.5408802032470703,233
ADI-47084,SUCCESS,1.4838972091674805,228
ADI-47085,SUCCESS,1.4557387828826904,228
ADI-47087,SUCCESS,1.4864556789398193,225
ADI-47089,SUCCESS,1.5697600841522217,236
ADI-47090,SUCCESS,1.448233723640442,235
ADI-47091,SUCCESS,1.4174140691757202,238
ADI-47092,SUCCESS,1.4536868333816528,233
ADI-47093,SUCCESS,1.3866205215454102,225
ADI-47094,SUCCESS,1.4272452592849731,230
ADI-47095,SUCCESS,1.3313466310501099,231
ADI-47096,SUCCESS,1.3950798511505127,238
ADI-47097,SUCCESS,1.385434865951538,231
ADI-47098,SUCCESS,1.5116777420043945,230
ADI-47099,SUCCESS,1.498555302619934,229
ADI-47100,SUCCESS,1.5128140449523926,235
ADI-47102,SUCCESS,1.3827463388442993,227
ADI-47103,SUCCESS,1.3496589660644531,232
ADI-47104,SUCCESS,1.5168726444244385,231
ADI-47105,SUCCESS,1.397688627243042,225
ADI-47106,SUCCESS,1.5134663581848145,236
ADI-47107,SUCCESS,1.446733832359314,227
ADI-47109,SUCCESS,1.5112636089324951,223
ADI-47111,SUCCESS,1.3382294178009033,232
ADI-47112,SUCCESS,1.4333962202072144,229
ADI-47113,SUCCESS,1.4025181531906128,227
ADI-47114,SUCCESS,1.4063146114349365,231
ADI-47116,SUCCESS,1.3859646320343018,233
ADI-47117,SUCCESS,1.4671025276184082,240
ADI-47118,SUCCESS,1.4006115198135376,232
ADI-47119,SUCCESS,1.491550087928772,235
ADI-47120,SUCCESS,1.4067867994308472,234
ADI-47121,SUCCESS,1.475253701210022,230
ADI-47122,SUCCESS,1.4019396305084229,235
ADI-47123,SUCCESS,1.507749319076538,229
ADI-47124,SUCCESS,1.433176040649414,234
ADI-47125,SUCCESS,1.4383660554885864,234
ADI-47126,SUCCESS,1.4246182441711426,231
ADI-47127,SUCCESS,1.5408101081848145,242
ADI-47129,SUCCESS,1.547852873802185,234
ADI-47130,SUCCESS,1.4328206777572632,235
ADI-47131,SUCCESS,1.5005314350128174,235
ADI-47132,SUCCESS,1.4538673162460327,224
ADI-47133,SUCCESS,1.4894825220108032,229
ADI-47134,SUCCESS,1.4623082876205444,237
ADI-47135,SUCCESS,1.5389186143875122,241
ADI-47137,SUCCESS,1.5809141397476196,224
ADI-47139,SUCCESS,1.5048527717590332,234
ADI-47140,SUCCESS,1.6049755811691284,238
ADI-47141,SUCCESS,1.4294931888580322,233
ADI-47143,SUCCESS,1.4543111324310303,238
ADI-47145,SUCCESS,1.4768686294555664,235
ADI-47146,SUCCESS,1.578178882598877,229
ADI-47147,SUCCESS,1.5572187900543213,237
ADI-47148,SUCCESS,1.5775234699249268,231
ADI-47149,SUCCESS,1.401943564414978,236
ADI-47151,SUCCESS,1.4103490114212036,232
ADI-47152,SUCCESS,1.4702470302581787,232
ADI-47153,SUCCESS,1.5479267835617065,233
ADI-47154,SUCCESS,1.4251978397369385,231
ADI-47155,SUCCESS,1.5139241218566895,227
ADI-47156,SUCCESS,1.5956999063491821,238
ADI-47158,SUCCESS,1.631446123123169,235
ADI-47159,SUCCESS,1.4802395105361938,237
ADI-47160,SUCCESS,1.5751899480819702,230
ADI-47161,SUCCESS,1.4461889266967773,237
ADI-47162,SUCCESS,1.3629447221755981,241
ADI-47163,SUCCESS,1.3537921905517578,224
ADI-47165,SUCCESS,1.4102541208267212,229
ADI-47166,SUCCESS,1.5827263593673706,238
ADI-47173,SUCCESS,1.4382683038711548,234
ADI-47174,SUCCESS,1.4094939231872559,232
ADI-47175,SUCCESS,1.4779411554336548,233
ADI-47176,SUCCESS,1.3415428400039673,229
ADI-47177,SUCCESS,1.4670583009719849,229
ADI-47178,SUCCESS,1.4408494234085083,229
ADI-47179,SUCCESS,1.4009584188461304,228
ADI-47180,SUCCESS,1.4429457187652588,225
ADI-47181,SUCCESS,1.521193027496338,229
ADI-47182,SUCCESS,1.4846570491790771,233
ADI-47183,SUCCESS,1.4249850511550903,225
ADI-47184,SUCCESS,1.5723190307617188,231
ADI-47186,SUCCESS,1.4455065727233887,233
ADI-47187,SUCCESS,1.456770658493042,238
ADI-47188,SUCCESS,1.576003909111023,241
ADI-47189,SUCCESS,1.4203743934631348,239
ADI-47190,SUCCESS,1.4291784763336182,230
ADI-47191,SUCCESS,1.4117751121520996,235
ADI-47192,SUCCESS,1.5438116788864136,240
ADI-47193,SUCCESS,1.4407397508621216,226
ADI-47194,SUCCESS,1.5049103498458862,226
ADI-47195,SUCCESS,1.4259792566299438,230
ADI-47196,SUCCESS,1.4172152280807495,236
ADI-47197,SUCCESS,1.4378383159637451,233
ADI-47198,SUCCESS,1.4168064594268799,230
ADI-47199,SUCCESS,1.5641895532608032,229
ADI-47200,SUCCESS,1.3847137689590454,229
ADI-47201,SUCCESS,1.542664885520935,228
ADI-47202,SUCCESS,1.3480782508850098,234
ADI-47203,SUCCESS,1.3674958944320679,229
ADI-47204,SUCCESS,1.4387283325195312,233
ADI-47205,SUCCESS,1.513240933418274,233
ADI-47206,SUCCESS,1.4544481039047241,227
ADI-47207,SUCCESS,1.3219774961471558,236
ADI-47208,SUCCESS,1.4386698007583618,224
ADI-47209,SUCCESS,1.437771201133728,235
ADI-47212,SUCCESS,1.4875587224960327,230
ADI-47213,SUCCESS,1.6064356565475464,230
ADI-47214,SUCCESS,1.4207476377487183,229
ADI-47215,SUCCESS,1.4070965051651,229
ADI-47216,SUCCESS,1.5220290422439575,231
ADI-47217,SUCCESS,1.4400122165679932,231
ADI-47218,SUCCESS,1.3240611553192139,230
ADI-47219,SUCCESS,1.4695342779159546,234
ADI-47220,SUCCESS,1.5375789403915405,228
ADI-47221,SUCCESS,1.4508403539657593,247
ADI-47222,SUCCESS,1.5147687196731567,233
ADI-47223,SUCCESS,1.5752429962158203,231
ADI-47224,SUCCESS,1.2908656597137451,234
ADI-47225,SUCCESS,1.5301828384399414,230
ADI-47226,SUCCESS,1.4620025157928467,229
ADI-47227,SUCCESS,1.5308114290237427,238
ADI-47228,SUCCESS,1.5225632190704346,236
ADI-47229,SUCCESS,1.4665820598602295,235
ADI-47230,SUCCESS,1.3707267045974731,224
ADI-47231,SUCCESS,1.3781828880310059,232
ADI-47232,SUCCESS,1.4378175735473633,242
ADI-47233,SUCCESS,1.4472019672393799,235
ADI-47234,SUCCESS,1.4351426362991333,232
ADI-47235,SUCCESS,1.4112659692764282,240
ADI-47236,SUCCESS,1.5665403604507446,233
ADI-47237,SUCCESS,1.473878026008606,238
ADI-47238,SUCCESS,1.397330641746521,239
ADI-47239,SUCCESS,1.4192554950714111,241
ADI-47240,SUCCESS,1.4230377674102783,237
ADI-47241,SUCCESS,1.3784185647964478,235
ADI-47243,SUCCESS,1.5023728609085083,232
ADI-47244,SUCCESS,1.5564932823181152,237
ADI-47246,SUCCESS,1.4720475673675537,221
ADI-47247,SUCCESS,1.4846749305725098,228
ADI-47248,SUCCESS,1.4940159320831299,229
ADI-47249,SUCCESS,1.5569041967391968,232
ADI-47250,SUCCESS,1.546865701675415,231
ADI-47251,SUCCESS,1.545594573020935,231
ADI-47252,SUCCESS,1.402845859527588,225
ADI-47253,SUCCESS,1.4176191091537476,228
ADI-47254,SUCCESS,1.5499814748764038,233
ADI-47255,SUCCESS,1.5173355340957642,240
ADI-47256,SUCCESS,1.5686874389648438,241
ADI-47257,SUCCESS,1.4388484954833984,228
ADI-47258,SUCCESS,1.5757575035095215,239
ADI-47259,SUCCESS,1.4259059429168701,236
ADI-47260,SUCCESS,1.4607895612716675,244
ADI-47261,SUCCESS,1.4405195713043213,226
ADI-47262,SUCCESS,1.4667071104049683,237
ADI-47263,SUCCESS,1.475481390953064,228
ADI-47264,SUCCESS,1.4093199968338013,237
ADI-47265,SUCCESS,1.480448842048645,239
ADI-47267,SUCCESS,1.5352734327316284,224
ADI-47278,SUCCESS,1.4392967224121094,226
ADI-47279,SUCCESS,1.4126358032226562,228
ADI-47280,SUCCESS,1.5431917905807495,231
ADI-47281,SUCCESS,1.5602738857269287,230
ADI-47282,SUCCESS,1.3682204484939575,230
ADI-47283,SUCCESS,1.5415401458740234,237
ADI-47284,SUCCESS,1.4937350749969482,227
ADI-47285,SUCCESS,1.397763729095459,234
ADI-47286,SUCCESS,1.5658754110336304,231
ADI-47287,SUCCESS,1.4994885921478271,234
ADI-47288,SUCCESS,1.414709448814392,225
ADI-47289,SUCCESS,1.375856637954712,227
ADI-47290,SUCCESS,1.5881718397140503,233
ADI-47291,SUCCESS,1.5217747688293457,234
ADI-47292,SUCCESS,1.4613233804702759,230
ADI-47293,SUCCESS,1.53570556640625,230
ADI-47294,SUCCESS,1.4661288261413574,229
ADI-47295,SUCCESS,1.4863322973251343,231
ADI-47296,SUCCESS,1.4274786710739136,227
ADI-47297,SUCCESS,1.4718610048294067,225
ADI-47298,SUCCESS,1.3996305465698242,228
ADI-47299,SUCCESS,1.3700435161590576,226
ADI-47300,SUCCESS,1.4408771991729736,232
ADI-47301,SUCCESS,1.484828233718872,229
ADI-47302,SUCCESS,1.3453242778778076,232
ADI-47303,SUCCESS,1.4357646703720093,227
ADI-47304,SUCCESS,1.4260969161987305,232
ADI-47305,SUCCESS,1.5403196811676025,235
ADI-47306,SUCCESS,1.440324068069458,229
ADI-47307,SUCCESS,1.4743458032608032,232
ADI-47308,SUCCESS,1.5366328954696655,233
ADI-47309,SUCCESS,1.6036088466644287,226
ADI-47310,SUCCESS,1.4141664505004883,226
ADI-47311,SUCCESS,1.4405477046966553,227
