target,stage,N_models,median_Primary_CV_MAE,best_Primary_CV_MAE,median_Shadow_CV_MAE,best_Shadow_CV_MAE,median_Public_MAE,best_Public_MAE,median_Private_MAE,best_Private_MAE,median_All_Test_MAE,best_All_Test_MAE
TmApp,Stage1,57,3.2809885887386883,3.101055299695662,3.171603258776206,3.1360129477278136,3.662707613123998,3.5178866416064394,3.571542992940905,3.3515969799822285,3.582494161035229,3.4631090020467465
TmApp,Stage2,17,3.104635503010224,2.7755534883042445,3.09854015501603,2.8315941278702987,3.4632620163905767,3.0853249349711853,3.244044362762828,3.0803315908749727,3.289115387716411,3.1226571871910567
TmApp,Stage2b,6,3.0459565079767223,2.8634150425593057,2.980265860124068,2.9537334326541784,3.672980756232602,3.075292410743088,3.542339457228043,3.120891825909992,3.614026873239248,3.197327977160532
TmApp,Stage3,43,3.1905261569572483,2.753910574048997,2.933032969320664,2.8001396431269505,3.4474473983558447,3.291693906740851,3.338744963259197,3.0921754540633923,3.39309618080752,3.215125507287526
TmApp,Stage4,23,3.266242744365825,2.74260866109489,3.02297249787884,2.7704303207517023,3.700398112783936,3.3316654936662715,3.67580433073669,3.1607675588781987,3.687561175558396,3.246216526272235
TmApp,Stage5,28,2.7886487026733713,2.7134783500422097,2.7690080705599454,2.759100007677969,3.3278642293785223,3.2306885841030826,3.211552262966718,3.15007534338225,3.247835644209737,3.2211204235349
HIC,Stage1,53,0.5384223796882371,0.4731976632715575,0.4795343808521619,0.472402127068725,0.5576505441126742,0.4771951498951079,0.5249399096202637,0.4626168829303635,0.5446787717585542,0.4740124803672968
HIC,Stage2,23,0.4808183260794923,0.4484517342380082,0.4566117452346302,0.4506239099365779,0.483110432120029,0.421606059240731,0.4847704750722494,0.4412043173120272,0.4771910098405327,0.4385338271493921
HIC,Stage2b,8,0.5181562680285521,0.4530230116517163,0.4609174640197949,0.4479707248506496,0.5343916645062061,0.4308176517256212,0.5141446265718792,0.4555505969077814,0.5293725468398927,0.4431841243167012
HIC,Stage3,43,0.507772939327201,0.4396859273919143,0.4421734324711952,0.4383970008613175,0.5488541139060739,0.4211055496359648,0.5226765921583248,0.4375739425760517,0.535531217687638,0.4297708854748205
HIC,Stage4,25,0.5385937695277405,0.4372717171539347,0.45739161127590244,0.4331720450112299,0.5888343351690819,0.4399520932236455,0.5611182857863659,0.4386082183322762,0.5749763104777239,0.4392801557779608
HIC,Stage5,28,0.44499258595920677,0.4251776987709104,0.4333605796648734,0.4320764671385887,0.5141753538279551,0.4148392100594437,0.4865147596105628,0.4180226409189143,0.5029946061764183,0.4208853376624186
