,Primary_CV_MAE,Shadow_CV_MAE,Public_MAE,Private_MAE,All_Test_MAE
Primary_CV_MAE,1.0,1.0,0.5,1.0,1.0
Shadow_CV_MAE,1.0,1.0,0.5,1.0,1.0
Public_MAE,0.5,0.5,1.0,0.5,0.5
Private_MAE,1.0,1.0,0.5,1.0,1.0
All_Test_MAE,1.0,1.0,0.5,1.0,1.0
