,Primary_CV_MAE,Shadow_CV_MAE,Public_MAE,Private_MAE,All_Test_MAE
Primary_CV_MAE,1.0,0.9301619433198381,0.7854389377131097,0.7685720415156152,0.8041935916838795
Shadow_CV_MAE,0.9301619433198381,1.0,0.5944130736327458,0.40512899266083907,0.5504503193424966
Public_MAE,0.7854389377131097,0.5944130736327458,1.0,0.7798647930384668,0.9440810714646543
Private_MAE,0.7685720415156152,0.405128992660839,0.7798647930384668,1.0,0.9148081932431661
All_Test_MAE,0.8041935916838795,0.5504503193424964,0.9440810714646543,0.9148081932431661,1.0
