target,role,model,CV_Primary,CV_Shadow,Public,Private,All_Test
TmApp,PRIMARY,ROUND1_PRIMARY,,,3.2306885841030826,3.211552262966718,3.2211204235349
HIC,PRIMARY,ROUND1_PRIMARY,,,0.42043943258580535,0.4239298110263242,0.42218462180606475
TmApp,SECONDARY_A,TmApp__FUSION_S3INC__ADV_INTERACTIONS__SVROpt,2.7426,2.7704,3.3316654936662715,3.1607675588781987,3.246216526272235
HIC,SECONDARY_A,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__SVROpt,0.4373,0.4332,0.4399520932236455,0.43860821833227626,0.4392801557779608
