,Primary_CV_MAE,Shadow_CV_MAE,Public_MAE,Private_MAE,All_Test_MAE
Primary_CV_MAE,174,39,111,111,111
Shadow_CV_MAE,39,39,27,27,27
Public_MAE,111,27,111,111,111
Private_MAE,111,27,111,111,111
All_Test_MAE,111,27,111,111,111
