target,trajectory,policy,final_model,final_private_mae,private_regret
TmApp,15,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,15,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,16,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,16,PUBLIC_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,16,BALANCED,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,17,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,17,PUBLIC_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,17,BALANCED,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,18,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,18,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,18,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,19,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,19,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,19,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,20,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,20,PUBLIC_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,20,BALANCED,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,21,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,21,PUBLIC_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,21,BALANCED,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,22,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,22,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,22,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,23,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,23,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,23,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,24,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,24,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,24,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,25,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,25,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,25,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,26,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,26,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,26,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,27,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,27,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,27,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,28,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,28,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,28,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,29,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,29,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,29,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,30,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,30,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,30,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,31,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,31,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,31,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,32,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,32,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,32,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,33,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,33,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,33,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,34,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,34,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,34,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,35,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,35,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,35,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,36,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,36,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,36,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,37,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,37,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,37,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,38,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,38,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,38,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,39,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,39,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,39,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,40,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,40,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,40,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,41,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,41,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,41,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,42,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,42,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,42,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,43,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,43,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,43,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,44,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,44,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,44,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,45,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,45,PUBLIC_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,45,BALANCED,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,46,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,46,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,46,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,47,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,47,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,47,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,48,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,48,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,48,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,49,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,49,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,49,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,50,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,50,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,50,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,51,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,51,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,51,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,52,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,52,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,52,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,53,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,53,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,53,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,54,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,54,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,54,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,55,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,55,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,55,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
