scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed,config_hash,fusion_bundle_id
primary,0,0.001,1e-05,15,105,0.00098807879715968,0.4276812293312766,45,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H093_run/checkpoints/primary_k0_lr1e-03_seed101.pt,8492413908b16dbf,101,24d4f2d4a7ecf62a357365a6d9caea82d2858bb50f5297804c4775e1c6b40cde,F4_H047_AUX_ALL
primary,1,0.0001,1.0000000000000002e-06,51,306,8.55017856687341e-05,0.43534125703753845,81,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H093_run/checkpoints/primary_k1_lr1e-04_seed101.pt,8492413908b16dbf,101,24d4f2d4a7ecf62a357365a6d9caea82d2858bb50f5297804c4775e1c6b40cde,F4_H047_AUX_ALL
primary,2,0.001,1e-05,6,42,0.0009984740801978985,0.41763943433761597,36,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H093_run/checkpoints/primary_k2_lr1e-03_seed101.pt,8492413908b16dbf,101,24d4f2d4a7ecf62a357365a6d9caea82d2858bb50f5297804c4775e1c6b40cde,F4_H047_AUX_ALL
primary,3,0.01,0.0001,18,126,0.0098245592213661,0.46618562936782837,48,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H093_run/checkpoints/primary_k3_lr1e-02_seed101.pt,8492413908b16dbf,101,24d4f2d4a7ecf62a357365a6d9caea82d2858bb50f5297804c4775e1c6b40cde,F4_H047_AUX_ALL
primary,4,0.01,0.0001,3,21,0.009997557473810372,0.36657610535621643,33,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H093_run/checkpoints/primary_k4_lr1e-02_seed101.pt,8492413908b16dbf,101,24d4f2d4a7ecf62a357365a6d9caea82d2858bb50f5297804c4775e1c6b40cde,F4_H047_AUX_ALL
shadow,0,0.01,0.0001,19,133,0.009803453744100868,0.4252555731571082,49,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H093_run/checkpoints/shadow_k0_lr1e-02_seed101.pt,8492413908b16dbf,101,24d4f2d4a7ecf62a357365a6d9caea82d2858bb50f5297804c4775e1c6b40cde,F4_H047_AUX_ALL
shadow,1,0.001,1e-05,43,301,0.0008961267311259666,0.4587540328502655,73,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H093_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,8492413908b16dbf,101,24d4f2d4a7ecf62a357365a6d9caea82d2858bb50f5297804c4775e1c6b40cde,F4_H047_AUX_ALL
shadow,2,0.001,1e-05,39,273,0.0009144048842659081,0.3943648338317871,69,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H093_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,8492413908b16dbf,101,24d4f2d4a7ecf62a357365a6d9caea82d2858bb50f5297804c4775e1c6b40cde,F4_H047_AUX_ALL
shadow,3,0.001,1e-05,16,112,0.00098632311059685,0.4680132432417436,46,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H093_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,8492413908b16dbf,101,24d4f2d4a7ecf62a357365a6d9caea82d2858bb50f5297804c4775e1c6b40cde,F4_H047_AUX_ALL
shadow,4,0.01,0.0001,68,476,0.007502520408740419,0.36168286204338074,98,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H093_run/checkpoints/shadow_k4_lr1e-02_seed101.pt,8492413908b16dbf,101,24d4f2d4a7ecf62a357365a6d9caea82d2858bb50f5297804c4775e1c6b40cde,F4_H047_AUX_ALL
