pair,feature,n,pearson,spearman,top20_jaccard,bottom20_jaccard
esmfold_vs_abodybuilder2,internal_cavity_count,324,0.3101521851876899,0.3270128806090471,0.14285714285714285,0.02564102564102564
esmfold_vs_abodybuilder2,total_internal_cavity_volume,324,0.42705364593801,0.4301328253820571,0.08108108108108109,0.02564102564102564
esmfold_vs_abodybuilder2,max_internal_cavity_volume,324,0.3313049374176875,0.385577339224774,0.05263157894736842,0.02564102564102564
esmfold_vs_abodybuilder2,mean_internal_cavity_volume,324,0.2296566633974828,0.32319300432221454,0.0,0.02564102564102564
esmfold_vs_abodybuilder2,max_internal_cavity_depth,324,0.2929431390583944,0.3442696674959007,0.05263157894736842,0.02564102564102564
esmfold_vs_abodybuilder2,mean_internal_cavity_depth,324,0.1788226764347823,0.27519731128620956,0.02564102564102564,0.02564102564102564
esmfold_vs_abodybuilder2,internal_cavity_area_total,324,0.4197164789751236,0.41642664281224684,0.08108108108108109,0.02564102564102564
esmfold_vs_abodybuilder2,volume_per_residue,324,0.42236448480320504,0.4250536598616417,0.08108108108108109,0.02564102564102564
esmfold_vs_abodybuilder2,interface_cavity_volume,324,0.3523935750866322,0.3432582687799686,0.08108108108108109,0.1111111111111111
esmfold_vs_abodybuilder2,interface_cavity_count,324,0.2892508186624496,0.28633288386523337,0.08108108108108109,0.1111111111111111
esmfold_vs_boltz2,internal_cavity_count,324,0.09615865660125128,0.0846835076737529,0.02564102564102564,0.0
esmfold_vs_boltz2,total_internal_cavity_volume,324,0.23318476641619706,0.2213324038067711,0.08108108108108109,0.0
esmfold_vs_boltz2,max_internal_cavity_volume,324,0.24246859642706536,0.23506187858043842,0.1111111111111111,0.0
esmfold_vs_boltz2,mean_internal_cavity_volume,324,0.22427206546539388,0.24238121345733105,0.08108108108108109,0.0
esmfold_vs_boltz2,max_internal_cavity_depth,324,0.1997541024674252,0.16857282110455654,0.1111111111111111,0.0
esmfold_vs_boltz2,mean_internal_cavity_depth,324,0.15691404888255484,0.1603845412909071,0.05263157894736842,0.0
esmfold_vs_boltz2,internal_cavity_area_total,324,0.1944444943672595,0.18684203001570157,0.08108108108108109,0.0
esmfold_vs_boltz2,volume_per_residue,324,0.22889438132378212,0.2202165330450048,0.08108108108108109,0.0
esmfold_vs_boltz2,interface_cavity_volume,324,0.2433002395934057,0.22088924596100518,0.08108108108108109,0.02564102564102564
esmfold_vs_boltz2,interface_cavity_count,324,0.10912717149131375,0.11742105960853605,0.02564102564102564,0.02564102564102564
abodybuilder2_vs_boltz2,internal_cavity_count,324,0.0886738437139155,0.11677492511550557,0.02564102564102564,0.21212121212121213
abodybuilder2_vs_boltz2,total_internal_cavity_volume,324,0.27048993227272594,0.24680301349625727,0.17647058823529413,0.21212121212121213
abodybuilder2_vs_boltz2,max_internal_cavity_volume,324,0.23004387829196177,0.2591512001310219,0.05263157894736842,0.21212121212121213
abodybuilder2_vs_boltz2,mean_internal_cavity_volume,324,0.17326109709365223,0.2503281402584191,0.0,0.21212121212121213
abodybuilder2_vs_boltz2,max_internal_cavity_depth,324,0.20024009095001055,0.20603218387994918,0.08108108108108109,0.21212121212121213
abodybuilder2_vs_boltz2,mean_internal_cavity_depth,324,0.16333769432550468,0.1885576744150578,0.1111111111111111,0.21212121212121213
abodybuilder2_vs_boltz2,internal_cavity_area_total,324,0.2717745221201919,0.2489279324180266,0.1111111111111111,0.21212121212121213
abodybuilder2_vs_boltz2,volume_per_residue,324,0.26909096432208685,0.2460808549601311,0.17647058823529413,0.21212121212121213
abodybuilder2_vs_boltz2,interface_cavity_volume,324,0.28029696311985053,0.2840576978792616,0.1111111111111111,0.2903225806451613
abodybuilder2_vs_boltz2,interface_cavity_count,324,0.19865200423067064,0.22799322174288394,0.1111111111111111,0.2903225806451613
