target,comparison,spearman,kendall,top3_overlap,n_models
HIC,CV→Public,0.7166666666666667,0.5,1,9
HIC,Public→Private,0.9,0.7222222222222222,3,9
HIC,CV→Private,0.8166666666666667,0.6666666666666666,1,9
TmApp,CV→Public,0.3356643356643357,0.2424242424242424,0,12
TmApp,Public→Private,0.027972027972027972,0.0,0,12
TmApp,CV→Private,0.7202797202797203,0.5151515151515151,2,12
