Dataset ID,Dataset source,Organism,Strain/tissue,OGT [°C],Cells/lysate,Replicate/experiment,Lysis conditions,Melting range [°C],Number of identified proteins,Number of fitted melting curves,PRIDE data directory,PRIDE TPP file name,Mass spectrometer,TMT126,TMT127L,TMT127H,TMT128L,TMT128H,TMT129L,TMT129H,TMT130L,TMT130H,TMT131L
ma:0016,OS,Mus musculus,BMDC,37,lysate,R2,0.5% NP40,37-67,7045,6106,Mus_musculus_BMDC_P019743,TPP_M.musculus_BMDC_P019743,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0017,TUM,Mus musculus ,liver tissue,37,lysate,R1,0.5% NP40,37-67,4679,4568,Mus_musculus_liver_P023759,TPP_Mouse_liver_P023759,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0018,OS,Homo sapiens,A549,37,lysate,R1,PBS,40-70,7933,6285,Homo_sapiens_A549_P013701,TPP_H.sapiens_A549_P013701,Q Exactive Plus,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0019,OS,Homo sapiens,A549,37,lysate,R2,PBS,40-70,7933,6267,Homo_sapiens_A549_P013697,TPP_H.sapiens_A549_P013697,Q Exactive Plus,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0020,TUM,Homo sapiens,K562,37,cells,R1,0.5% NP40,40-70,6562,5548,Homo_sapiens_K562_cells_NP40_R1_P018450,TPP_H.sapiens_K562_cells_R1_P018450,Q Exactive HF,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0021,TUM,Homo sapiens,K562,37,cells,R2,0.5% NP40,40-70,6502,6004,Homo_sapiens_K562_cells_NP40_R2_P018894,TPP_H.sapiens_K562_cells_R2_P018894,Q Exactive HF,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0022,TUM,Homo sapiens,K562,37,lysate,R1,0.5% NP40,37-67,6647,6313,Homo_sapiens_K562_lysate_NP40_R1_P019670,TPP_H.sapiens_K562_lysate_R1_P019670,Q Exactive HF,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0023,TUM,Homo sapiens,K562,37,lysate,R2,0.5% NP40,37-67,6434,6151,Homo_sapiens_K562_lysate_NP40_R2_P019785,TPP_H.sapiens_K562_lysate_R2_P019785,Q Exactive HF,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0024,OS,Homo sapiens,HEK293,37,cells,R1,0.5% NP40,37-67,7235,5566,Homo_sapiens_HEK293_P018221,TPP_H.sapiens_HEK293_PP018221,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0025,OS,Homo sapiens,HEK293,37,cells,R2,0.5% NP40,37-67,7235,5542,Homo_sapiens_HEK293_P018224,TPP_H.sapiens_HEK293_PP018224,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0026,OS,Homo sapiens,K562,37,lysate,R1,PBS,40-70,7291,6556,Homo_sapiens_K562_P018889,TPP_H.sapiens_K562_P018889,Q Exactive Plus,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0027,OS,Homo sapiens,K562,37,lysate,R2,PBS,40-70,7291,6393,Homo_sapiens_K562_P018890,TPP_H.sapiens_K562_P018890,Q Exactive Plus,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0028,OS,Homo sapiens,K562,37,cells,R1,PBS,37-67,7348,6792,Homo_sapiens_K562_P013109,TPP_H.sapiens_K562_P013109,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0029,OS,Homo sapiens,K562,37,cells,R2,PBS,37-67,7348,6597,Homo_sapiens_K562_P013110,TPP_H.sapiens_K562_P013110,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0030,OS,Homo sapiens,colon cancer spheroids,37,cells,R1,0.5% NP40,40-70,8043,6619,Homo_sapiens_colon_cancer_spheroids_P016043,TPP_H.sapiens_colon_cancer_spheroids_R1_P016043,Q Exactive Plus,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0031,OS,Homo sapiens,colon cancer spheroids,37,cells,R2,0.5% NP40,40-70,8043,6441,Homo_sapiens_colon_cancer_spheroids_P016046,TPP_H.sapiens_colon_cancer_spheroids_R2_P016046,Q Exactive Plus,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
