experiment_id,target,structure_source,feature_family,model,hyperparameters,n_features,Primary_MAE,Primary_fold_SD,Shadow_MAE,delta_vs_plm_only,delta_vs_sequence_incumbent,status,notes
HIC__FUSION_PLM__ESMFold__STRUCT_PATCH__SVROpt,HIC,ESMFold,STRUCT_PATCH,PLM+SVROpt,"{""pca_dim"": 64, ""C"": 0.9198865870534925, ""gamma"": 0.000367534889058166, ""epsilon"": 0.001081113153223683}",69,0.4551197152566204,0.030463534267077184,,-8.028474337956615e-05,0.006619715256620418,FUSION_PLM_STRUCT,PLM + structure
HIC__FUSION_OVERALL__ESMFold__STRUCT_PATCH__RidgeOpt,HIC,ESMFold,STRUCT_PATCH,OVERALL+RidgeOpt,"{""pca_dim"": 32, ""alpha"": 98.48051117965663}",152,0.5353789602771617,0.04411646453203126,,0.0801789602771617,0.08687896027716169,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
HIC__FUSION_OVERALL__ESMFold__STRUCT_PATCH__SVROpt,HIC,ESMFold,STRUCT_PATCH,OVERALL+SVROpt,"{""pca_dim"": null, ""C"": 0.964093679980662, ""gamma"": 0.0003974557671677831, ""epsilon"": 0.0069111830248350745}",1400,0.4515268799372346,0.02982075096564976,,-0.003673120062765378,0.0030268799372346056,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt,HIC,ESMFold,STRUCT_SURFACE_ALL,PLM+RidgeOpt,"{""pca_dim"": 8, ""alpha"": 75.7947995334801}",179,0.5178035313163017,0.0962592926725237,,0.06260353131630175,0.06930353131630174,FUSION_PLM_STRUCT,PLM + structure
HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_ALL__SVROpt,HIC,ESMFold,STRUCT_SURFACE_ALL,PLM+SVROpt,"{""pca_dim"": 64, ""C"": 0.9198865870534925, ""gamma"": 0.000367534889058166, ""epsilon"": 0.001081113153223683}",235,0.44729878709855386,0.030381723820010368,0.4421067935405875,-0.00790121290144613,-0.001201212901446147,STRUCT_SHADOW_CONFIRMED,PLM + structure
HIC__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt,HIC,ESMFold,STRUCT_SURFACE_ALL,OVERALL+RidgeOpt,"{""pca_dim"": 32, ""alpha"": 78.7582456105396}",318,0.5479456088037458,0.06264728227126036,,0.09274560880374577,0.09944560880374576,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
HIC__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__SVROpt,HIC,ESMFold,STRUCT_SURFACE_ALL,OVERALL+SVROpt,"{""pca_dim"": 32, ""C"": 2.1203973399088185, ""gamma"": 0.00017085898361510405, ""epsilon"": 0.0026673466749431896}",318,0.4405241930414688,0.041853357481017886,0.43839700086131755,-0.014675806958531212,-0.007975806958531229,STRUCT_SHADOW_CONFIRMED,overall sequence incumbent + structure
HIC__FUSION_PLM__ESMFold__STRUCT_ALL__RidgeOpt,HIC,ESMFold,STRUCT_ALL,PLM+RidgeOpt,"{""pca_dim"": 8, ""alpha"": 75.7947995334801}",226,0.5201627935225552,0.10450897516049103,,0.06496279352255524,0.07166279352255522,FUSION_PLM_STRUCT,PLM + structure
HIC__FUSION_PLM__ESMFold__STRUCT_ALL__SVROpt,HIC,ESMFold,STRUCT_ALL,PLM+SVROpt,"{""pca_dim"": 32, ""C"": 2.035237472719914, ""gamma"": 0.0002648242734354266, ""epsilon"": 0.00491191970358814}",250,0.44495651577808737,0.042046860288296926,0.4480839950510321,-0.010243484221912624,-0.0035434842219126406,STRUCT_SHADOW_CONFIRMED,PLM + structure
HIC__FUSION_OVERALL__ESMFold__STRUCT_ALL__RidgeOpt,HIC,ESMFold,STRUCT_ALL,OVERALL+RidgeOpt,"{""pca_dim"": null, ""alpha"": 99.35334257160925}",1613,0.5541333898629626,0.0452592162342948,,0.09893338986296257,0.10563338986296256,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
HIC__FUSION_OVERALL__ESMFold__STRUCT_ALL__SVROpt,HIC,ESMFold,STRUCT_ALL,OVERALL+SVROpt,"{""pca_dim"": 32, ""C"": 2.1203973399088185, ""gamma"": 0.00017085898361510405, ""epsilon"": 0.0026673466749431896}",365,0.44075593427384413,0.042003039075275805,0.438833762781485,-0.014444065726155864,-0.00774406572615588,STRUCT_SHADOW_CONFIRMED,overall sequence incumbent + structure
