experiment_id,target,structure_source,feature_family,model,hyperparameters,n_features,Primary_MAE,Primary_fold_SD,Shadow_MAE,delta_vs_plm_only,delta_vs_sequence_incumbent,status,notes
HIC__ESMFold__STRUCT_INTERFACE__ElasticNetOpt,HIC,ESMFold,STRUCT_INTERFACE,ElasticNetOpt,"{""alpha"": 0.11372017998670853, ""l1_ratio"": 0.5721749378543918}",10,0.5360427376707578,0.05032669659180641,,0.08084273767075784,0.08754273767075782,STRUCTURE_ONLY_OPTUNA,trials=30
HIC__ESMFold__STRUCT_PACKING__Ridge,HIC,ESMFold,STRUCT_PACKING,Ridge,"{""alpha"": 10.0}",23,0.5520915753121661,0.0518454287821781,,0.09689157531216613,0.10359157531216612,STRUCTURE_ONLY_FIXED,fixed HP screen
HIC__ESMFold__STRUCT_PACKING__ElasticNet,HIC,ESMFold,STRUCT_PACKING,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.3}",23,0.5448956491668595,0.04122023731601152,,0.08969564916685951,0.0963956491668595,STRUCTURE_ONLY_FIXED,fixed HP screen
HIC__ESMFold__STRUCT_PACKING__RidgeOpt,HIC,ESMFold,STRUCT_PACKING,RidgeOpt,"{""alpha"": 96.68599030214607}",23,0.5395741818142358,0.036940188814806714,,0.08437418181423578,0.09107418181423577,STRUCTURE_ONLY_OPTUNA,trials=30
HIC__ESMFold__STRUCT_PACKING__ElasticNetOpt,HIC,ESMFold,STRUCT_PACKING,ElasticNetOpt,"{""alpha"": 0.4583217426607268, ""l1_ratio"": 0.11880239457172942}",23,0.5383340366834076,0.03608329191601948,,0.08313403668340763,0.08983403668340761,STRUCTURE_ONLY_OPTUNA,trials=30
HIC__ESMFold__STRUCT_SURFACE_ALL__Ridge,HIC,ESMFold,STRUCT_SURFACE_ALL,Ridge,"{""alpha"": 10.0}",171,0.6049013019831757,0.062473146016071825,,0.14970130198317572,0.1564013019831757,STRUCTURE_ONLY_FIXED,fixed HP screen
HIC__ESMFold__STRUCT_SURFACE_ALL__ElasticNet,HIC,ESMFold,STRUCT_SURFACE_ALL,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.3}",171,0.5471387714929238,0.04878601024141842,,0.09193877149292379,0.09863877149292377,STRUCTURE_ONLY_FIXED,fixed HP screen
HIC__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt,HIC,ESMFold,STRUCT_SURFACE_ALL,RidgeOpt,"{""alpha"": 96.68599030214607}",171,0.5117897847899989,0.055077609008669086,,0.05658978478999893,0.06328978478999892,STRUCTURE_ONLY_OPTUNA,trials=30
HIC__ESMFold__STRUCT_SURFACE_ALL__ElasticNetOpt,HIC,ESMFold,STRUCT_SURFACE_ALL,ElasticNetOpt,"{""alpha"": 0.12338931179443481, ""l1_ratio"": 0.618809973418661}",171,0.4829281356629834,0.04061022042532227,,0.027728135662983433,0.03442813566298342,STRUCTURE_ONLY_OPTUNA,trials=30
HIC__ESMFold__STRUCT_GEOMETRY_ALL__Ridge,HIC,ESMFold,STRUCT_GEOMETRY_ALL,Ridge,"{""alpha"": 10.0}",47,0.5575611862923938,0.06850632308200573,,0.10236118629239382,0.10906118629239381,STRUCTURE_ONLY_FIXED,fixed HP screen
