target,model_a,model_b,corr_residuals,corr_residA_vs_predB,mae_a,mae_b
HIC,ESMFN_STRUCTURE/ElasticNet,PLM_ESM2/PCA64/SVR,0.8116257922227343,0.038226149044072906,0.5331343872079478,0.4921444674179822
TmApp,BIO/Ridge,PLM_ABLANG2/ElasticNet,0.5714603385616475,0.3301978221203709,3.2027637748304856,3.241087776866256
