target,tag,model,repeat,fold,pearson,mae,rmse,spearman
HIC,NESTED_STACK_MEAN,mean,0,0,0.5891170893983639,0.4833458322591868,0.6955037965632598,0.5281284420158247
HIC,NESTED_STACK_MEDIAN,median,0,0,0.5637986470058997,0.48076590274472764,0.7047949118891942,0.48599853780943414
HIC,NESTED_STACK_NNLS,nnls,0,0,0.6133734992862041,0.519342279298722,0.69000514793283,0.5522026729909051
HIC,NESTED_STACK_RIDGE,ridge,0,0,0.5928236496302034,0.530101280074347,0.7099088106425717,0.47245678288595144
HIC,ESMFN_STRUCTURE/ElasticNet,nested_refit,0,0,0.5884589437210781,0.5614196970020403,0.7140664516937084,0.4341720683491917
HIC,PLM_ESM2/PCA64/SVR,nested_refit,0,0,0.5580644275374887,0.4770490690726994,0.7112763863052347,0.5580540485751259
HIC,SEQ_SIMPLE/Ridge,nested_refit,0,0,0.4126234917500847,0.5428243975400957,0.7964309352850659,0.4701162326522631
HIC,NESTED_STACK_MEAN,mean,0,1,0.6918721800654728,0.38214892816038387,0.5618492543419286,0.6297317645450973
HIC,NESTED_STACK_MEDIAN,median,0,1,0.7307915012356712,0.38764480030644205,0.5174292587539915,0.6980864067157302
HIC,NESTED_STACK_NNLS,nnls,0,1,0.7267635521486653,0.37035376696423755,0.5334091502596182,0.6604829972086584
HIC,NESTED_STACK_RIDGE,ridge,0,1,0.7199351160928162,0.3642391985673339,0.5383166236903709,0.6633241437047482
HIC,ESMFN_STRUCTURE/ElasticNet,nested_refit,0,1,0.5908258680642767,0.507993506352131,0.6645265608083888,0.5597058597297057
HIC,PLM_ESM2/PCA64/SVR,nested_refit,0,1,0.7329693150840162,0.36374033827463936,0.5063411439546994,0.648951284959823
HIC,SEQ_SIMPLE/Ridge,nested_refit,0,1,0.2538696138605242,0.5856181263683663,0.8147822647796226,0.25670594223494414
HIC,NESTED_STACK_MEAN,mean,0,2,0.5447254050759501,0.4709766179245725,0.56581975879368,0.4894143545438151
HIC,NESTED_STACK_MEDIAN,median,0,2,0.4818279179409581,0.49842238800860744,0.5965231686340418,0.5247914970258213
HIC,NESTED_STACK_NNLS,nnls,0,2,0.5059047141236328,0.43245501493481664,0.5586027228993978,0.5176427480268666
HIC,NESTED_STACK_RIDGE,ridge,0,2,0.4848180011509434,0.4222329533476144,0.5568832907971242,0.47016772262355266
HIC,ESMFN_STRUCTURE/ElasticNet,nested_refit,0,2,0.3662759284522368,0.47643674237191486,0.6493176611667547,0.35707084743496326
HIC,PLM_ESM2/PCA64/SVR,nested_refit,0,2,0.5060264712565362,0.4588073612715733,0.5598812964014208,0.48208230428847704
HIC,SEQ_SIMPLE/Ridge,nested_refit,0,2,0.4979556253616094,0.6423302580582602,0.7548459544720956,0.5213087731545356
HIC,NESTED_STACK_MEAN,mean,0,3,0.602629199949076,0.45831084321513144,0.6550980401123346,0.5264412083332722
HIC,NESTED_STACK_MEDIAN,median,0,3,0.6230991993392919,0.4421555690839914,0.6447712769032239,0.5757492463004207
HIC,NESTED_STACK_NNLS,nnls,0,3,0.5977087872037385,0.4780618142004551,0.6583166766715628,0.5071945764130099
HIC,NESTED_STACK_RIDGE,ridge,0,3,0.5966007614687031,0.4921365798318273,0.6621870061912357,0.4905141620821158
HIC,ESMFN_STRUCTURE/ElasticNet,nested_refit,0,3,0.557894616893001,0.5005995799912291,0.6903447265720595,0.5515534804578051
HIC,PLM_ESM2/PCA64/SVR,nested_refit,0,3,0.5701416843179387,0.4982290839067747,0.6817265523840689,0.43259096506494515
HIC,SEQ_SIMPLE/Ridge,nested_refit,0,3,0.5072085609632966,0.5131513178083779,0.7282350511012194,0.3928145924297362
HIC,NESTED_STACK_MEAN,mean,0,4,0.23936331048518736,0.6352699279200952,0.9433555667097935,0.2705526544219742
HIC,NESTED_STACK_MEDIAN,median,0,4,0.20667047000906566,0.658621512926167,0.9651793735953617,0.25643845768044843
HIC,NESTED_STACK_NNLS,nnls,0,4,0.26589728112132943,0.6155157228887418,0.9390962552690082,0.4122445256063821
HIC,NESTED_STACK_RIDGE,ridge,0,4,0.2688174408581808,0.608255380401195,0.9455338475415282,0.4041792703255102
HIC,ESMFN_STRUCTURE/ElasticNet,nested_refit,0,4,0.32173842199866576,0.6191241469181028,0.9371012762174664,0.37980020322651126
HIC,PLM_ESM2/PCA64/SVR,nested_refit,0,4,0.15510774390788679,0.6673808447982439,0.9885806850718643,0.4151773457085173
HIC,SEQ_SIMPLE/Ridge,nested_refit,0,4,0.10256324240680492,0.7801068459105889,1.0639589376872014,0.021079644484096906
HIC,NESTED_STACK_MEAN,mean,1,0,0.647595862167963,0.5045972029212157,0.6890268968543425,0.5837720418142317
HIC,NESTED_STACK_MEDIAN,median,1,0,0.66670143484031,0.477346338307182,0.6720947175130202,0.652795189042768
HIC,NESTED_STACK_NNLS,nnls,1,0,0.6447515730910058,0.5059116877186864,0.6864421831496895,0.5602072385231334
HIC,NESTED_STACK_RIDGE,ridge,1,0,0.6238539160829936,0.5227222720725795,0.7014805901060521,0.5343026675293726
HIC,ESMFN_STRUCTURE/ElasticNet,nested_refit,1,0,0.6060038123263959,0.5371356516663912,0.7091855964736589,0.5107378642382743
HIC,PLM_ESM2/PCA64/SVR,nested_refit,1,0,0.5949428563203815,0.5281360426797809,0.7268587903008307,0.5787582538799555
HIC,SEQ_SIMPLE/Ridge,nested_refit,1,0,0.4869240462096449,0.5966318062766978,0.7909983755956355,0.4258377218845297
HIC,NESTED_STACK_MEAN,mean,1,1,0.7592919163833505,0.4171617622344915,0.5859320401578242,0.661764705882353
HIC,NESTED_STACK_MEDIAN,median,1,1,0.7945298146039383,0.40102195432884025,0.5585284049280368,0.7406417112299466
HIC,NESTED_STACK_NNLS,nnls,1,1,0.7695250236432363,0.39581281708007987,0.5620451604682332,0.7553475935828878
HIC,NESTED_STACK_RIDGE,ridge,1,1,0.7616565318017161,0.4288651616959833,0.6173852170010401,0.7439839572192514
HIC,ESMFN_STRUCTURE/ElasticNet,nested_refit,1,1,0.647578891233729,0.4776367073165291,0.6515993166623609,0.6841577540106952
HIC,PLM_ESM2/PCA64/SVR,nested_refit,1,1,0.7559331737083415,0.39911400043927264,0.5494429038982221,0.6948529411764706
HIC,SEQ_SIMPLE/Ridge,nested_refit,1,1,0.436949999171959,0.5083600320922427,0.7563992568267375,0.31417112299465244
HIC,NESTED_STACK_MEAN,mean,1,2,0.49494159614239713,0.3675554813007976,0.49667791193724353,0.5381231671554252
HIC,NESTED_STACK_MEDIAN,median,1,2,0.5003582338775606,0.3743191188899467,0.4972845101870939,0.5696480938416422
HIC,NESTED_STACK_NNLS,nnls,1,2,0.5438590488030635,0.3398803564239148,0.4580485231124336,0.6015395894428153
HIC,NESTED_STACK_RIDGE,ridge,1,2,0.5452629586970336,0.3312150779753015,0.44783346430653004,0.5993401759530792
HIC,ESMFN_STRUCTURE/ElasticNet,nested_refit,1,2,0.4852374316356003,0.33484272235790613,0.4827017682795308,0.4736070381231671
HIC,PLM_ESM2/PCA64/SVR,nested_refit,1,2,0.5082771596186368,0.37877093412685353,0.49123183482042815,0.6004398826979471
