target,model_a,model_b,delta_mae_A_minus_B,ci_lo,ci_hi,n,delta_pearson_A_minus_B,ra,rb
HIC,NESTED_STACK_NNLS,ESMFN_STRUCTURE/ElasticNet,-0.030327797190981276,-0.004794831633134089,0.09180683090813553,162,0.04394393515917627,0.5640973216570419,0.5201533864978656
HIC,NESTED_STACK_RIDGE,ESMFN_STRUCTURE/ElasticNet,-0.028099309600942646,-0.02093804987271476,0.07631526773251443,162,0.027789327109822293,0.5479427136076879,0.5201533864978656
HIC,ESMFN_STRUCTURE/ElasticNet,PLM_ESM2/PCA64/SVR,0.006934702238613477,-0.109066124026093,0.09798193106975073,162,-0.008867169148638832,0.5201533864978656,0.5290205556465044
HIC,NESTED_STACK_NNLS,PLM_ESM2/PCA64/SVR,-0.0233930949523678,-0.027890524903275864,0.10026859067353613,162,0.03507676601053744,0.5640973216570419,0.5290205556465044
TmApp,NESTED_STACK_RIDGE,FUSION_ABLANG2_BIO/ElasticNet,-0.2577809138930949,-0.03888970971033174,0.048510370565204804,162,0.004970785611048467,0.5611622410399018,0.5561914554288533
TmApp,NESTED_STACK_NNLS,FUSION_ABLANG2_BIO/ElasticNet,-0.24612839423271549,-0.038300282396980675,0.05714157964183907,162,0.009362385750013136,0.5655538411788664,0.5561914554288533
TmApp,FUSION_ABLANG2_BIO/ElasticNet,BIO/Ridge,-0.10928329340487153,0.014574304840274454,0.22220086907685133,162,0.1162694986567897,0.5561914554288533,0.4399219567720636
TmApp,FUSION_ABLANG2_BIO/ElasticNet,PLM_ABLANG2/ElasticNet,-0.06214933279808266,-0.01576048492227139,0.07828034112425877,162,0.0331657051489993,0.5561914554288533,0.523025750279854
TmApp,PLM_ABLANG2/ElasticNet,BIO/Ridge,-0.04713396060678887,-0.030489070231599982,0.2060858810777507,162,0.0831037935077904,0.523025750279854,0.4399219567720636
