scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,FS_HIC_SOURCE_SAP24_SCM24,ba84e4b7e517c168d4ddcbcc020b2b5d38418970b7e07d0401c8aa27f51db2fc,48,97
primary,1,FS_HIC_SOURCE_SAP24_SCM24,385536b9bd7d3947e2b5f5c1d40647e08e97e23798fbae253fcb79261c8e3729,48,96
primary,2,FS_HIC_SOURCE_SAP24_SCM24,e8b442ec17f8f462f5062b92eb0f47dd98905f59b43d4c9ae1f0de580c476dcc,48,97
primary,3,FS_HIC_SOURCE_SAP24_SCM24,04dae3d9e185caa6b2330e21b41a085d557ed996d1f8d53714119c5f32423961,48,98
primary,4,FS_HIC_SOURCE_SAP24_SCM24,a12ad686a21196e5f55bf0ed92bbb6ca4a6b273772c3cbb1ca5dd504cd030b03,48,98
shadow,0,FS_HIC_SOURCE_SAP24_SCM24,7b01b4c56b7c3c207125f7d6febb6ebabee10573cf36ac91e96ed5dcb7b3cf22,48,97
shadow,1,FS_HIC_SOURCE_SAP24_SCM24,c207d3a90d93e5432048542a37d3fc841be5d1ddf83db79ddd74a957fb96f94f,48,97
shadow,2,FS_HIC_SOURCE_SAP24_SCM24,885dfdf61ef9ed7fbffd6b8994723cc75b5664f5f0ec37f8f7975f3950fa123e,48,98
shadow,3,FS_HIC_SOURCE_SAP24_SCM24,adb699f17dc8838b614a370434788b5c1390dbccd3ba63066efb1e63a9ddf5eb,48,97
shadow,4,FS_HIC_SOURCE_SAP24_SCM24,579aa5fdae9d468b1cfd6eb6b65244d60369755202803859db9a2e142a8f0072,48,97
