scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,F2_SEQUENCE_TITRATION,206f0a08f78bb6eaf1292f315c909d74f236987a79e6ce5f1247609008581a71,133,97
primary,1,F2_SEQUENCE_TITRATION,86fbc9ab288abd81fb41e029f78a05916096949f7bd0ed420e886fa3103d2594,133,96
primary,2,F2_SEQUENCE_TITRATION,23e05e26e7af90162ee8ff6c1aa9cd31726afd43b354bc0313b78bfaa3aa1f6e,133,97
primary,3,F2_SEQUENCE_TITRATION,686b735ce2928d34b37ca3047c70fcdacbbd93d54c9854e82a9d469a6532ddc2,133,98
primary,4,F2_SEQUENCE_TITRATION,40a12cd912e9c9caa187beaf23c4adcf2b2a5b5ba25956cef73696c29b70ea7b,133,98
shadow,0,F2_SEQUENCE_TITRATION,c7910d93bd63ee9fae676492ade63087b953c7b57274a804eb69c7088b4fb160,133,97
shadow,1,F2_SEQUENCE_TITRATION,ccb71c27c352dc9a9422c5073bbd6762af8f3c71b554f32c0d07bc6b5a56b032,133,97
shadow,2,F2_SEQUENCE_TITRATION,40787823dda3c8535725fcefa20018d11a52d64a913a495b1b09467dc7c1cace,133,98
shadow,3,F2_SEQUENCE_TITRATION,ed01374534c8ac9c8c740387887a3362d2896c8bcd769c0312128f3432e0a717,133,97
shadow,4,F2_SEQUENCE_TITRATION,d237df16a3324c6b63c547d3f0feaff4d79425c460d46e66472d40b01e9f644d,133,97
