scheme,fold,g_H,g_L,best_epoch,selected_initial_lr,lr_at_best_epoch
primary,0,0.010551577433943748,-0.010977457277476788,37,0.0001,9.229423231234974e-05
primary,1,0.0012805777369067073,-0.0003765333676710725,7,0.001,0.0009978031724785245
primary,2,0.006202849093824625,-0.008745690807700157,25,0.0001,9.652393605146844e-05
primary,3,0.0068381731398403645,-0.0020472814794629812,19,0.0001,9.803453744100869e-05
primary,4,0.005792700219899416,-0.00436058547347784,26,0.001,0.000962320368593087
shadow,0,0.007409689947962761,-0.00731549272313714,24,0.0001,9.680447952607845e-05
shadow,1,-0.003638047957792878,-0.007168891839683056,8,0.001,0.000997010672950314
shadow,2,-0.004786442033946514,-0.0035676162224262953,14,0.001,0.0009897152912577741
shadow,3,-0.0014063518028706312,-0.0022407746873795986,9,0.001,0.0009960967771506667
shadow,4,-0.0012433496303856373,0.004689574707299471,7,0.001,0.0009978031724785245
