pair,feature,n,pearson,spearman,top20_jaccard,bottom20_jaccard
esmfold_vs_abodybuilder2,buried_polar_count,324,0.5201717403112344,0.511544884800663,0.14285714285714285,0.14285714285714285
esmfold_vs_abodybuilder2,buried_unsatisfied_polar_count,324,0.3929063778860286,0.3846014067727602,0.05263157894736842,0.02564102564102564
esmfold_vs_abodybuilder2,fraction_buried_polar_unsatisfied,324,0.31484670286929983,0.31091068073119194,0.08108108108108109,0.02564102564102564
esmfold_vs_abodybuilder2,buried_unsatisfied_per_100_res,324,0.31152937524817786,0.3050006399928488,0.05263157894736842,0.08108108108108109
esmfold_vs_abodybuilder2,VH_buried_unsat_count,324,0.41460817471284556,0.4000506820202866,0.1111111111111111,0.05263157894736842
esmfold_vs_abodybuilder2,VL_buried_unsat_count,324,0.29531502702776213,0.29927929163479744,0.02564102564102564,0.02564102564102564
esmfold_vs_abodybuilder2,CDR_buried_unsat_count,324,0.5558889984315825,0.5564102142120328,0.17647058823529413,0.08108108108108109
esmfold_vs_abodybuilder2,framework_buried_unsat_count,324,0.2892762282730285,0.30800028911490646,0.1111111111111111,0.1111111111111111
esmfold_vs_abodybuilder2,interface_buried_unsat_count,324,0.08131375620241572,0.02555585020259236,0.08108108108108109,0.5384615384615384
esmfold_vs_abodybuilder2,donor_unsat_count,324,0.2728770654895607,0.2582072727063784,0.08108108108108109,0.05263157894736842
esmfold_vs_abodybuilder2,acceptor_unsat_count,324,0.43134465591928717,0.4393040802980373,0.14285714285714285,0.1111111111111111
esmfold_vs_boltz2,buried_polar_count,324,0.6079831612951551,0.6274382156505639,0.14285714285714285,0.14285714285714285
esmfold_vs_boltz2,buried_unsatisfied_polar_count,324,0.4974397909591879,0.5007599189603426,0.17647058823529413,0.17647058823529413
esmfold_vs_boltz2,fraction_buried_polar_unsatisfied,324,0.5418542845922396,0.5123970171916112,0.25,0.25
esmfold_vs_boltz2,buried_unsatisfied_per_100_res,324,0.397716755743055,0.38332011061374655,0.1111111111111111,0.1111111111111111
esmfold_vs_boltz2,VH_buried_unsat_count,324,0.5104654601330645,0.5116067031400751,0.05263157894736842,0.17647058823529413
esmfold_vs_boltz2,VL_buried_unsat_count,324,0.3740791476694513,0.364312711313756,0.14285714285714285,0.21212121212121213
esmfold_vs_boltz2,CDR_buried_unsat_count,324,0.6513967256266929,0.6656795110964399,0.14285714285714285,0.25
esmfold_vs_boltz2,framework_buried_unsat_count,324,0.3857328880573444,0.3727920727439959,0.08108108108108109,0.1111111111111111
esmfold_vs_boltz2,interface_buried_unsat_count,324,0.02208572834607637,-0.004611145716238881,0.05263157894736842,0.48148148148148145
esmfold_vs_boltz2,donor_unsat_count,324,0.4265702963579391,0.4202969207402287,0.08108108108108109,0.05263157894736842
esmfold_vs_boltz2,acceptor_unsat_count,324,0.5313247187304938,0.5537195136835831,0.17647058823529413,0.17647058823529413
abodybuilder2_vs_boltz2,buried_polar_count,324,0.5455908384908709,0.5711177601202971,0.08108108108108109,0.25
abodybuilder2_vs_boltz2,buried_unsatisfied_polar_count,324,0.4321350552253433,0.42976105087698563,0.08108108108108109,0.17647058823529413
abodybuilder2_vs_boltz2,fraction_buried_polar_unsatisfied,324,0.38708141367203386,0.3768691048385565,0.1111111111111111,0.05263157894736842
abodybuilder2_vs_boltz2,buried_unsatisfied_per_100_res,324,0.34593124546063625,0.36086880317456005,0.05263157894736842,0.14285714285714285
abodybuilder2_vs_boltz2,VH_buried_unsat_count,324,0.47431016831163514,0.4607348274719692,0.17647058823529413,0.21212121212121213
abodybuilder2_vs_boltz2,VL_buried_unsat_count,324,0.2298426086734162,0.2526227717929247,0.02564102564102564,0.05263157894736842
abodybuilder2_vs_boltz2,CDR_buried_unsat_count,324,0.5716607492789947,0.5993796027222307,0.08108108108108109,0.25
abodybuilder2_vs_boltz2,framework_buried_unsat_count,324,0.3882147939373148,0.39229411923412855,0.08108108108108109,0.14285714285714285
abodybuilder2_vs_boltz2,interface_buried_unsat_count,324,0.17057924985086978,0.11885548119812364,0.05263157894736842,0.7391304347826086
abodybuilder2_vs_boltz2,donor_unsat_count,324,0.4843276848050796,0.46721979560196414,0.17647058823529413,0.25
abodybuilder2_vs_boltz2,acceptor_unsat_count,324,0.41546680571721817,0.45796533939502476,0.1111111111111111,0.02564102564102564
