variant_id,type,content_model,annotation,merge,pooling,primary_mae,shadow_mae,cv_mean_mae,cv_worst_mae,seed_disp_primary,seed_disp_shadow,trainable_params,config_hash,notes
AL2F1_MIN_CONCAT,frozen_ablang2_transformer,ablang2-paired_residue,minimal,concat,reg,3.156795187742132,3.318617965949416,3.237706576845774,3.318617965949416,0.11937822488371787,0.021510286433755597,378369,caa0f18e77b6aa45,TMF2: P=3.3177692899978704 S=3.214610237152979 | TMS3: P=3.2482804192437067 S=3.2684988877410257 | TM_PARENT_ABLINGUA_CDR3__RIDGE: P=2.732072376654289 S=2.784957206877823
AL2F2_FULL_CONCAT,frozen_ablang2_transformer,ablang2-paired_residue,full,concat,reg,3.1948206002820183,3.1079180211196706,3.1513693107008445,3.1948206002820183,0.09211389756392133,0.1988118267349193,399233,1244f57f9acc0346,
AL2F3_FULL_MEAN,frozen_ablang2_transformer,ablang2-paired_residue,full,mean,reg,2.9940878550211596,3.0428277003912285,3.0184577777061943,3.0428277003912285,0.04760349817616895,0.02731602572897609,382849,cef96a799a754c83,
AL2F4_FULL_REGION_GATE,frozen_ablang2_transformer,ablang2-paired_residue,full,concat,region_gate,3.0996123262884194,3.2940702870058924,3.1968413066471557,3.2940702870058924,0.14210524886207404,0.16717088118056006,399241,2443ba16f58369a0,
