scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,F1_SURFACE,95df668bc3b736461ac20ae1e723e27383fd4e32b3340f5e4df4b885985814e1,35,97
primary,1,F1_SURFACE,4f7bc48095c635869bc5e35a42ae36f66fbf82023c032c2300c37d00e15159e8,35,96
primary,2,F1_SURFACE,48533eb0900469e601075243e7cf5a5e383b6364e3fc1874f8cddf01cacf1e2c,35,97
primary,3,F1_SURFACE,eb125974838f716d6449fd78717517b2021c5c60a19d08398ff2700d247c078f,35,98
primary,4,F1_SURFACE,f0989966213fef8f07d193c0208c498d7760ef6aaecbd6226a266544a7a07228,35,98
shadow,0,F1_SURFACE,34e532d7ae0a03b542127749b752e457a9cfc2da12bf725d308087f5ce1ac604,35,97
shadow,1,F1_SURFACE,bfc8de68705b014653fbede01f1671499019da2bf2202c315648e5deb8278737,35,97
shadow,2,F1_SURFACE,6a8cee319c90cde2066253035959cc7e8f351ebcf5f254e271d5c1fe99c192b0,35,98
shadow,3,F1_SURFACE,01dfe9915c3595c976a534e0ed86cd4b41b98147e9c7cdc0344b77f492b18a1a,35,97
shadow,4,F1_SURFACE,0b5c8ed0f6876005879597eb6a7d869d614ef236cdb9cd8112873d9aa9b28749,35,97
