feature,median_HIGH,median_nonHIGH,median_diff,cliffs_delta,spearman_vs_HIC,auc_HIGH_sep_abs
ESMFN_Fv_sasa_aromatic,1141.910558788386,839.3969889007049,302.5135698876811,0.7046747464753895,0.4260768167408333,0.8523373732376948
H_CDR3_frac_aromatic,0.26666666666666666,0.17391304347826086,0.0927536231884058,0.6072223596339352,0.2357933036330826,0.8036111798169675
VH_frac_hydrophobic,0.408,0.3870967741935484,0.020903225806451597,0.5829829334652485,0.1658678906586636,0.7914914667326243
H_CDR3_frac_hydrophobic,0.5294117647058824,0.4,0.12941176470588234,0.5713579025476132,0.23906729146239244,0.7856789512738066
H_CDR3_len,19.0,15.0,4.0,0.5213950037101163,0.289332718071836,0.7606975018550581
VH_frac_Y,0.07142857142857142,0.058823529411764705,0.01260504201680672,0.5157061587929755,0.25284967231182304,0.7578530793964877
VH_frac_aromatic,0.14516129032258066,0.11904761904761904,0.026113671274961614,0.4981449418748454,0.2482569412700876,0.7490724709374228
VH_len,126.0,122.0,4.0,0.477368290873114,0.2743979286392457,0.7386841454365569
HL_frac_Y,0.06329113924050633,0.05627705627705628,0.007014082963450054,0.4523868414543656,0.2637471680714721,0.7261934207271827
ESMFN_Fv_total_sasa,11360.333916591191,10852.913207996737,507.4207085944545,0.4513974771209498,0.30309426030888814,0.7256987385604747
HL_len,236.0,231.0,5.0,0.44966608953747217,0.29930150318195503,0.7248330447687361
HL_frac_hydrophobic,0.37656903765690375,0.36637931034482757,0.01018972731207618,0.4464506554538709,0.20655478520811638,0.7232253277269355
H_CDR3_frac_Y,0.17647058823529413,0.09090909090909091,0.08556149732620322,0.4088548107840712,0.20220521369722955,0.7044274053920356
PL_vh_mutfrac_excl_CDR3,0.0208333333333333,0.1041666666666666,-0.0833333333333333,-0.4039079891169923,-0.06642246806784742,0.7019539945584962
PL_anarci_vh_mutfrac_excl_CDR3,0.0208333333333333,0.1041666666666666,-0.0833333333333333,-0.4039079891169923,-0.06642246806784742,0.7019539945584962
PL_anarci_vh_germline_distance,0.0204081632653061,0.1020408163265306,-0.0816326530612245,-0.3982191441998516,-0.06446949348757486,0.6991095720999259
PL_vh_germline_distance,0.0204081632653061,0.1020408163265306,-0.0816326530612245,-0.3982191441998516,-0.06446949348757486,0.6991095720999259
H_CDR3_hydro_run,3.0,2.0,1.0,0.3950037101162503,0.22662997186616587,0.6975018550581252
HL_frac_aromatic,0.12393162393162394,0.11206896551724138,0.011862658414382554,0.39475636903289635,0.21229287300262373,0.6973781845164483
PL_combined_germline_distance,0.0161290322580645,0.0883984028393966,-0.07226937058133209,-0.38980954736581747,-0.07652367814118584,0.6949047736829087
ESMFN_largest_hydrophobic_patch_sasa,360.2270773763954,229.543797322751,130.6832800536444,0.3890675241157556,0.07540232672064542,0.6945337620578778
ESMFN_VH_sasa_hydrophobic,1108.647350639436,962.4237552682088,146.22359537122713,0.3608706406134059,0.13849443246590842,0.680435320306703
PL_vl_germline_distance,0.032258064516129,0.0638297872340425,-0.03157172271791351,-0.3336631214444719,-0.10171071258615343,0.6668315607222359
PL_anarci_vl_germline_distance,0.032258064516129,0.0638297872340425,-0.03157172271791351,-0.3336631214444719,-0.10171071258615343,0.6668315607222359
PL_anarci_vl_mutfrac_excl_CDR3,0.0337078651685393,0.0638297872340425,-0.03012192206550321,-0.328963640860747,-0.10887356631598671,0.6644818204303735
PL_vl_mutfrac_excl_CDR3,0.0337078651685393,0.0638297872340425,-0.03012192206550321,-0.328963640860747,-0.10887356631598671,0.6644818204303735
VH_maxwin9,1.4333333333333331,1.2222222222222223,0.2111111111111108,0.29705664110808805,0.1622306718116372,0.6485283205540441
VH_maxwin5,2.48,2.2399999999999998,0.2400000000000002,0.2819688350234974,0.1592697509953885,0.6409844175117487
ESMFN_H_CDR3_sasa_hydrophobic,189.1881672981686,135.31216550129668,53.87600179687192,0.28023744744001977,0.1060212221631381,0.6401187237200099
H_CDR3_gravy,-0.36000000000000004,-0.6588235294117648,0.29882352941176477,0.2738065792728172,0.11865560036203865,0.6369032896364087
VL_maxwin9,0.9888888888888887,1.1666666666666665,-0.1777777777777778,-0.2710858273559238,-0.02822365285592619,0.6355429136779619
H_CDR3_frac_W,0.045454545454545456,0.0,0.045454545454545456,0.2649023002720752,0.05894241095809361,0.6324511501360376
ESMFN_total_hydrophobic_patch_sasa,1310.1518303431087,1187.4520660717317,122.69976427137703,0.24808310660400693,0.14318327760530009,0.6240415533020035
H_CDR3_maxwin9,0.3555555555555555,-0.06666666666666662,0.42222222222222217,0.24338362602028196,0.10581103733719184,0.6216918130101411
ESMFN_Fv_sasa_hydrophobic,1774.9317646822444,1665.389819824562,109.54194485768244,0.24214692060351226,0.1507345781129061,0.6210734603017561
L_CDR3_pI,5.517440605163573,5.524318122863768,-0.006877517700194957,-0.2221122928518427,0.01318159851843555,0.6110561464259214
VH_gravy,-0.24000000000000002,-0.2553719008264463,0.015371900826446266,0.22186495176848875,0.08130026083398885,0.6109324758842444
HL_gravy,-0.2532467532467532,-0.296218487394958,0.042971734148204765,0.21914419985159536,0.13003411715515228,0.6095720999257976
H_CDR3_maxwin5,1.02,0.5599999999999999,0.4600000000000001,0.18525847143210486,0.08178172889175345,0.5926292357160525
H_CDR3_pI,4.558282661437989,5.880357551574707,-1.3220748901367179,-0.17487014593123917,-0.10847961468763288,0.5874350729656197
VL_frac_F,0.03571428571428571,0.037037037037037035,-0.0013227513227513227,-0.16819193668068266,-0.11043969392527178,0.5840959683403413
HL_charge,0.012448132780082987,0.016597510373443983,-0.004149377593360997,-0.16794459559732872,-0.03113449191592468,0.5839722977986643
VH_hydro_run,4.0,4.0,0.0,0.16769725451397477,0.13362570793586734,0.5838486272569874
HL_maxwin5,2.7,2.56,0.14000000000000012,0.16571852584714322,0.07188513076583423,0.5828592629235716
ESMFN_H_CDR3_rasa_w_hydrophobicity_sum,-3.006228649431008,-2.5538244438538893,-0.4524042055771189,-0.16547118476378928,-0.0974247428040996,0.5827355923818947
VL_charge,0.00909090909090909,0.009345794392523364,-0.0002548853016142733,-0.16547118476378928,-0.031143756165336347,0.5827355923818947
H_CDR3_charge,-0.045454545454545456,0.0,-0.045454545454545456,-0.16052436309671037,-0.07957899435990808,0.5802621815483552
ESMFN_hydrophobic_sasa_frac,0.16362515284826296,0.15232870167286178,0.011296451175401179,0.15260944842938412,0.0813338837479202,0.5763047242146921
HL_frac_F,0.029787234042553193,0.030973451327433628,-0.001186217284880435,-0.14939401434578284,-0.1709718025531111,0.5746970071728914
VL_pI,6.906073951721192,7.970951652526855,-1.0648777008056634,-0.14741528567895126,-0.025405969264022388,0.5737076428394756
VH_charge,0.015503875968992248,0.01639344262295082,-0.0008895666539585727,-0.14494187484541182,-0.05378954527971055,0.5724709374227059
L_CDR3_frac_F,0.0,0.0,0.0,-0.14469453376205788,-0.06705831413326963,0.572347266881029
VL_frac_hydrophobic,0.3392857142857143,0.34545454545454546,-0.006168831168831157,-0.13851100667820926,0.08262928726655053,0.5692555033391047
HL_hydro_run,5.0,5.0,0.0,0.12490724709374228,0.06111412441487368,0.5624536235468712
VL_len,109.0,108.0,1.0,0.12465990601038833,0.10084383766285296,0.5623299530051942
L_CDR3_maxwin9,-0.8666666666666667,-1.0222222222222221,0.15555555555555545,0.11625030917635419,0.06923449768390455,0.5581251545881771
VH_frac_F,0.024390243902439025,0.03125,-0.006859756097560975,-0.11476626267623052,-0.1377575196266501,0.5573831313381152
VL_frac_aromatic,0.10091743119266056,0.102803738317757,-0.0018863071250964508,-0.11402423942616868,-0.008863055781906312,0.5570121197130844
ESMFN_all_CDR_sasa_hydrophobic,270.31451970146696,237.9817381991748,32.332781502292164,0.10981944100915161,0.05294625557646686,0.5549097205045758
L_CDR3_frac_aromatic,0.1111111111111111,0.15,-0.03888888888888889,-0.10833539450902795,-0.061479665638096405,0.554167697254514
VL_hydro_run,5.0,5.0,0.0,0.10536730150878061,-0.017585073673513252,0.5526836507543904
HL_pI,7.868769264221191,8.309346199035648,-0.44057693481445703,-0.103635913925303,-0.008562764988039356,0.5518179569626515
L_CDR3_charge,0.0,0.0,0.0,-0.09918377442493198,0.01793630049604607,0.549591887212466
H_CDR3_frac_F,0.05,0.05263157894736842,-0.0026315789473684154,0.08088053425674005,-0.025345494243912595,0.54044026712837
VH_pI,8.020398902893067,7.995643043518066,0.024755859375001243,-0.07370764283947563,-0.05802673262605037,0.5368538214197378
VL_gravy,-0.2918181818181818,-0.3345454545454546,0.04272727272727278,0.07271827850605986,0.11443063414922691,0.5363591392530299
L_CDR3_frac_W,0.0,0.0,0.0,0.07222359633935196,-0.024291776714656935,0.536111798169676
L_CDR3_len,9.0,9.0,0.0,-0.07123423200593619,0.09429287617556356,0.5356171160029681
L_CDR3_gravy,-1.1300000000000001,-1.088888888888889,-0.0411111111111111,0.0707395498392283,0.04490968314677273,0.5353697749196142
L_CDR3_frac_hydrophobic,0.3333333333333333,0.3333333333333333,0.0,-0.06430868167202572,-0.027038818879649443,0.532154340836013
ESMFN_VL_sasa_hydrophobic,699.870879509442,688.6805516100965,11.190327899345561,-0.061587929755132324,0.09619286027998764,0.5307939648775661
L_CDR3_hydro_run,1.0,1.0,0.0,-0.05861983675488499,0.037675462039266305,0.5293099183774425
VL_maxwin5,2.16,2.0799999999999996,0.08000000000000052,0.053673015087806086,-0.016822141881212244,0.5268365075439031
ESMFN_n_hydrophobic_patches,11.0,11.0,0.0,-0.052683650754390306,0.04490950892645058,0.5263418253771952
VL_frac_W,0.009433962264150943,0.017699115044247787,-0.008265152780096844,-0.03932723225327727,-0.09212866617462247,0.5196636161266386
L_CDR3_maxwin5,-0.2800000000000001,-0.12000000000000006,-0.16000000000000003,-0.034627751669552315,0.03499908748444712,0.5173138758347762
ESMFN_Fv_rasa_w_hydrophobicity_sum,-71.15165378852329,-71.60397119027489,0.45231740175159985,0.028938906752411574,0.08145490213708542,0.5144694533762058
L_CDR3_frac_Y,0.1,0.1,0.0,-0.026465495918872126,-0.02619219830349175,0.5132327479594361
VL_frac_Y,0.05405405405405406,0.05357142857142857,0.0004826254826254886,0.01978728666831561,0.08565588246802516,0.5098936433341579
VH_frac_W,0.03225806451612903,0.03225806451612903,0.0,0.017313875834776157,0.08173077129073746,0.5086569379173881
HL_frac_W,0.021645021645021644,0.022222222222222223,-0.0005772005772005789,-0.008904279000742024,0.03378598390258047,0.5044521395003709
