min_paired_sim,n_pairs,median_abs_HIC_diff,p90_abs_HIC_diff,random_pair_median_abs_HIC_diff
0.9,3,0.08699999999999974,0.8094000000000001,0.44149999999999956
0.95,2,0.07749999999999968,0.08509999999999973,0.44149999999999956
0.97,1,0.06799999999999962,0.06799999999999962,0.44149999999999956
0.99,0,,,0.44149999999999956
