scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,F3_LOCAL_RASA_CDR3,90585446be3d2b176c0c16baa7224fc4d27e8c1b0416b2f5f28da46946822425,32,97
primary,1,F3_LOCAL_RASA_CDR3,8506b17fa52413590aa913b68ae100310ca9ca9e56cfb43952a95cbbf6401be3,32,96
primary,2,F3_LOCAL_RASA_CDR3,c0e44d30c65cef3a2f78f2f31b4737243edf434d19f825badd9326bafbe1c043,32,97
primary,3,F3_LOCAL_RASA_CDR3,62cfefbfd90e55c40ffcd28db1af347c1cbfdbbd772348ddd2250d1e796bd976,32,98
primary,4,F3_LOCAL_RASA_CDR3,507e85f8d27712d46aa16e0b55f4b52fc298d506cc791703a1e83edef6cb2cd0,32,98
shadow,0,F3_LOCAL_RASA_CDR3,57e651f36b6bcb58184d1099f77daf61e49929e69d63f41ffa2c0aaf7b07680e,32,97
shadow,1,F3_LOCAL_RASA_CDR3,dae08c42107f7782a9efd449c01e5e155496f7961e5d6c051ad712decd6ae2c9,32,97
shadow,2,F3_LOCAL_RASA_CDR3,456479e43ee84f6980408fcb122c8ed1f9bdc21d747650c557102d0f955a6429,32,98
shadow,3,F3_LOCAL_RASA_CDR3,3d931d001645f8c8c7d2bfecfa7a13efd7f8c1a91209074708112a91c03805eb,32,97
shadow,4,F3_LOCAL_RASA_CDR3,ccf3afec7bbcb6fe15fce56666ff26b7983817e773812dc30a03973c44ea6751,32,97
