scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,FS_HIC_SURFACE_PLUS_HSP_FP_R5_PROMOTED,5b3ec05c5dac46dc77c04de6e39943c8f58f8c35ecf6a9a160ac602b2bf5c50f,38,97
primary,1,FS_HIC_SURFACE_PLUS_HSP_FP_R5_PROMOTED,78f5f628ffe54cd958c16105706cc1af6854275c5363c929df451adb7659c79d,38,96
primary,2,FS_HIC_SURFACE_PLUS_HSP_FP_R5_PROMOTED,2447b91f8d33b85f2c6d67c583e037da79755c49d395ccbf38d3015825268b31,38,97
primary,3,FS_HIC_SURFACE_PLUS_HSP_FP_R5_PROMOTED,124588e4373fb677cbf8d2e36cfd41d6badb1a36da059c103bbb32a65e30113a,38,98
primary,4,FS_HIC_SURFACE_PLUS_HSP_FP_R5_PROMOTED,18bd87c1c11550fd5e2fad81dabececbbd1c4cfbf90f008e0d733787cd5ac8ff,38,98
shadow,0,FS_HIC_SURFACE_PLUS_HSP_FP_R5_PROMOTED,258a952f3c9627a2905e59eb0ec15f4608cf9c07b87f43bbb7cc8862a8c09df5,38,97
shadow,1,FS_HIC_SURFACE_PLUS_HSP_FP_R5_PROMOTED,f19592c8979fb64080aea2bc6f5b429aaa5488b3642024c79200cc45dd4ba196,38,97
shadow,2,FS_HIC_SURFACE_PLUS_HSP_FP_R5_PROMOTED,0aba80e805ef41bd10fea7adbb0e6763ed2ae0b568f821b9287deb5a5098a37f,38,98
shadow,3,FS_HIC_SURFACE_PLUS_HSP_FP_R5_PROMOTED,dd8bcb8e951418310462c665d32d06095d2f73164f7dfa2ca5d4ae5d92dee98c,38,97
shadow,4,FS_HIC_SURFACE_PLUS_HSP_FP_R5_PROMOTED,4b0ebf9379a082bc68e7807cf22f4eec7cefbe0721b2f8b8d51fb0a2ac7d6374,38,97
