a,b,wasserstein,ks,ks_pvalue
Train,Public,0.3888888888888892,0.06172839506172845,0.9843887150012921
Train,Private,0.5432098765432102,0.05555555555555555,0.9955634310123266
Public,Private,0.5308641975308643,0.06172839506172839,0.9981164707075931
