role,n,n_unique,tie_frac_obs_in_tied_values,min,max,mean,sd,median,iqr,p5,p10,p25,p50,p75,p90,p95,skew,range
Train,162,39,0.9444444444444444,57.5,83.5,69.89506172839506,4.4884736121046735,69.5,5.75,61.525,64.5,67.125,69.5,72.875,75.0,76.975,0.018970674277023866,26.0
Public,81,33,0.8395061728395061,56.0,81.5,70.04320987654322,4.666135902928012,70.5,5.5,62.0,64.5,67.0,70.5,72.5,75.5,77.5,-0.14159910935272205,25.5
Private,81,35,0.8271604938271605,52.5,80.5,69.73456790123457,5.064452744711329,70.0,6.0,60.0,63.5,67.0,70.0,73.0,75.5,77.5,-0.47298044879416984,28.0
