scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.0001,1.0000000000000002e-06,46,322,8.814009529720155e-05,3.005630724357836,76,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T100_run/checkpoints/primary_k0_lr1e-04_seed101.pt,5ab87aa9f6cc57b6,101
primary,1,0.001,1e-05,12,72,0.000992629116446613,2.997503800825639,42,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T100_run/checkpoints/primary_k1_lr1e-03_seed101.pt,5ab87aa9f6cc57b6,101
primary,2,0.001,1e-05,17,119,0.0009844486647586723,3.4457130432128906,47,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T100_run/checkpoints/primary_k2_lr1e-03_seed101.pt,5ab87aa9f6cc57b6,101
primary,3,0.001,1e-05,9,63,0.0009960967771506667,2.6956865787506104,39,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T100_run/checkpoints/primary_k3_lr1e-03_seed101.pt,5ab87aa9f6cc57b6,101
primary,4,0.001,1e-05,30,210,0.0009495236500015047,2.8238964080810547,60,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T100_run/checkpoints/primary_k4_lr1e-03_seed101.pt,5ab87aa9f6cc57b6,101
shadow,0,0.001,1e-05,15,105,0.00098807879715968,2.6406804865056817,45,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T100_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,5ab87aa9f6cc57b6,101
shadow,1,0.001,1e-05,19,133,0.0009803453744100868,3.1078970432281494,49,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T100_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,5ab87aa9f6cc57b6,101
shadow,2,0.001,1e-05,12,84,0.000992629116446613,2.9089739322662354,42,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T100_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,5ab87aa9f6cc57b6,101
shadow,3,0.01,0.0001,10,70,0.00995061710569696,3.495385603471236,40,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T100_run/checkpoints/shadow_k3_lr1e-02_seed101.pt,5ab87aa9f6cc57b6,101
shadow,4,0.0001,1.0000000000000002e-06,79,553,6.726752705214194e-05,2.9148882627487183,109,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T100_run/checkpoints/shadow_k4_lr1e-04_seed101.pt,5ab87aa9f6cc57b6,101
